symbol,n_clusters,pf_tr,pf_fwd,ci_low,ci_high,trades_fwd,wins_fwd,trades_tr,pf_fwd_c0,trades_fwd_c0,pf_fwd_c1,trades_fwd_c1,pf_fwd_c2,trades_fwd_c2
BNB,3,0.7515,0.7332,0.6613,0.8174,1493,540,3897,0.8821,412,0.7415,752,0.5541,329
BTC,3,0.642,0.5159,0.4657,0.5743,1619,533,4414,0.2705,324,0.451,515,0.7928,780
ETH,3,0.6042,0.622,0.5582,0.7002,1249,431,3063,0.9577,318,0.9758,204,0.5105,727
XRP,3,0.7376,0.6938,0.6337,0.7648,1878,688,4350,0.5314,369,0.7243,871,0.7541,638
SOL,3,0.7733,0.6311,0.5658,0.7113,1236,427,3322,0.5011,435,0.5979,437,0.9341,364
TRX,3,0.7483,0.8469,0.7666,0.9409,1559,587,4642,0.4167,270,0.8545,757,1.1324,532
DOGE,3,0.7924,0.6794,0.6139,0.7514,1657,563,4197,0.5526,359,0.6893,781,0.8028,517
ADA,3,0.6983,0.7189,0.6486,0.8034,1480,517,3353,0.7361,581,0.6931,586,0.7123,313
BCH,3,0.7479,0.7588,0.6809,0.851,1339,485,3281,0.9621,374,0.6846,308,0.7103,657
LINK,3,0.6978,0.7063,0.6339,0.7885,1512,514,3759,0.6245,568,0.7391,692,0.9358,252
XLM,3,0.7308,0.6318,0.5717,0.6993,1791,567,4505,0.5207,403,0.6164,789,0.7793,599
SUI,3,0.69,0.6625,0.55,0.7904,511,179,1046,0.9865,105,0.6605,185,0.5743,221
LTC,3,0.6407,0.7418,0.659,0.841,1114,379,2789,0.72,780,0.7621,87,0.847,247
AVAX,3,0.768,0.7105,0.6376,0.7996,1293,443,3677,0.8064,571,0.6039,346,0.65,376
HBAR,3,0.7597,0.787,0.7115,0.8722,1698,584,4036,0.7856,807,0.5084,314,1.0032,577
SHIB,3,0.7255,0.7281,0.6381,0.8336,945,314,2050,0.7114,256,0.8989,326,0.6714,363
DOT,3,0.7347,0.7416,0.664,0.8371,1197,403,3008,0.5575,428,0.8358,581,0.9031,188
UNI,3,0.9065,0.8468,0.7649,0.9426,1547,566,3808,1.0482,557,0.9463,756,0.3605,234
TAO,3,0.7547,0.7305,0.612,0.8707,538,188,1227,0.6025,194,0.6375,192,1.1027,152
AAVE,3,0.818,0.9615,0.8679,1.0649,1629,591,4115,1.1289,500,1.0295,909,0.4712,220
NEAR,3,0.7388,0.705,0.6172,0.8043,969,324,2421,0.9,181,0.521,219,0.716,569
ICP,3,0.7345,0.7734,0.6698,0.8877,880,305,1945,0.7714,495,0.8722,202,0.6874,183
ETC,3,0.6909,0.7905,0.7183,0.8719,1788,648,4761,0.8804,715,0.6428,299,0.734,774
ONDO,3,0.7091,0.9873,0.7414,1.2869,222,80,469,0.5044,81,1.3559,72,1.366,69
ENA,3,0.7871,0.7134,0.5795,0.8647,472,145,1470,0.3603,144,0.6446,100,1.0542,228
POL,3,0.7065,0.7059,0.5603,0.8739,331,107,937,0.6217,123,0.8444,96,0.7037,112
WLD,3,0.7736,0.7673,0.659,0.8994,646,230,1820,1.1924,196,0.7134,257,0.5813,193
APT,3,0.7741,0.9479,0.8139,1.1124,627,237,1499,1.1859,202,0.6203,138,1.0371,287
ATOM,3,0.7234,0.7322,0.6623,0.8089,1759,600,4622,0.4706,363,0.7505,816,0.9656,580
ALGO,3,0.7766,0.8062,0.7216,0.9107,1182,435,3170,0.8338,550,0.7756,229,0.7664,403
RENDER,3,0.8095,0.7591,0.6099,0.9231,391,140,852,0.3225,105,0.819,101,1.2988,185
ARB,3,0.8289,0.7872,0.6896,0.8981,978,346,2125,0.5532,199,0.963,491,0.7781,288
FIL,3,0.7614,0.7216,0.6456,0.8192,1108,401,2277,0.7908,248,0.7097,563,0.6971,297
QNT,3,0.6584,0.6999,0.6006,0.814,781,264,1881,0.7927,447,0.4501,165,0.6625,169
VET,3,0.7101,0.7816,0.7078,0.8676,1596,578,4140,1.0025,255,0.7698,799,0.7091,542
SEI,3,0.8245,0.7953,0.6774,0.933,693,249,1962,0.7866,227,1.0669,303,0.4615,163
OP,3,0.7805,0.7477,0.6622,0.8512,1020,368,2734,0.4964,238,0.7985,417,0.9045,365
IMX,3,0.7761,0.8059,0.7224,0.9087,1211,435,2661,1.1017,290,0.8492,660,0.5237,261
INJ,3,0.7613,0.873,0.7829,0.9796,1338,480,3685,0.9103,247,1.0027,321,0.8041,770
FET,3,0.7443,0.7446,0.6801,0.8202,2010,675,4792,0.7697,1137,0.8246,496,0.6365,377
STX,3,0.8001,0.8307,0.7509,0.9187,1707,610,4236,0.8953,528,0.9089,836,0.5768,343
SAND,3,0.7621,0.6932,0.6234,0.7779,1375,462,3535,0.8156,544,0.6866,529,0.5681,302
MANA,3,0.721,0.7617,0.684,0.8561,1351,458,2932,0.6914,574,0.9058,599,0.6696,178
GRT,3,0.7483,0.7885,0.7093,0.8846,1384,491,3445,0.8278,639,0.5735,291,0.9291,454
THETA,3,0.745,0.7406,0.6745,0.8168,1863,650,4177,0.8923,494,0.5082,431,0.7802,938
