series,kind,k,W,R,pf_all,ci_low,ci_high,trades_all
PLBGB1,GBM,1.5,30,1.5,1.1678,1.074,1.259,2518
PLBGB1,GBM,1.5,30,2.0,1.0569,0.9715,1.141,2518
PLBGB1,GBM,1.5,30,3.0,0.9489,0.8788,1.0318,2518
PLBGB1,GBM,1.5,50,1.5,1.1905,1.096,1.2849,2665
PLBGB1,GBM,1.5,50,2.0,1.0693,0.9859,1.1531,2665
PLBGB1,GBM,1.5,50,3.0,0.9681,0.8966,1.0521,2665
PLBGB1,GBM,1.5,80,1.5,1.216,1.1213,1.3107,2783
PLBGB1,GBM,1.5,80,2.0,1.0841,1.0001,1.167,2783
PLBGB1,GBM,1.5,80,3.0,0.9797,0.9103,1.0624,2783
PLBGB1,GBM,2.0,30,1.5,1.4617,1.2377,1.7289,602
PLBGB1,GBM,2.0,30,2.0,1.2167,1.0366,1.4215,602
PLBGB1,GBM,2.0,30,3.0,0.9696,0.8284,1.1441,602
PLBGB1,GBM,2.0,50,1.5,1.477,1.2523,1.733,639
PLBGB1,GBM,2.0,50,2.0,1.228,1.0493,1.4319,639
PLBGB1,GBM,2.0,50,3.0,1.0007,0.8529,1.1755,639
PLBGB1,GBM,2.0,80,1.5,1.512,1.2916,1.7734,674
PLBGB1,GBM,2.0,80,2.0,1.2381,1.0602,1.4408,674
PLBGB1,GBM,2.0,80,3.0,0.9988,0.8529,1.1709,674
PLBGB1,GBM,2.5,30,1.5,1.3515,0.8793,2.2489,90
PLBGB1,GBM,2.5,30,2.0,1.0365,0.6632,1.6506,90
PLBGB1,GBM,2.5,30,3.0,0.7493,0.4706,1.1841,90
PLBGB1,GBM,2.5,50,1.5,1.3141,0.8752,1.9926,95
PLBGB1,GBM,2.5,50,2.0,1.0353,0.7079,1.6085,95
PLBGB1,GBM,2.5,50,3.0,0.777,0.5056,1.1474,95
PLBGB1,GBM,2.5,80,1.5,1.3831,0.9204,2.1162,106
PLBGB1,GBM,2.5,80,2.0,1.0994,0.7521,1.6332,106
PLBGB1,GBM,2.5,80,3.0,0.7606,0.4954,1.1206,106
PLBSH1,SHUF,1.5,30,1.5,1.2753,1.1622,1.3915,2147
PLBSH1,SHUF,1.5,30,2.0,1.0363,0.9473,1.1257,2147
PLBSH1,SHUF,1.5,30,3.0,0.9714,0.8938,1.0646,2147
PLBSH1,SHUF,1.5,50,1.5,1.2922,1.1793,1.4057,2295
PLBSH1,SHUF,1.5,50,2.0,1.0621,0.973,1.15,2295
PLBSH1,SHUF,1.5,50,3.0,0.9945,0.9171,1.0849,2295
PLBSH1,SHUF,1.5,80,1.5,1.2891,1.1826,1.398,2446
PLBSH1,SHUF,1.5,80,2.0,1.0767,0.9899,1.1623,2446
PLBSH1,SHUF,1.5,80,3.0,1.0076,0.9327,1.0966,2446
PLBSH1,SHUF,2.0,30,1.5,1.4248,1.2506,1.6266,1027
PLBSH1,SHUF,2.0,30,2.0,1.1325,0.998,1.2724,1027
PLBSH1,SHUF,2.0,30,3.0,1.0252,0.9129,1.163,1027
PLBSH1,SHUF,2.0,50,1.5,1.4144,1.2439,1.6121,1115
PLBSH1,SHUF,2.0,50,2.0,1.1505,1.0199,1.2862,1115
PLBSH1,SHUF,2.0,50,3.0,1.0358,0.9278,1.1714,1115
PLBSH1,SHUF,2.0,80,1.5,1.4118,1.2492,1.5927,1215
PLBSH1,SHUF,2.0,80,2.0,1.1754,1.0448,1.3119,1215
PLBSH1,SHUF,2.0,80,3.0,1.0663,0.9548,1.1971,1215
PLBSH1,SHUF,2.5,30,1.5,1.4186,1.1863,1.7208,526
PLBSH1,SHUF,2.5,30,2.0,1.1105,0.937,1.3116,526
PLBSH1,SHUF,2.5,30,3.0,0.9488,0.8034,1.1246,526
