symbol,k,W,R,pf_all,trades_all,pf_tr,pf_fwd,ci_low,ci_high,trades_fwd,wins_fwd,pf_fwd_c0,trades_fwd_c0,pf_fwd_c1,trades_fwd_c1,pf_fwd_c2,trades_fwd_c2
BNB,1.5,30,1.5,1.2911,5521,1.4127,1.3142,1.1567,1.4693,1085,676,1.2533,312,1.4971,446,1.0185,327
BNB,1.5,30,2.0,1.1547,5521,1.2802,1.1656,1.0357,1.3125,1085,567,1.1567,312,1.2594,446,0.9779,327
BNB,1.5,30,3.0,1.0577,5521,1.1258,1.105,0.9873,1.2524,1085,435,1.113,312,1.1683,446,0.9617,327
BNB,1.5,50,1.5,1.3236,5935,1.4614,1.3266,1.1727,1.4842,1169,740,1.2743,333,1.4199,484,1.1746,352
BNB,1.5,50,2.0,1.1829,5935,1.3236,1.1912,1.0565,1.335,1169,624,1.1939,333,1.2221,484,1.1183,352
BNB,1.5,50,3.0,1.0847,5935,1.173,1.129,1.0108,1.2717,1169,482,1.1551,333,1.1596,484,1.0353,352
BNB,1.5,80,1.5,1.3506,6272,1.5084,1.3352,1.1866,1.4917,1229,783,1.256,349,1.4353,506,1.2004,374
BNB,1.5,80,2.0,1.2062,6272,1.3635,1.208,1.081,1.3467,1229,665,1.1777,349,1.2369,506,1.1723,374
BNB,1.5,80,3.0,1.1049,6272,1.2052,1.1316,1.0121,1.2669,1229,512,1.1526,349,1.1712,506,1.0268,374
BNB,2.0,30,1.5,1.4071,2271,1.4861,1.3168,1.0921,1.603,449,283,1.161,125,1.5436,181,1.0472,143
BNB,2.0,30,2.0,1.2399,2271,1.3212,1.1363,0.9423,1.3598,449,233,1.0314,125,1.3045,181,0.92,143
BNB,2.0,30,3.0,1.1034,2271,1.1597,1.0448,0.8637,1.2662,449,178,0.8592,125,1.22,181,0.8886,143
BNB,2.0,50,1.5,1.424,2475,1.5107,1.2978,1.0843,1.5679,495,316,1.1528,134,1.4051,204,1.2053,157
BNB,2.0,50,2.0,1.2519,2475,1.3238,1.148,0.9608,1.3741,495,262,1.062,134,1.2342,204,1.0467,157
BNB,2.0,50,3.0,1.1306,2475,1.1939,1.0998,0.9208,1.3176,495,206,0.9178,134,1.2298,204,1.0051,157
BNB,2.0,80,1.5,1.4573,2669,1.5792,1.3356,1.1169,1.5992,527,342,1.153,140,1.4237,217,1.3224,170
BNB,2.0,80,2.0,1.2747,2669,1.3655,1.199,1.0065,1.4212,527,287,1.0435,140,1.2716,217,1.1941,170
BNB,2.0,80,3.0,1.1492,2669,1.2254,1.1208,0.9499,1.3374,527,224,0.9241,140,1.2459,217,1.0542,170
BNB,2.5,30,1.5,1.5584,1009,1.6186,1.309,0.9922,1.7601,208,128,1.2123,59,1.5872,80,0.9308,69
BNB,2.5,30,2.0,1.3661,1009,1.3751,0.996,0.759,1.2805,208,102,1.1679,59,1.0586,80,0.7542,69
BNB,2.5,30,3.0,1.2665,1009,1.3566,0.9517,0.7063,1.2567,208,79,1.1723,59,0.9655,80,0.7471,69
BNB,2.5,50,1.5,1.5641,1117,1.592,1.3187,1.0261,1.7261,235,150,1.29,63,1.4234,95,1.1233,77
BNB,2.5,50,2.0,1.3756,1117,1.3396,1.0658,0.8395,1.3807,235,123,1.2573,63,1.07,95,0.9161,77
BNB,2.5,50,3.0,1.2962,1117,1.3738,1.09,0.8489,1.4102,235,100,1.2859,63,1.0718,95,0.9733,77
BNB,2.5,80,1.5,1.5903,1232,1.6735,1.403,1.1061,1.8139,253,166,1.2939,66,1.4406,102,1.4138,85
BNB,2.5,80,2.0,1.3864,1232,1.3716,1.1529,0.909,1.47,253,138,1.1902,66,1.1091,102,1.2174,85
BNB,2.5,80,3.0,1.2985,1232,1.3711,1.161,0.9089,1.4733,253,112,1.2462,66,1.1359,102,1.1444,85
BTC,1.5,30,1.5,1.3677,5903,1.421,1.2722,1.1322,1.4163,1352,892,1.5517,298,1.3926,360,1.0988,694
BTC,1.5,30,2.0,1.1857,5903,1.2665,1.0203,0.9143,1.1362,1352,723,1.1713,298,1.0835,360,0.9205,694
BTC,1.5,30,3.0,1.0921,5903,1.1472,0.9612,0.8655,1.0751,1352,557,1.138,298,1.1121,360,0.8004,694
BTC,1.5,50,1.5,1.404,6292,1.47,1.2702,1.1356,1.4087,1450,959,1.5939,307,1.3966,382,1.0883,761
BTC,1.5,50,2.0,1.2208,6292,1.3131,1.0342,0.9284,1.1434,1450,781,1.1892,307,1.126,382,0.9195,761
BTC,1.5,50,3.0,1.1218,6292,1.1768,0.9787,0.8803,1.0893,1450,605,1.1433,307,1.1642,382,0.8076,761
BTC,1.5,80,1.5,1.4399,6647,1.5059,1.3175,1.1792,1.4604,1526,1025,1.7063,332,1.4212,390,1.1309,804
BTC,1.5,80,2.0,1.2536,6647,1.3571,1.0663,0.9596,1.1705,1526,839,1.2302,332,1.1521,390,0.9522,804
BTC,1.5,80,3.0,1.1575,6647,1.2293,1.0094,0.9135,1.1197,1526,653,1.1665,332,1.1736,390,0.8522,804
BTC,2.0,30,1.5,1.5381,2663,1.585,1.4326,1.2105,1.7011,616,423,1.9113,133,1.4973,161,1.2487,322
BTC,2.0,30,2.0,1.2608,2663,1.3742,1.0058,0.8547,1.1785,616,335,1.446,133,0.9768,161,0.8808,322
BTC,2.0,30,3.0,1.157,2663,1.2657,0.9452,0.8087,1.1077,616,257,1.2974,133,1.0703,161,0.7523,322
BTC,2.0,50,1.5,1.5782,2906,1.6409,1.3865,1.1801,1.6335,669,457,1.9832,140,1.4883,169,1.1717,360
BTC,2.0,50,2.0,1.298,2906,1.4138,1.0102,0.8643,1.1764,669,367,1.512,140,0.9997,169,0.8687,360
BTC,2.0,50,3.0,1.1768,2906,1.269,0.9412,0.8059,1.1019,669,283,1.322,140,1.0767,169,0.7463,360
BTC,2.0,80,1.5,1.6095,3132,1.6575,1.4565,1.2491,1.715,720,502,2.2478,160,1.5137,173,1.2172,387
BTC,2.0,80,2.0,1.3286,3132,1.4468,1.0513,0.9036,1.2125,720,406,1.5531,160,1.0246,173,0.9074,387
BTC,2.0,80,3.0,1.2167,3132,1.3179,0.9818,0.8513,1.1421,720,315,1.3422,160,1.1008,173,0.7935,387
BTC,2.5,30,1.5,1.6179,1366,1.7274,1.2882,1.0269,1.6504,315,216,2.1003,71,1.3127,78,1.0785,166
BTC,2.5,30,2.0,1.3816,1366,1.6119,0.9337,0.7426,1.18,315,172,1.26,71,0.901,78,0.8425,166
BTC,2.5,30,3.0,1.2011,1366,1.3389,0.8671,0.6912,1.079,315,132,1.0588,71,1.0322,78,0.7168,166
BTC,2.5,50,1.5,1.6746,1524,1.7225,1.3103,1.0639,1.6434,347,240,2.2056,77,1.3709,83,1.0816,187
BTC,2.5,50,2.0,1.4352,1524,1.5929,0.982,0.7967,1.2167,347,195,1.3423,77,0.9721,83,0.875,187
BTC,2.5,50,3.0,1.2316,1524,1.3071,0.8774,0.7071,1.0943,347,149,1.0758,77,1.063,83,0.7228,187
BTC,2.5,80,1.5,1.7001,1681,1.7593,1.3685,1.1141,1.713,381,268,2.5029,91,1.3883,85,1.106,205
BTC,2.5,80,2.0,1.4612,1681,1.6545,1.0133,0.8283,1.2476,381,219,1.3798,91,0.9899,85,0.9001,205
