series,kind,near,frac,P,pf_all,ci_low,ci_high,trades_all
PLBGB1,GBM,0.05,0.75,10,0.8963,0.3935,1.7208,46
PLBGB1,GBM,0.03,0.75,10,0.5678,0.2298,1.0725,60
PLBGB1,GBM,0.07,0.75,10,0.7659,0.2859,1.6115,34
PLBGB1,GBM,0.05,0.9,10,0.7946,0.3065,1.5819,43
PLBGB1,GBM,0.05,1.0,10,0.5741,0.1312,1.3123,36
PLBGB1,GBM,0.05,0.75,30,0.6541,0.2492,1.3289,39
PLBGB1,GBM,0.05,0.75,50,0.4671,0.1397,0.999,41
PLBSH1,SHUF,0.05,0.75,10,1.663,0.8743,3.2128,43
PLBSH1,SHUF,0.03,0.75,10,1.4992,0.8084,2.7606,47
PLBSH1,SHUF,0.07,0.75,10,2.1401,1.0089,4.1198,37
PLBSH1,SHUF,0.05,0.9,10,1.1431,0.4234,2.2226,34
PLBSH1,SHUF,0.05,1.0,10,0.982,0.3628,2.1043,32
PLBSH1,SHUF,0.05,0.75,30,2.5433,1.3051,5.0197,37
PLBSH1,SHUF,0.05,0.75,50,2.8697,1.428,6.0414,35
PLBGB2,GBM,0.05,0.75,10,1.0376,0.6929,1.488,150
PLBGB2,GBM,0.03,0.75,10,1.2685,0.8214,1.8121,151
PLBGB2,GBM,0.07,0.75,10,1.0811,0.6596,1.6518,124
PLBGB2,GBM,0.05,0.9,10,1.1461,0.6803,1.6928,140
PLBGB2,GBM,0.05,1.0,10,1.2211,0.7046,1.8998,131
PLBGB2,GBM,0.05,0.75,30,0.9176,0.5613,1.4037,113
PLBGB2,GBM,0.05,0.75,50,0.8745,0.5053,1.3907,101
PLBSH2,SHUF,0.05,0.75,10,1.2675,0.8573,1.7781,145
PLBSH2,SHUF,0.03,0.75,10,1.2587,0.8254,1.8054,136
PLBSH2,SHUF,0.07,0.75,10,1.3691,0.9152,2.0028,128
PLBSH2,SHUF,0.05,0.9,10,1.2776,0.8396,1.8719,128
PLBSH2,SHUF,0.05,1.0,10,1.3677,0.8556,2.057,119
PLBSH2,SHUF,0.05,0.75,30,1.2751,0.8551,1.854,132
PLBSH2,SHUF,0.05,0.75,50,1.1486,0.7688,1.679,118
PLBGB3,GBM,0.05,0.75,10,0.9406,0.6923,1.2433,278
PLBGB3,GBM,0.03,0.75,10,0.978,0.7078,1.3072,272
PLBGB3,GBM,0.07,0.75,10,0.9778,0.6951,1.3287,245
PLBGB3,GBM,0.05,0.9,10,0.9919,0.6817,1.3412,250
PLBGB3,GBM,0.05,1.0,10,1.0377,0.6992,1.4151,240
PLBGB3,GBM,0.05,0.75,30,1.1211,0.7603,1.5475,205
PLBGB3,GBM,0.05,0.75,50,1.1419,0.7896,1.6012,174
PLBSH3,SHUF,0.05,0.75,10,0.8892,0.6552,1.1946,195
PLBSH3,SHUF,0.03,0.75,10,0.7636,0.5199,1.0577,175
PLBSH3,SHUF,0.07,0.75,10,0.9184,0.6644,1.2269,197
PLBSH3,SHUF,0.05,0.9,10,0.8999,0.626,1.2553,168
PLBSH3,SHUF,0.05,1.0,10,1.0262,0.6701,1.4872,155
PLBSH3,SHUF,0.05,0.75,30,0.6692,0.47,0.9348,152
PLBSH3,SHUF,0.05,0.75,50,0.6226,0.42,0.898,138
