symbol,near,frac,P,pf_all,trades_all,pf_fwd,ci_low,ci_high,trades_fwd,wins_fwd,pf_fwd_c0,n_c0,pf_fwd_c1,n_c1,pf_fwd_c2,n_c2
BNB,0.05,0.75,10,0.7182,375,0.9478,0.4374,1.666,49,13,0.0,1,1.0397,46,0.0,2
BNB,0.03,0.75,10,0.5971,356,0.7199,0.3464,1.3148,50,11,0.0,2,0.7044,46,3.7523,2
BNB,0.07,0.75,10,0.8602,341,0.7874,0.2543,1.5257,39,8,0.0,1,0.8725,36,0.0,2
BNB,0.05,0.9,10,0.8607,345,1.0257,0.4416,2.0349,41,10,0.0,0,1.0708,39,0.0,2
BNB,0.05,1.0,10,0.8777,328,1.3458,0.6349,2.5598,43,11,0.0,0,1.2593,40,4.4052,3
BNB,0.05,0.75,30,0.6158,316,0.9367,0.4287,1.6624,47,13,0.0,1,0.8995,43,4.6622,3
BNB,0.05,0.75,50,0.6641,270,0.7735,0.3728,1.4195,49,11,0.0,1,0.7262,45,4.6622,3
BTC,0.05,0.75,10,0.8557,302,1.1243,0.5281,2.1545,42,11,1.0277,10,1.0978,25,1.4248,7
BTC,0.03,0.75,10,0.8879,314,1.1692,0.5727,2.1772,50,14,1.2437,14,1.3552,27,0.502,9
BTC,0.07,0.75,10,0.8858,267,1.159,0.4829,2.44,35,10,1.2368,9,0.6708,19,4.5082,7
BTC,0.05,0.9,10,0.8581,267,0.9921,0.3217,1.9106,40,8,1.2692,10,0.8874,24,1.279,6
BTC,0.05,1.0,10,0.8778,254,0.9712,0.3712,1.9622,40,7,1.3158,8,0.8735,26,1.1883,6
BTC,0.05,0.75,30,0.7454,259,1.2118,0.6207,2.2216,50,15,0.273,11,1.5836,30,0.9613,9
BTC,0.05,0.75,50,0.6762,239,1.0085,0.5226,1.8132,53,15,0.2117,12,1.3471,33,0.9005,8
ETH,0.05,0.75,10,0.6866,461,0.7312,0.3791,1.1949,69,17,5.0,2,0.0,3,0.6792,64
ETH,0.03,0.75,10,0.6719,416,1.0247,0.5677,1.7336,69,19,5.0,1,2.0981,4,0.9173,64
ETH,0.07,0.75,10,0.9016,414,1.1858,0.6799,2.0119,64,21,5.0,2,0.6743,3,1.1163,59
ETH,0.05,0.9,10,0.7407,411,0.9067,0.4847,1.5515,64,15,5.0,2,0.0,3,0.8351,59
ETH,0.05,1.0,10,0.7391,385,0.6923,0.3147,1.2587,60,10,5.0,2,0.0,3,0.586,55
ETH,0.05,0.75,30,0.6561,367,0.7016,0.3848,1.1994,60,16,3.0743,2,0.0,3,0.6985,55
ETH,0.05,0.75,50,0.6009,359,0.7457,0.3796,1.2468,62,17,3.0743,2,0.0,3,0.7465,57
XRP,0.05,0.75,10,0.7036,394,0.4995,0.2953,0.8047,77,21,1.8193,15,0.3876,47,0.3472,15
XRP,0.03,0.75,10,0.5302,353,0.3649,0.1828,0.5979,73,16,1.1883,12,0.2874,50,0.243,11
XRP,0.07,0.75,10,0.8922,392,0.6019,0.3402,0.9587,75,23,2.3459,13,0.4115,46,0.7413,16
XRP,0.05,0.9,10,0.6649,334,0.3683,0.1504,0.6419,64,11,2.1681,11,0.1617,40,0.4735,13
XRP,0.05,1.0,10,0.6889,316,0.4089,0.1862,0.7414,61,10,2.949,9,0.1965,39,0.5284,13
XRP,0.05,0.75,30,0.5728,331,0.4739,0.2734,0.796,66,21,2.3185,13,0.31,40,0.3646,13
XRP,0.05,0.75,50,0.5016,290,0.519,0.3023,0.8793,63,22,1.7391,10,0.4187,42,0.4195,11
SOL,0.05,0.75,10,0.8287,460,1.095,0.6715,1.7244,88,26,0.7811,33,1.6538,41,0.3595,14
SOL,0.03,0.75,10,0.8586,428,0.9542,0.5757,1.514,88,25,0.9228,35,1.228,39,0.3595,14
SOL,0.07,0.75,10,0.9253,417,1.1663,0.6047,1.9057,69,17,1.0485,25,1.6854,30,0.2975,14
SOL,0.05,0.9,10,0.8886,415,1.1403,0.639,1.7989,81,22,0.9818,32,1.4674,36,0.5866,13
