symbol,opt_pf_fwd_global,opt_pf_fwd_c0,opt_preset_c0,opt_pf_fwd_c1,opt_preset_c1,opt_pf_fwd_c2,opt_preset_c2
BNB,3.6157,4.082,SMA(24)/TEMA(69)_H00,3.364,FRAMA(10)/FRAMA(72)_H00,3.909,KAMA(14)/FRAMA(72)_H00
BTC,4.7593,5.79,VIDYA(16)/SMA(60)_H00,4.047,KAMA(22)/FRAMA(54)_H00,4.145,FRAMA(22)/TEMA(75)_H05
ETH,3.8742,3.307,VIDYA(18)/FRAMA(60)_H00,628.284,VWMA(24)/TEMA(66)_H00,3.253,VIDYA(14)/KAMA(45)_H00
XRP,3.8132,3.974,FRAMA(22)/SSmoother(33)_H05,3.831,FRAMA(22)/SSmoother(33)_H00,3.552,FRAMA(22)/ZLEMA(36)_H05
SOL,3.9657,4.336,VIDYA(22)/EMA(45)_H05,3.664,KAMA(24)/FRAMA(57)_H00,3.917,VIDYA(24)/EMA(49)_H00
TRX,3.9849,4.734,TEMA(8)/VIDYA(69)_H00,3.701,EMA(12)/TEMA(48)_H05,3.453,T3(16)/HMA(72)_H05
DOGE,4.729,5.409,VIDYA(14)/KAMA(54)_H05,3.651,FRAMA(12)/TEMA(72)_H00,1372.737,VIDYA(8)/TEMA(33)_H05
ADA,3.7471,3.461,KAMA(12)/SSmoother(30)_H00,3.927,VIDYA(24)/VWMA(48)_H00,4.258,VIDYA(22)/ZLEMA(42)_H05
BCH,3.8615,4.304,VIDYA(22)/VWMA(54)_H05,3.833,McGinley(24)/TEMA(72)_H00,3.144,ALMA(24)/JMA(49)_H05
LINK,3.7464,3.498,EMA(24)/FRAMA(72)_H05,4.029,McGinley(22)/ZLEMA(45)_H00,3.753,McGinley(24)/DEMA(42)_H00
XLM,4.3091,5.315,EMA(22)/KAMA(42)_H00,4.565,SMA(22)/EMA(33)_H05,3.594,KAMA(14)/ALMA(72)_H00
SUI,2.395,2.35,T3(24)/KAMA(30)_H05,3.52,JMA(22)/KAMA(36)_H00,1.645,T3(24)/ZLEMA(60)_H00
