series,kind,ma_type,fast,slow,hyst,pf,ci_low,ci_high,trades
PLBGB1,GBM,SMA,8,40,0.0,0.9141,0.7941,1.0554,875
PLBGB1,GBM,SMA,8,40,0.5,0.8885,0.7509,1.0501,593
PLBGB1,GBM,SMA,10,55,0.0,0.9631,0.8062,1.1302,648
PLBGB1,GBM,SMA,10,55,0.5,0.8915,0.7326,1.0718,476
PLBGB1,GBM,SMA,12,60,0.0,0.9145,0.7652,1.0894,586
PLBGB1,GBM,SMA,12,60,0.5,0.9132,0.7427,1.1068,439
PLBGB1,GBM,EMA,8,40,0.0,0.8127,0.691,0.9438,921
PLBGB1,GBM,EMA,8,40,0.5,0.8936,0.7238,1.0858,466
PLBGB1,GBM,EMA,10,55,0.0,0.8704,0.7259,1.0279,681
PLBGB1,GBM,EMA,10,55,0.5,0.8486,0.6785,1.0413,385
PLBGB1,GBM,EMA,12,60,0.0,0.8664,0.717,1.0378,605
PLBGB1,GBM,EMA,12,60,0.5,0.905,0.7159,1.1207,345
PLBGB1,GBM,HMA,8,40,0.0,0.8176,0.7541,0.8909,2498
PLBGB1,GBM,HMA,8,40,0.5,0.8311,0.7552,0.9173,1695
PLBGB1,GBM,HMA,10,55,0.0,0.8505,0.7802,0.935,2012
PLBGB1,GBM,HMA,10,55,0.5,0.8676,0.7806,0.9707,1368
PLBGB1,GBM,HMA,12,60,0.0,0.847,0.7683,0.9358,1767
PLBGB1,GBM,HMA,12,60,0.5,0.8707,0.7794,0.9797,1239
PLBGB1,GBM,ZLEMA,8,40,0.0,0.846,0.777,0.9239,2380
PLBGB1,GBM,ZLEMA,8,40,0.5,0.8395,0.7553,0.9394,1361
PLBGB1,GBM,ZLEMA,10,55,0.0,0.8898,0.8061,0.9865,1726
PLBGB1,GBM,ZLEMA,10,55,0.5,0.8894,0.7962,1.0101,1062
PLBGB1,GBM,ZLEMA,12,60,0.0,0.8651,0.7805,0.9664,1548
PLBGB1,GBM,ZLEMA,12,60,0.5,0.8875,0.7896,1.0118,957
PLBGB1,GBM,KAMA,8,40,0.0,0.8506,0.7124,1.0113,608
PLBGB1,GBM,KAMA,8,40,0.5,0.843,0.6802,1.0294,396
PLBGB1,GBM,KAMA,10,55,0.0,0.8787,0.7145,1.0626,470
PLBGB1,GBM,KAMA,10,55,0.5,0.7972,0.6317,0.9867,340
PLBGB1,GBM,KAMA,12,60,0.0,0.8761,0.7076,1.078,416
PLBGB1,GBM,KAMA,12,60,0.5,0.794,0.6172,0.9964,331
PLBGB1,GBM,VIDYA,8,40,0.0,0.7371,0.5543,0.9611,271
PLBGB1,GBM,VIDYA,8,40,0.5,0.8307,0.5903,1.1483,181
PLBGB1,GBM,VIDYA,10,55,0.0,0.9798,0.6629,1.3672,153
PLBGB1,GBM,VIDYA,10,55,0.5,0.8871,0.6185,1.2451,151
PLBGB1,GBM,VIDYA,12,60,0.0,0.914,0.6047,1.3374,134
PLBGB1,GBM,VIDYA,12,60,0.5,0.9209,0.6035,1.3105,134
PLBGB1,GBM,FRAMA,8,40,0.0,0.8486,0.7752,0.9372,1733
PLBGB1,GBM,FRAMA,8,40,0.5,0.9152,0.7941,1.063,733
PLBGB1,GBM,FRAMA,10,55,0.0,0.8274,0.7545,0.916,1616
PLBGB1,GBM,FRAMA,10,55,0.5,0.923,0.7911,1.0797,671
PLBGB1,GBM,FRAMA,12,60,0.0,0.8516,0.7764,0.9434,1604
PLBGB1,GBM,FRAMA,12,60,0.5,0.9743,0.8457,1.1327,720
PLBGB1,GBM,TEMA,8,40,0.0,0.8433,0.7742,0.9235,2238
PLBGB1,GBM,TEMA,8,40,0.5,0.891,0.7985,0.9988,1219
PLBGB1,GBM,TEMA,10,55,0.0,0.8698,0.7877,0.9647,1730
PLBGB1,GBM,TEMA,10,55,0.5,0.8552,0.7652,0.9722,1039
PLBGB1,GBM,TEMA,12,60,0.0,0.8507,0.7657,0.9499,1522
PLBGB1,GBM,TEMA,12,60,0.5,0.8635,0.755,0.9882,918
PLBGB1,GBM,DEMA,8,40,0.0,0.8312,0.7498,0.9253,1656
PLBGB1,GBM,DEMA,8,40,0.5,0.8497,0.7463,0.9723,912
PLBGB1,GBM,DEMA,10,55,0.0,0.8709,0.7784,0.9839,1256
PLBGB1,GBM,DEMA,10,55,0.5,0.877,0.7543,1.0191,740
PLBGB1,GBM,DEMA,12,60,0.0,0.846,0.7443,0.9631,1110
PLBGB1,GBM,DEMA,12,60,0.5,0.8402,0.7205,0.9856,669
PLBGB1,GBM,T3,8,40,0.0,1.0206,0.8661,1.1939,680
PLBGB1,GBM,T3,8,40,0.5,0.9103,0.7714,1.0751,554
PLBGB1,GBM,T3,10,55,0.0,0.9346,0.7749,1.1134,547
PLBGB1,GBM,T3,10,55,0.5,0.8715,0.7168,1.0556,466
PLBGB1,GBM,T3,12,60,0.0,0.9592,0.7891,1.1517,506
PLBGB1,GBM,T3,12,60,0.5,0.8398,0.6898,1.0104,448
PLBGB1,GBM,Tenkan,8,40,0.0,0.8642,0.7445,0.9953,861
PLBGB1,GBM,Tenkan,8,40,0.5,0.8914,0.7534,1.052,619
PLBGB1,GBM,Tenkan,10,55,0.0,0.9273,0.782,1.0955,633
PLBGB1,GBM,Tenkan,10,55,0.5,0.9028,0.7427,1.0853,491
PLBGB1,GBM,Tenkan,12,60,0.0,0.9313,0.7726,1.1083,578
PLBGB1,GBM,Tenkan,12,60,0.5,0.9281,0.7611,1.1185,442
PLBGB1,GBM,ALMA,8,40,0.0,0.8072,0.7328,0.888,2028
PLBGB1,GBM,ALMA,8,40,0.5,0.8606,0.7737,0.9756,1148
PLBGB1,GBM,ALMA,10,55,0.0,0.8301,0.7497,0.9263,1545
PLBGB1,GBM,ALMA,10,55,0.5,0.8428,0.7372,0.9671,917
PLBGB1,GBM,ALMA,12,60,0.0,0.8186,0.736,0.9187,1385
PLBGB1,GBM,ALMA,12,60,0.5,0.8407,0.7291,0.973,840
PLBGB1,GBM,McGinley,8,40,0.0,0.8097,0.6874,0.947,821
PLBGB1,GBM,McGinley,8,40,0.5,0.9011,0.7321,1.1036,423
PLBGB1,GBM,McGinley,10,55,0.0,0.8292,0.6838,0.9961,607
PLBGB1,GBM,McGinley,10,55,0.5,0.8353,0.6556,1.041,356
PLBGB1,GBM,McGinley,12,60,0.0,0.8466,0.6903,1.0177,547
PLBGB1,GBM,McGinley,12,60,0.5,0.8148,0.631,1.0248,332
PLBGB1,GBM,VWMA,8,40,0.0,0.9279,0.8046,1.068,890
PLBGB1,GBM,VWMA,8,40,0.5,0.8698,0.7353,1.0274,601
PLBGB1,GBM,VWMA,10,55,0.0,0.9596,0.8193,1.1222,672
PLBGB1,GBM,VWMA,10,55,0.5,0.9024,0.7406,1.0857,477
PLBGB1,GBM,VWMA,12,60,0.0,0.9143,0.7684,1.0845,603
PLBGB1,GBM,VWMA,12,60,0.5,0.8697,0.7103,1.0599,452
PLBSH1,SHUF,SMA,8,40,0.0,0.8059,0.6936,0.9327,888
PLBSH1,SHUF,SMA,8,40,0.5,0.8882,0.7464,1.0543,593
PLBSH1,SHUF,SMA,10,55,0.0,0.8057,0.6772,0.947,679
PLBSH1,SHUF,SMA,10,55,0.5,0.8415,0.6882,1.0156,471
PLBSH1,SHUF,SMA,12,60,0.0,0.8081,0.6796,0.9571,599
PLBSH1,SHUF,SMA,12,60,0.5,0.9049,0.7438,1.0886,444
PLBSH1,SHUF,EMA,8,40,0.0,0.7586,0.6476,0.8831,871
PLBSH1,SHUF,EMA,8,40,0.5,0.89,0.7226,1.08,439
PLBSH1,SHUF,EMA,10,55,0.0,0.7937,0.654,0.9459,643
PLBSH1,SHUF,EMA,10,55,0.5,0.8639,0.6875,1.052,376
PLBSH1,SHUF,EMA,12,60,0.0,0.8285,0.6755,0.9962,570
PLBSH1,SHUF,EMA,12,60,0.5,0.8634,0.6836,1.068,349
PLBSH1,SHUF,HMA,8,40,0.0,0.8869,0.8151,0.9683,2304
PLBSH1,SHUF,HMA,8,40,0.5,0.8748,0.7916,0.9722,1561
PLBSH1,SHUF,HMA,10,55,0.0,0.8733,0.7909,0.9634,1857
PLBSH1,SHUF,HMA,10,55,0.5,0.9355,0.8397,1.0528,1283
PLBSH1,SHUF,HMA,12,60,0.0,0.8462,0.7656,0.9395,1664
PLBSH1,SHUF,HMA,12,60,0.5,0.9037,0.8094,1.02,1193
PLBSH1,SHUF,ZLEMA,8,40,0.0,0.8734,0.7981,0.957,2184
PLBSH1,SHUF,ZLEMA,8,40,0.5,0.8697,0.7812,0.9781,1275
PLBSH1,SHUF,ZLEMA,10,55,0.0,0.9161,0.8274,1.0221,1579
