symbol,ma_type,fast,slow,hyst,n_clusters,pf_tr,pf_fwd,ci_low,ci_high,trades_fwd,wins_fwd,pf_fwd_c0,trades_fwd_c0,pf_fwd_c1,trades_fwd_c1,pf_fwd_c2,trades_fwd_c2
BNB,SMA,8,40,0.0,3,0.8854,0.9855,0.8079,1.1951,500,150,1.1222,154,1.0821,194,0.7047,152
BNB,SMA,8,40,0.5,3,0.9164,0.9712,0.7716,1.189,341,117,1.4846,105,0.9064,137,0.7064,99
BNB,SMA,10,55,0.0,3,0.977,0.9866,0.7962,1.2059,386,133,1.2021,122,0.9027,157,0.9297,107
BNB,SMA,10,55,0.5,3,1.4595,1.1333,0.8925,1.4191,278,104,1.0485,96,1.0629,118,1.5073,64
BNB,SMA,12,60,0.0,3,1.2405,1.0272,0.8219,1.2802,351,121,1.1247,118,0.9258,132,1.1258,101
BNB,SMA,12,60,0.5,3,1.3138,1.0235,0.8018,1.3066,259,93,0.9689,88,0.9112,114,1.5541,57
BNB,EMA,8,40,0.0,3,0.9175,0.8414,0.6775,1.0231,492,124,1.0015,171,0.7952,193,0.7557,128
BNB,EMA,8,40,0.5,3,1.1589,0.9307,0.6953,1.2101,238,74,1.1991,89,0.7227,92,1.1127,57
BNB,EMA,10,55,0.0,3,1.1534,0.9324,0.7314,1.16,353,96,0.9553,137,0.8769,127,1.0077,89
BNB,EMA,10,55,0.5,3,1.5112,0.9894,0.7143,1.3479,192,56,1.0754,77,0.931,73,1.0006,42
BNB,EMA,12,60,0.0,3,1.2129,0.8798,0.6754,1.126,323,74,0.9123,132,0.8177,123,0.9658,68
BNB,EMA,12,60,0.5,3,1.6424,1.065,0.7679,1.429,178,58,0.9856,73,1.1517,68,0.9812,37
BNB,HMA,8,40,0.0,3,0.9653,0.869,0.7814,0.9719,1432,500,0.9024,377,0.8909,619,0.7865,436
BNB,HMA,8,40,0.5,3,1.1677,0.8443,0.7443,0.9678,903,363,0.8511,249,0.8486,387,0.8262,267
BNB,HMA,10,55,0.0,3,1.1555,0.8539,0.7565,0.9668,1128,383,0.8548,303,0.8894,486,0.7706,339
BNB,HMA,10,55,0.5,3,1.208,0.9604,0.833,1.1161,728,310,0.9387,211,1.0187,308,0.8473,209
BNB,HMA,12,60,0.0,3,1.13,0.8867,0.7751,1.0134,971,338,0.9139,269,0.976,405,0.6839,297
BNB,HMA,12,60,0.5,3,1.2322,0.9803,0.8449,1.1463,679,278,0.9264,193,1.1124,287,0.7458,199
BNB,ZLEMA,8,40,0.0,3,1.084,0.8198,0.7378,0.9194,1354,423,0.8405,380,0.8568,572,0.7139,402
BNB,ZLEMA,8,40,0.5,3,1.1445,0.8928,0.7717,1.0402,725,292,0.9936,203,0.8895,311,0.8009,211
BNB,ZLEMA,10,55,0.0,3,1.1677,0.9691,0.8478,1.1117,925,312,1.0553,268,1.0083,381,0.7993,276
BNB,ZLEMA,10,55,0.5,3,1.1442,0.8822,0.7524,1.0434,589,233,1.1458,166,0.886,251,0.6656,172
BNB,ZLEMA,12,60,0.0,3,1.152,0.9212,0.7926,1.0688,797,267,1.0227,236,0.995,318,0.6935,243
BNB,ZLEMA,12,60,0.5,3,1.1803,0.9735,0.8202,1.1582,539,223,1.494,155,0.939,224,0.6582,160
BNB,KAMA,8,40,0.0,3,0.9957,1.1966,0.9523,1.4808,323,111,1.1913,107,1.2271,138,1.1251,78
BNB,KAMA,8,40,0.5,3,1.0244,0.9071,0.6836,1.1793,209,75,0.989,68,0.8775,89,0.8727,52
BNB,KAMA,10,55,0.0,3,1.1851,0.9775,0.7435,1.2783,241,81,0.9885,73,0.9877,111,0.9353,57
BNB,KAMA,10,55,0.5,3,1.3084,0.7928,0.5771,1.0581,192,66,0.7362,67,0.8502,79,0.7465,46
BNB,KAMA,12,60,0.0,3,1.3547,1.0025,0.7449,1.3361,215,68,0.9007,68,1.1253,92,0.8446,55
BNB,KAMA,12,60,0.5,3,1.4786,0.9759,0.692,1.3254,172,55,0.7629,62,1.3369,65,0.5687,45
BNB,VIDYA,8,40,0.0,3,1.6417,1.3873,0.8561,2.0833,97,30,1.6665,39,1.1447,33,1.4112,25
BNB,VIDYA,8,40,0.5,3,2.1226,1.2372,0.7438,1.9739,86,25,1.8422,40,0.7743,27,0.7312,19
BNB,VIDYA,10,55,0.0,3,1.7725,1.3586,0.8067,2.2231,70,22,2.2591,32,0.5837,21,1.0555,17
BNB,VIDYA,10,55,0.5,3,1.7223,1.349,0.699,2.4253,53,15,2.8665,16,0.3621,21,1.3859,16
BNB,VIDYA,12,60,0.0,3,2.1965,1.4918,0.744,2.5668,56,17,3.2603,18,0.4635,16,1.0327,22
BNB,VIDYA,12,60,0.5,3,2.6286,1.5949,0.7595,2.848,44,14,3.3793,13,0.6031,12,0.9607,19
BNB,FRAMA,8,40,0.0,3,0.9762,0.9296,0.826,1.0495,1057,501,1.141,269,0.947,487,0.7053,301
BNB,FRAMA,8,40,0.5,3,1.0394,0.9812,0.8065,1.186,431,176,1.0972,117,0.9708,201,0.8705,113
BNB,FRAMA,10,55,0.0,3,1.0175,0.947,0.8391,1.0811,968,452,1.0331,233,0.9856,424,0.7846,311
BNB,FRAMA,10,55,0.5,3,1.2193,1.1468,0.9298,1.4213,358,152,1.4744,96,1.0339,166,1.127,96
BNB,FRAMA,12,60,0.0,3,0.9825,0.8758,0.7786,0.9926,991,479,0.9631,225,0.8477,457,0.8825,309
BNB,FRAMA,12,60,0.5,3,1.1251,1.1149,0.9161,1.3649,397,177,1.1907,97,1.1288,184,1.0118,116
BNB,TEMA,8,40,0.0,3,1.0293,0.8923,0.8003,1.0091,1218,408,0.9686,341,0.9557,508,0.6842,369
BNB,TEMA,8,40,0.5,3,1.1079,0.9307,0.8015,1.0895,671,280,0.9195,196,1.0301,280,0.7308,195
BNB,TEMA,10,55,0.0,3,1.0687,0.9234,0.8076,1.0595,928,310,1.0866,267,0.9805,385,0.6676,276
BNB,TEMA,10,55,0.5,3,1.1236,0.9338,0.7953,1.1074,551,225,1.6292,146,0.8782,238,0.6255,167
BNB,TEMA,12,60,0.0,3,1.0425,0.9077,0.7813,1.0532,785,272,1.0793,220,0.9522,325,0.6771,240
BNB,TEMA,12,60,0.5,3,1.2061,0.9335,0.782,1.1169,502,203,1.5601,133,0.8839,216,0.6698,153
BNB,DEMA,8,40,0.0,3,1.0371,0.9429,0.8094,1.089,894,272,1.0368,256,1.0585,355,0.6617,283
BNB,DEMA,8,40,0.5,3,1.0783,0.9468,0.7846,1.1341,480,188,1.5175,137,0.9646,189,0.554,154
BNB,DEMA,10,55,0.0,3,1.1087,0.8611,0.7297,1.0126,681,206,1.1912,211,0.8859,254,0.5612,216
BNB,DEMA,10,55,0.5,3,1.0478,0.9343,0.7498,1.1486,393,138,1.5958,119,0.8459,151,0.6397,123
BNB,DEMA,12,60,0.0,3,1.0011,0.8816,0.7361,1.043,581,172,1.1884,177,0.8839,221,0.6275,183
BNB,DEMA,12,60,0.5,3,0.9716,1.0349,0.8364,1.2652,359,129,1.7089,108,0.9262,148,0.7042,103
BNB,T3,8,40,0.0,3,1.0481,0.9659,0.7834,1.1765,411,145,1.4613,129,0.8269,166,0.8274,116
BNB,T3,8,40,0.5,3,1.1642,0.9486,0.7591,1.1852,337,126,1.572,99,0.731,147,0.9043,91
BNB,T3,10,55,0.0,3,1.3085,0.9274,0.7338,1.1369,325,106,1.136,100,0.8839,140,0.8268,85
BNB,T3,10,55,0.5,3,1.2957,0.9674,0.7305,1.2497,255,84,1.0866,82,0.8957,108,1.0117,65
BNB,T3,12,60,0.0,3,1.1286,0.975,0.7665,1.2373,288,99,0.9813,97,0.9501,115,1.0302,76
BNB,T3,12,60,0.5,3,1.2211,0.9781,0.7444,1.2401,248,90,0.8756,84,1.0821,106,0.8464,58
BNB,Tenkan,8,40,0.0,3,0.8752,1.0757,0.899,1.2856,528,186,0.9666,152,1.4829,219,0.6197,157
BNB,Tenkan,8,40,0.5,3,0.9005,1.0541,0.8459,1.2934,386,127,0.9214,132,1.4466,147,0.5915,107
BNB,Tenkan,10,55,0.0,3,1.2836,0.9552,0.7703,1.1668,420,136,0.8617,136,1.0921,177,0.8003,107
BNB,Tenkan,10,55,0.5,3,1.1982,0.9465,0.7487,1.1637,309,110,0.8868,102,0.8451,131,1.3279,76
BNB,Tenkan,12,60,0.0,3,1.219,0.8789,0.7078,1.0869,392,129,0.8852,128,0.8916,162,0.8442,102
BNB,Tenkan,12,60,0.5,3,1.3311,1.0506,0.8257,1.3009,291,111,0.981,100,0.9891,121,1.3496,70
BNB,ALMA,8,40,0.0,3,0.9912,0.8329,0.7309,0.9468,1124,337,0.7064,338,0.8899,471,0.8478,315
BNB,ALMA,8,40,0.5,3,1.02,0.8689,0.7278,1.0198,636,208,0.9273,182,1.0256,244,0.5781,210
BNB,ALMA,10,55,0.0,3,1.0394,0.9166,0.7878,1.0579,856,267,0.8978,254,1.0046,351,0.767,251
BNB,ALMA,10,55,0.5,3,1.0382,0.9327,0.7713,1.1159,509,173,1.2082,154,0.9776,201,0.6209,154
BNB,ALMA,12,60,0.0,3,1.0486,0.9844,0.8405,1.1436,740,242,1.0349,227,1.0466,293,0.8156,220
BNB,ALMA,12,60,0.5,3,0.9745,0.9246,0.7552,1.117,468,152,1.3122,142,0.9737,177,0.5507,149
BNB,McGinley,8,40,0.0,3,1.2085,0.863,0.6943,1.05,444,110,0.8921,160,0.8235,172,0.9056,112
BNB,McGinley,8,40,0.5,3,1.9332,1.1016,0.8205,1.4667,214,69,1.0404,88,1.0784,75,1.2765,51
BNB,McGinley,10,55,0.0,3,1.7306,0.9749,0.7424,1.2224,304,80,0.9636,126,0.9614,114,1.0331,64
BNB,McGinley,10,55,0.5,3,2.0906,1.1896,0.8611,1.5964,174,60,1.0517,68,1.2282,70,1.3218,36
BNB,McGinley,12,60,0.0,3,1.8144,1.035,0.7847,1.3487,247,70,1.0116,107,0.9849,89,1.2096,51
BNB,McGinley,12,60,0.5,3,1.5887,1.0763,0.7527,1.4817,161,54,0.836,68,1.3559,63,0.8265,30
BNB,VWMA,8,40,0.0,3,0.9053,1.0029,0.8388,1.196,551,181,1.193,163,1.0818,225,0.7082,163
BNB,VWMA,8,40,0.5,3,0.9162,0.9624,0.7674,1.1759,366,126,1.266,113,0.9856,150,0.6475,103
BNB,VWMA,10,55,0.0,3,1.0342,0.9823,0.7906,1.1999,431,132,1.1589,141,0.9376,176,0.8681,114
BNB,VWMA,10,55,0.5,3,1.1406,0.947,0.7398,1.1734,304,102,0.9551,105,0.8255,125,1.25,74
BNB,VWMA,12,60,0.0,3,1.1453,0.9233,0.7415,1.1318,411,134,1.0791,140,0.8102,174,1.0052,97
BNB,VWMA,12,60,0.5,3,1.2865,0.9754,0.7653,1.2237,280,100,1.1192,92,0.8002,127,1.2795,61
BTC,SMA,8,40,0.0,3,0.8674,0.8995,0.7484,1.0679,558,171,0.953,108,0.8565,160,0.914,290
BTC,SMA,8,40,0.5,3,1.0063,0.9925,0.7915,1.2131,363,127,1.4192,62,0.7878,105,1.0362,196
BTC,SMA,10,55,0.0,3,1.0385,0.9673,0.7783,1.1826,402,126,1.4358,70,0.7563,115,0.9993,217
BTC,SMA,10,55,0.5,3,1.0811,0.8979,0.7009,1.1282,306,101,1.2774,49,0.6728,83,0.9837,174
BTC,SMA,12,60,0.0,3,1.034,0.9166,0.7332,1.1257,375,115,1.1993,65,0.6966,102,1.0018,208
BTC,SMA,12,60,0.5,3,1.076,0.9822,0.7713,1.2296,289,98,1.4752,39,0.7214,80,1.068,170
BTC,EMA,8,40,0.0,3,0.8906,0.9332,0.7555,1.1301,528,134,1.2741,88,0.8678,145,0.8891,295
BTC,EMA,8,40,0.5,3,1.0624,0.8866,0.6897,1.1331,271,86,1.6143,35,0.6074,70,0.9787,166
BTC,EMA,10,55,0.0,3,0.9001,0.8543,0.6698,1.0743,379,93,1.111,54,0.7025,93,0.8984,232
BTC,EMA,10,55,0.5,3,1.0463,0.8601,0.6473,1.1072,242,68,1.861,22,0.5493,63,0.9651,157
BTC,EMA,12,60,0.0,3,1.0369,0.7847,0.5979,0.9941,341,77,1.2241,39,0.5819,84,0.8553,218
BTC,EMA,12,60,0.5,3,1.1845,0.7915,0.576,1.0451,221,61,1.2643,18,0.5481,52,0.8871,151
BTC,HMA,8,40,0.0,3,0.8086,0.914,0.8231,1.0203,1504,519,0.8661,334,0.9727,418,0.8936,752
BTC,HMA,8,40,0.5,3,0.8723,0.8997,0.8037,1.0248,1022,396,0.693,234,0.9321,280,0.9917,508
BTC,HMA,10,55,0.0,3,0.9081,0.8949,0.8033,1.0109,1212,418,0.7639,288,0.9256,327,0.9429,597
BTC,HMA,10,55,0.5,3,0.9926,0.879,0.7659,1.0093,848,322,0.748,194,0.9077,229,0.939,425
BTC,HMA,12,60,0.0,3,0.9251,0.8565,0.7645,0.975,1079,367,0.7404,257,0.9754,280,0.8385,542
BTC,HMA,12,60,0.5,3,1.0508,0.868,0.7456,1.0047,779,288,0.8101,169,0.9445,212,0.8456,398
BTC,ZLEMA,8,40,0.0,3,0.8046,0.8696,0.7806,0.9739,1419,438,0.7872,324,0.9203,377,0.8769,718
BTC,ZLEMA,8,40,0.5,3,0.9124,0.8981,0.7798,1.0342,840,308,0.7406,197,0.9745,216,0.9396,427
BTC,ZLEMA,10,55,0.0,3,0.9575,0.8839,0.7768,1.0087,1023,326,0.7547,226,0.9564,263,0.9036,534
BTC,ZLEMA,10,55,0.5,3,0.9276,0.903,0.7675,1.0556,669,253,0.7185,139,1.0523,181,0.9044,349
BTC,ZLEMA,12,60,0.0,3,0.9873,0.8819,0.7665,1.0131,895,294,0.7157,214,1.0521,225,0.8651,456
BTC,ZLEMA,12,60,0.5,3,0.9068,0.8457,0.7252,0.9933,630,231,0.7927,128,0.9109,172,0.827,330
BTC,KAMA,8,40,0.0,3,0.9032,1.1055,0.8865,1.3713,372,118,1.2257,89,1.212,94,0.9937,189
BTC,KAMA,8,40,0.5,3,1.0202,1.0433,0.789,1.3253,234,80,1.4396,40,1.0508,55,0.9505,139
BTC,KAMA,10,55,0.0,3,0.9541,0.9366,0.7358,1.1543,316,103,1.3999,74,0.8051,82,0.8863,160
BTC,KAMA,10,55,0.5,3,0.9616,0.9746,0.7279,1.2954,214,70,1.8143,35,0.9916,55,0.8224,124
BTC,KAMA,12,60,0.0,3,0.9146,0.981,0.7693,1.2452,278,89,1.1572,61,0.8858,75,0.9864,142
BTC,KAMA,12,60,0.5,3,1.111,1.0216,0.7637,1.3398,184,69,2.2444,29,0.8396,46,0.943,109
BTC,VIDYA,8,40,0.0,3,1.8535,0.805,0.5287,1.1989,120,38,1.8179,21,0.9719,20,0.5631,79
BTC,VIDYA,8,40,0.5,3,2.3327,0.7324,0.4557,1.1291,97,26,2.1065,17,1.1003,15,0.3564,65
BTC,VIDYA,10,55,0.0,3,2.7448,1.1055,0.6133,1.7269,90,21,4.5436,21,0.9239,18,0.1596,51
BTC,VIDYA,10,55,0.5,3,2.4155,1.1388,0.6613,1.7825,78,24,4.422,18,0.8298,19,0.2544,41
BTC,VIDYA,12,60,0.0,3,2.5826,1.2196,0.7388,1.9561,82,26,3.8087,20,2.5373,11,0.2083,51
BTC,VIDYA,12,60,0.5,3,2.2996,1.0663,0.622,1.7599,70,21,2.1187,21,1.4526,12,0.2228,37
BTC,FRAMA,8,40,0.0,3,0.9642,0.8612,0.7715,0.9672,1207,574,0.9312,292,0.7948,348,0.8819,567
BTC,FRAMA,8,40,0.5,3,0.811,0.8287,0.6896,0.9907,478,200,1.0044,102,0.6458,139,0.9309,237
BTC,FRAMA,10,55,0.0,3,0.9983,0.9308,0.8268,1.0441,1116,564,1.1993,283,0.8299,329,0.8988,504
BTC,FRAMA,10,55,0.5,3,1.0584,1.0191,0.8295,1.2316,408,170,1.2712,89,0.8242,117,1.0862,202
BTC,FRAMA,12,60,0.0,3,0.9722,0.8689,0.7719,0.9721,1183,617,0.8723,301,0.8451,333,0.8873,549
BTC,FRAMA,12,60,0.5,3,1.0335,0.9862,0.8135,1.1906,427,189,1.1513,94,0.9349,130,0.9562,203
BTC,TEMA,8,40,0.0,3,0.8554,0.8288,0.7459,0.9295,1349,424,0.7692,298,0.8866,365,0.8177,686
BTC,TEMA,8,40,0.5,3,0.9075,0.8818,0.7629,1.0201,768,300,0.7531,171,0.9616,207,0.8933,390
BTC,TEMA,10,55,0.0,3,0.8989,0.863,0.7581,0.981,1041,341,0.9036,205,0.9117,281,0.8131,555
BTC,TEMA,10,55,0.5,3,1.0694,0.9296,0.789,1.0891,629,244,0.8821,126,1.1444,164,0.8184,339
BTC,TEMA,12,60,0.0,3,0.9799,0.8863,0.7688,1.0199,884,290,0.7633,173,0.9584,237,0.8985,474
BTC,TEMA,12,60,0.5,3,1.021,0.9668,0.8119,1.1431,573,217,0.8675,111,1.2236,152,0.8626,310
BTC,DEMA,8,40,0.0,3,0.9044,0.8638,0.7537,0.9879,978,308,0.7279,208,0.9515,249,0.8736,521
BTC,DEMA,8,40,0.5,3,0.884,0.8642,0.7243,1.022,564,197,0.9351,107,0.7701,157,0.9054,300
BTC,DEMA,10,55,0.0,3,0.8314,0.8599,0.7462,1.0011,754,230,0.8383,153,0.6892,210,1.0281,391
BTC,DEMA,10,55,0.5,3,0.842,0.8535,0.7019,1.0266,466,162,1.0417,79,0.6109,146,1.024,241
BTC,DEMA,12,60,0.0,3,0.8402,0.8721,0.7298,1.0236,650,203,0.9003,121,0.6424,186,1.0847,343
BTC,DEMA,12,60,0.5,3,0.9249,0.914,0.7443,1.1094,418,148,1.2365,66,0.624,133,1.0944,219
BTC,T3,8,40,0.0,3,0.9219,0.9504,0.7741,1.1522,450,153,1.2711,82,0.7236,137,1.0488,231
BTC,T3,8,40,0.5,3,0.9245,0.9315,0.7475,1.146,368,132,1.87,60,0.6163,121,1.0386,187
BTC,T3,10,55,0.0,3,0.9489,0.8576,0.6858,1.0536,374,115,1.4893,56,0.572,121,0.9548,197
BTC,T3,10,55,0.5,3,1.0744,0.9716,0.7642,1.1968,315,104,1.3987,52,0.7373,96,1.0265,167
BTC,T3,12,60,0.0,3,1.0683,0.9599,0.7681,1.1956,338,112,1.3154,54,0.781,97,0.983,187
BTC,T3,12,60,0.5,3,1.0418,1.0214,0.8049,1.2949,285,102,1.2054,44,0.8571,84,1.0875,157
BTC,Tenkan,8,40,0.0,3,0.8763,1.0099,0.8493,1.1893,595,195,1.1562,112,0.8684,177,1.0765,306
BTC,Tenkan,8,40,0.5,3,0.9973,1.0023,0.8111,1.2225,412,142,1.2929,79,0.8294,129,1.062,204
BTC,Tenkan,10,55,0.0,3,1.0131,0.9749,0.7916,1.1838,431,141,1.4652,78,0.7643,134,1.026,219
BTC,Tenkan,10,55,0.5,3,1.0705,1.0608,0.8359,1.3271,318,117,1.4273,52,0.9124,95,1.0836,171
BTC,Tenkan,12,60,0.0,3,1.0589,0.978,0.7869,1.1998,396,140,2.1111,59,0.7964,133,0.9137,204
BTC,Tenkan,12,60,0.5,3,0.9739,1.034,0.8175,1.273,302,112,1.3686,44,0.9031,86,1.0515,172
BTC,ALMA,8,40,0.0,3,0.8281,0.8313,0.7405,0.9379,1328,369,0.8287,285,0.9138,372,0.7751,671
BTC,ALMA,8,40,0.5,3,0.7944,0.9635,0.8262,1.1298,680,234,1.0717,133,0.9885,182,0.9018,365
BTC,ALMA,10,55,0.0,3,0.8532,0.8338,0.7253,0.9597,1009,275,0.8305,201,0.9103,279,0.7841,529
BTC,ALMA,10,55,0.5,3,0.9127,0.9874,0.8223,1.1733,557,187,1.0446,107,0.9941,151,0.9578,299
BTC,ALMA,12,60,0.0,3,0.8795,0.8839,0.7605,1.0185,888,264,0.7954,188,0.8966,249,0.9188,451
BTC,ALMA,12,60,0.5,3,0.9055,0.9306,0.7715,1.1088,516,161,0.9823,98,0.9598,139,0.8895,279
