sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
BTC,2026-02-01,2026-02-16 23:00:00+00:00,2026-02-17 05:00:00+00:00,short,0.1594,not_operable,2
BTC,2026-02-01,2026-02-19 01:00:00+00:00,2026-02-19 02:00:00+00:00,short,-0.6323,zone_exit,2
BTC,2026-02-01,2026-02-19 03:00:00+00:00,2026-02-19 04:00:00+00:00,short,-0.218,zone_exit,2
BTC,2026-02-01,2026-02-23 21:00:00+00:00,2026-02-25 03:00:00+00:00,short,-2.1896,tf_exit,2
BTC,2026-02-01,2026-03-08 12:00:00+00:00,2026-03-08 18:00:00+00:00,short,0.6665,zone_exit,2
BTC,2026-02-01,2026-03-09 16:00:00+00:00,2026-03-09 20:00:00+00:00,long,0.1863,not_operable,2
BTC,2026-02-01,2026-03-16 08:00:00+00:00,2026-03-16 22:00:00+00:00,long,1.286,div_exit,2
BTC,2026-02-01,2026-03-16 23:00:00+00:00,2026-03-17 00:00:00+00:00,long,0.1486,div_exit,2
BTC,2026-02-01,2026-03-17 07:00:00+00:00,2026-03-17 13:00:00+00:00,long,-0.4667,not_operable,2
BTC,2026-02-01,2026-03-20 15:00:00+00:00,2026-03-20 18:00:00+00:00,short,-0.3855,zone_exit,2
BTC,2026-02-01,2026-03-22 01:00:00+00:00,2026-03-22 11:00:00+00:00,short,0.4446,div_exit,2
BTC,2026-02-01,2026-03-22 12:00:00+00:00,2026-03-22 21:00:00+00:00,short,0.0608,div_exit,2
BTC,2026-02-01,2026-03-22 22:00:00+00:00,2026-03-23 12:00:00+00:00,short,-3.2727,not_operable,2
BTC,2026-02-01,2026-03-27 17:00:00+00:00,2026-03-29 11:00:00+00:00,short,-0.7934,zone_exit,2
BTC,2026-02-01,2026-04-06 05:00:00+00:00,2026-04-07 11:00:00+00:00,long,-1.3073,not_operable,2
BTC,2026-02-01,2026-04-07 22:00:00+00:00,2026-04-09 16:00:00+00:00,long,3.1666,div_exit,2
BTC,2026-02-01,2026-04-09 18:00:00+00:00,2026-04-09 21:00:00+00:00,long,0.0912,div_exit,2
BTC,2026-02-01,2026-04-09 22:00:00+00:00,2026-04-10 01:00:00+00:00,long,-0.4178,zone_exit,2
BTC,2026-02-01,2026-04-11 00:00:00+00:00,2026-04-11 08:00:00+00:00,long,-0.2979,zone_exit,2
BTC,2026-02-01,2026-04-14 02:00:00+00:00,2026-04-14 19:00:00+00:00,long,-0.3937,not_operable,2
BTC,2026-02-01,2026-04-22 16:00:00+00:00,2026-04-23 04:00:00+00:00,long,-1.9256,not_operable,2
BTC,2026-02-01,2026-04-28 16:00:00+00:00,2026-04-29 01:00:00+00:00,short,-0.5858,not_operable,2
BTC,2026-02-01,2026-05-02 18:00:00+00:00,2026-05-02 22:00:00+00:00,long,0.4104,div_exit,2
BTC,2026-02-01,2026-05-03 01:00:00+00:00,2026-05-03 06:00:00+00:00,long,-0.3729,not_operable,2
BTC,2026-02-01,2026-05-04 07:00:00+00:00,2026-05-04 22:00:00+00:00,long,0.4773,zone_exit,2
BTC,2026-02-01,2026-05-05 03:00:00+00:00,2026-05-06 13:00:00+00:00,long,2.0679,zone_exit,2
BTC,2026-02-01,2026-05-11 19:00:00+00:00,2026-05-12 04:00:00+00:00,long,-0.9775,tf_exit,2
BTC,2026-02-01,2026-05-12 06:00:00+00:00,2026-05-12 07:00:00+00:00,long,-0.2482,tf_exit,2
