sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
LINK,2025-10-01,2025-10-18 01:00:00+00:00,2025-10-18 04:00:00+00:00,long,0.5386,zone_exit,2
LINK,2025-10-01,2025-10-19 00:00:00+00:00,2025-10-19 09:00:00+00:00,short,1.0113,zone_exit,2
LINK,2025-10-01,2025-10-31 04:00:00+00:00,2025-10-31 05:00:00+00:00,short,-1.6529,div_exit,2
LINK,2025-10-01,2025-11-03 05:00:00+00:00,2025-11-03 15:00:00+00:00,short,0.5488,not_operable,2
LINK,2025-10-01,2025-11-06 11:00:00+00:00,2025-11-06 15:00:00+00:00,short,1.6129,zone_exit,2
LINK,2025-10-01,2025-11-06 17:00:00+00:00,2025-11-06 22:00:00+00:00,short,-1.6644,div_exit,2
LINK,2025-10-01,2025-11-21 13:00:00+00:00,2025-11-21 22:00:00+00:00,short,-0.7463,not_operable,2
LINK,2025-10-01,2025-11-23 01:00:00+00:00,2025-11-23 02:00:00+00:00,long,1.3992,zone_exit,2
LINK,2025-10-01,2025-11-26 11:00:00+00:00,2025-11-26 18:00:00+00:00,short,-3.6434,sl_hit,2
LINK,2025-10-01,2025-11-26 21:00:00+00:00,2025-11-27 00:00:00+00:00,long,0.3731,tf_exit,2
LINK,2025-10-01,2025-12-17 09:00:00+00:00,2025-12-17 15:00:00+00:00,short,-2.6835,div_exit,2
LINK,2025-10-01,2026-01-22 20:00:00+00:00,2026-01-23 02:00:00+00:00,short,-0.57,tf_exit,2
LINK,2025-10-01,2026-01-30 19:00:00+00:00,2026-01-30 20:00:00+00:00,long,-0.1832,tf_exit,2
LINK,2025-10-01,2026-01-31 03:00:00+00:00,2026-01-31 04:00:00+00:00,long,-0.463,tf_exit,2
