symbol,side,entry_T,exit_T,entry_price,exit_price,pnl_pct,reason_exit,k_entry,cfg,gen
BTC,short,2026-05-17 12:00:00+00:00,2026-05-17 15:00:00+00:00,78415.99,78051.51,0.4648,low_confidence,0,33831198,G1
TRX,long,2026-05-17 22:00:00+00:00,2026-05-18 00:00:00+00:00,0.3564,0.3553,-0.3086,low_confidence,0,50854496,G1
BTC,short,2026-05-18 03:00:00+00:00,2026-05-18 13:00:00+00:00,76835.41,77639.99,-1.0471,low_confidence,0,33831198,G1
BTC,short,2026-05-18 14:00:00+00:00,2026-05-19 05:00:00+00:00,76937.7,76927.25,0.0136,zone_exit,0,33831198,G1
BNB,short,2026-05-19 09:00:00+00:00,2026-05-19 10:00:00+00:00,642.33,640.5,0.2849,zone_exit,1,21312192,G1
TRX,long,2026-05-21 13:00:00+00:00,2026-05-21 14:00:00+00:00,0.3632,0.3622,-0.2753,low_confidence,0,50854496,G1
TRX,long,2026-05-21 19:00:00+00:00,2026-05-22 13:00:00+00:00,0.3646,0.3639,-0.192,div_exit,0,50854496,G1
RENDER,long,2026-05-22 19:00:00+00:00,2026-05-22 20:00:00+00:00,1.933,1.885,-2.4832,div_exit,2,53034048,G2
RENDER,long,2026-05-22 21:00:00+00:00,2026-05-22 22:00:00+00:00,1.895,1.895,0.0,low_confidence,2,53034048,G2
ONDO,short,2026-05-22 21:00:00+00:00,2026-05-23 01:00:00+00:00,0.3949,0.3804,3.6718,zone_exit,1,47741459,G2
BTC,short,2026-05-23 09:00:00+00:00,2026-05-23 14:00:00+00:00,74684.29,75213.9,-0.7091,low_confidence,0,33831198,G1
TAO,short,2026-05-23 00:00:00+00:00,2026-05-23 17:00:00+00:00,265.1,271.0,-2.2256,low_confidence,1,20617216,G2
TRX,long,2026-05-24 11:00:00+00:00,2026-05-24 21:00:00+00:00,0.3642,0.3651,0.2471,low_confidence,0,50854496,G1
ONDO,short,2026-05-24 23:00:00+00:00,2026-05-25 01:00:00+00:00,0.4346,0.4443,-2.2319,sl_hit,1,47741459,G2
ONDO,short,2026-05-25 05:00:00+00:00,2026-05-25 06:00:00+00:00,0.4424,0.4422,0.0452,div_exit,1,47741459,G2
ONDO,short,2026-05-25 11:00:00+00:00,2026-05-25 14:00:00+00:00,0.433,0.442,-2.0785,sl_hit,1,47741459,G2
