config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
7484204,VIDYA(14)/DEMA(49)_H05,1.312146,24.9993,109.0,45.0,15.063436,105.08781,80.08851,3.6563687,50.907333,55.0,31.0,7.3787994,70.071594,19.164259,1.7647809,164.0,15.063436,0.46341464,1.5,1.3559813,4.5249324,3.462822,1.5712917,1.0845386,24,2.1915383,6.32753,4.1359916,1.4819437,1.3194644,False
38806059,KAMA(18)/FRAMA(69)_H00,1.3044007,15.662263,88.0,34.0,9.943424,67.11505,51.452785,3.6848812,48.299946,45.0,24.0,3.997951,66.28955,17.989603,1.9210831,133.0,9.943424,0.43609023,1.5,1.1715646,3.988261,3.4669156,1.5263596,-1.2313564,22,2.149514,7.139457,4.9899435,1.523334,1.2103356,False
52771360,VIDYA(16)/ZLEMA(72)_H05,1.244029,36.24147,121.0,56.0,33.50143,184.75438,148.51291,3.514858,103.79885,58.0,36.0,10.682725,145.07309,41.27424,1.737881,179.0,33.50143,0.5139665,1.5,1.1833206,4.7561674,3.6317053,1.6194383,0.47016916,24,2.1479688,6.1575108,4.009542,1.4406147,1.3424318,False
7484220,VIDYA(14)/DEMA(49)_H05,1.3280691,25.866673,108.0,44.0,12.327488,104.71185,78.845184,3.5654612,49.61498,55.0,31.0,7.3787994,68.954575,19.339594,1.7687714,163.0,12.327488,0.4601227,1.5,1.4025421,4.45187,3.4570527,1.5697714,1.0706623,24,2.1370506,6.1702104,4.0331593,1.4874153,1.3200699,False
38806063,KAMA(18)/FRAMA(69)_H00,1.3989553,20.660162,88.0,37.0,9.03706,72.44581,51.78565,3.655161,48.638504,45.0,24.0,4.0888104,66.956985,18.318478,1.9885106,133.0,9.03706,0.45864663,1.5,1.5004994,3.9685438,3.70033,1.5799328,-1.0733044,22,2.1321774,7.0818744,4.949697,1.590549,1.26374,False
38808111,KAMA(18)/FRAMA(69)_H00,1.3936241,20.427193,88.0,37.0,9.03706,72.32237,51.895176,3.655161,48.638504,45.0,24.0,4.0888104,66.956985,18.318478,1.9836507,133.0,9.03706,0.45864663,1.5,1.4841726,3.9685438,3.688459,1.5760714,-2.1070406,23,2.1321774,7.0818744,4.949697,1.5863099,1.2603719,False
38808110,KAMA(18)/FRAMA(69)_H00,1.3747941,19.680748,88.0,36.0,9.03706,72.191574,52.510826,3.655161,48.638504,45.0,24.0,4.0888104,66.956985,18.318478,1.9645622,133.0,9.03706,0.45112783,1.5,1.415213,3.9685438,3.6192138,1.5609051,-2.0661123,23,2.1321774,7.0818744,4.949697,1.570675,1.2479495,False
5642796,VIDYA(12)/DEMA(54)_H00,1.4245647,24.369616,86.0,36.0,7.704146,81.768684,57.399067,3.478907,49.971527,48.0,24.0,4.864713,70.13022,20.158691,1.9585263,134.0,7.704146,0.4477612,1.5,1.5578303,3.8345008,3.6077826,1.5626451,-1.2381228,24,2.0873444,6.3438897,4.2565455,1.5968333,1.274062,False
5708332,VIDYA(12)/DEMA(54)_H00,1.3488834,22.317413,98.0,39.0,7.704146,86.28553,63.96812,3.6513236,54.165768,51.0,26.0,6.640195,74.595474,20.429708,1.9062222,149.0,7.704146,0.4362416,1.5,1.3970923,4.1159406,3.6308217,1.6123952,-1.2754345,24,2.0845897,6.436628,4.3520384,1.5269716,1.2916026,False
5708348,VIDYA(12)/DEMA(54)_H00,1.3055912,19.752155,97.0,37.0,7.704146,84.38803,64.63588,3.6471033,54.142128,51.0,26.0,6.640195,74.595474,20.453348,1.8684329,148.0,7.704146,0.4256757,1.5,1.2295333,4.113089,3.4853985,1.5746666,-1.2819215,24,2.0821805,6.4291887,4.347008,1.492264,1.2576412,False
13048332,VIDYA(12)/DEMA(54)_H00,1.6957014,27.26736,80.0,33.0,7.6713967,66.46142,39.19406,3.7815576,49.29992,42.0,20.0,5.3669243,67.02377,17.723852,2.345223,122.0,7.6713967,0.43442622,1.5,2.1744914,3.6642363,4.1827426,1.7743223,-0.94409007,24,2.0798569,6.759535,4.679678,1.8153247,1.3734177,False
4659724,VIDYA(12)/DEMA(54)_H00,1.7102044,35.214718,79.0,29.0,12.973483,84.79864,49.583923,3.7503812,52.34737,41.0,22.0,6.155382,71.38014,19.032768,2.2761047,120.0,12.973483,0.425,1.5,2.099117,3.8609161,3.9858074,1.7057275,0.09239371,24,2.0729382,6.976234,4.903296,1.8108187,1.357039,False
37775913,VIDYA(16)/ZLEMA(69)_H05,1.2869289,26.750061,141.0,57.0,17.334286,119.97895,93.22889,3.2478156,61.25759,61.0,30.0,7.8831277,88.50964,27.252052,1.7304695,202.0,17.334286,0.43069306,1.5,1.4279351,4.096853,3.6308994,1.713952,-0.7938619,23,2.0313094,5.1739507,3.1426415,1.4553032,1.4414122,False
38806189,KAMA(18)/FRAMA(69)_H00,1.3437566,16.531988,82.0,30.0,10.92857,64.62412,48.092136,3.6111138,45.06605,42.0,24.0,4.0888104,62.32537,17.259321,1.9425657,124.0,10.92857,0.43548387,1.5,1.2310112,3.951865,3.396733,1.483437,-1.2207232,22,2.0312514,6.7708383,4.739587,1.525324,1.1648109,False
