config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
3881051,T3(20)/KAMA(45)_H05,1.2759264,14.00769,88.0,48.0,14.193485,64.77374,50.76605,3.9522846,33.17745,43.0,24.0,2.3195708,44.415337,11.237889,1.7610024,131.0,14.193485,0.5496183,1.5,1.145216,4.1718636,3.2273805,1.3873199,1.0565821,23,2.2528021,7.22052,4.9677176,1.45298,1.1446595,False
24640583,T3(20)/FRAMA(42)_H00,1.2427406,10.078284,78.0,34.0,12.399201,51.597027,41.51874,3.5909238,33.135994,46.0,30.0,3.6420944,45.92525,12.789258,1.7957258,124.0,12.399201,0.516129,1.5,0.935033,4.402209,3.197124,1.3713028,0.8703022,23,2.0892649,6.8945737,4.805309,1.4420928,1.1012515,False
22543431,T3(20)/FRAMA(42)_H00,1.2004226,8.577351,75.0,33.0,15.110582,51.373657,42.796307,3.5909238,33.135994,46.0,30.0,3.6420944,45.92525,12.789258,1.7504348,121.0,15.110582,0.5206612,1.5,0.7746413,4.402209,3.0328958,1.3180739,0.6934082,23,2.0892649,6.8945737,4.805309,1.4049295,1.0579091,False
3897408,T3(20)/KAMA(45)_H00,1.5513849,24.64953,71.0,45.0,10.968107,69.354294,44.70476,3.605495,33.522984,37.0,23.0,5.1,46.389248,12.866263,2.0104477,108.0,10.968107,0.6296296,1.5,1.8622786,3.8705084,3.6899788,1.4165186,0.2411952,23,2.0791414,6.8277974,4.748656,1.6693306,1.1761746,False
3374172,T3(20)/KAMA(45)_H05,1.2961162,14.436922,72.0,41.0,14.011058,63.191154,48.75423,3.6180995,38.02964,42.0,25.0,4.0690722,52.55531,14.525667,1.8291188,114.0,14.011058,0.57894737,1.5,1.1034544,4.0434356,3.2397535,1.3305058,0.7152337,24,2.032428,6.933594,4.9011664,1.465134,1.0657423,False
3357775,T3(20)/KAMA(49)_H00,1.5611099,26.074997,81.0,46.0,11.026976,72.545395,46.470394,3.4693604,43.918076,45.0,28.0,5.1,61.70328,17.785204,2.0892913,126.0,11.026976,0.5873016,1.5,2.0134354,4.1550775,4.1528234,1.6101058,1.4578961,24,2.0148149,6.5106826,4.4958677,1.6866902,1.2998425,False
3307646,T3(22)/KAMA(54)_H05,1.5134188,22.48642,66.0,35.0,13.205199,66.283844,43.797424,3.5117285,27.95553,36.0,21.0,3.3175862,39.085526,11.129996,1.9183382,102.0,13.205199,0.54901963,1.5,1.6772196,3.6303928,3.263467,1.3061407,1.3228362,23,2.006702,6.5217814,4.5150795,1.6133733,1.0984988,False
24558663,T3(20)/FRAMA(42)_H00,1.2431941,10.28999,76.0,33.0,13.282017,52.601845,42.31185,3.3894162,33.019253,47.0,30.0,3.6420944,46.83822,13.818963,1.7715771,123.0,13.282017,0.5121951,1.5,0.9237385,4.2220383,3.1076674,1.346609,0.90665734,23,2.0041766,6.306343,4.3021665,1.430542,1.0873817,False
2832473,T3(20)/KAMA(45)_H05,1.3783791,17.493853,85.0,49.0,14.050407,63.727512,46.23366,3.7976565,30.99133,44.0,25.0,2.6856625,42.06893,11.077603,1.8459975,129.0,14.050407,0.5736434,1.5,1.4856403,4.162941,3.4922884,1.4417185,0.5334161,23,1.9981515,6.882522,4.8843703,1.498174,1.1700693,False
21590785,T3(20)/KAMA(49)_H05,1.4392607,13.986925,73.0,33.0,6.512729,45.82889,31.841967,3.5800693,23.88685,35.0,18.0,2.0237298,33.145073,9.258221,1.9214989,108.0,6.512729,0.4722222,1.5,1.5055124,3.3858118,3.216513,1.3538471,-0.79246753,23,1.9979681,6.4805884,4.4826207,1.565115,1.1027466,False
