config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
22641177,ALMA(22)/HMA(42)_H00,1.8543937,74.73738,102.0,44.0,15.454432,162.21155,87.47417,4.0812173,39.104137,41.0,23.0,3.8816617,51.795273,12.691133,2.1365366,143.0,15.454432,0.46853146,1.5,2.8762636,4.161583,4.228109,1.7671536,-1.5380948,24,2.262414,6.879377,4.6169624,1.9060907,1.5765493,False
20822551,ALMA(22)/HMA(42)_H00,1.7158955,59.09015,112.0,52.0,27.056648,141.63033,82.540184,3.8842065,41.987427,44.0,23.0,3.5643928,56.54513,14.557705,2.0409863,156.0,27.056648,0.48076922,1.5,2.731077,4.0209255,4.216875,1.7695953,-1.2220436,24,2.2329495,6.8750453,4.642096,1.7934164,1.5549449,False
24951299,ALMA(22)/HMA(42)_H00,1.7638081,55.95919,110.0,49.0,19.740479,129.2226,73.26341,3.9034266,40.68572,45.0,21.0,4.6904244,54.69872,14.013,2.1073427,155.0,19.740479,0.4516129,1.5,2.796876,3.8127315,4.268651,1.8208483,-2.2455208,24,2.2305295,6.7079897,4.4774604,1.8387443,1.5887661,False
20642325,VIDYA(12)/SSmoother(39)_H05,1.6208448,53.735126,109.0,53.0,15.7858715,140.28674,86.55162,3.933793,52.35231,44.0,21.0,6.7349725,70.19689,17.844582,2.0162003,153.0,15.7858715,0.48366013,1.5,2.456225,3.8365705,4.11981,1.7299924,-1.6263453,24,2.223056,6.8428164,4.6197605,1.7237816,1.4790835,False
25000479,ALMA(22)/HMA(42)_H00,1.7325768,77.87625,117.0,51.0,21.771646,184.18079,106.30454,3.706218,44.038097,46.0,26.0,4.8860536,60.311028,16.27293,1.9945903,163.0,21.771646,0.47239265,1.5,2.780346,4.180263,4.157626,1.770184,-0.9703616,24,2.1930285,6.5164275,4.323399,1.7937046,1.5918994,False
33339923,ALMA(22)/HMA(42)_H00,1.7653421,51.224804,106.0,47.0,20.604582,118.1554,66.9306,3.9462485,34.179386,43.0,20.0,3.4401543,45.780373,11.600986,2.087514,149.0,20.604582,0.44966444,1.5,2.745114,3.7409766,4.1311793,1.7657424,-2.2048757,24,2.1908484,6.940755,4.7499065,1.8281994,1.5463988,False
29145619,ALMA(22)/HMA(42)_H00,1.7653421,51.224804,106.0,47.0,20.604582,118.1554,66.9306,3.9462485,34.179386,43.0,20.0,3.4401543,45.780373,11.600986,2.087514,149.0,20.604582,0.44966444,1.5,2.745114,3.7409766,4.1311793,1.7657424,-2.2048757,24,2.1908484,6.940755,4.7499065,1.8281994,1.5463988,False
25016851,ALMA(22)/HMA(42)_H00,1.7392235,57.500397,120.0,51.0,20.236433,135.28526,77.78487,3.8298838,38.97662,44.0,21.0,3.4401543,52.749844,13.773223,2.0537248,164.0,20.236433,0.4390244,1.5,2.8090765,3.7817621,4.2088566,1.828556,-2.0695558,24,2.1696386,6.662067,4.4924283,1.8039714,1.6061853,False
22919705,ALMA(24)/HMA(45)_H00,1.6175312,55.77805,103.0,38.0,30.984468,146.10231,90.32426,3.7665882,42.0815,44.0,23.0,4.1913414,57.29211,15.210611,1.9272723,147.0,30.984468,0.414966,1.5,2.1760378,3.9502604,3.591216,1.6182791,-0.9388343,24,2.1653333,6.648847,4.483514,1.6964853,1.4244934,False
22903325,ALMA(22)/HMA(42)_H00,1.8383996,81.21115,111.0,47.0,17.635292,178.07564,96.86449,3.7953012,39.329502,43.0,25.0,4.6616755,53.39936,14.069861,2.0865946,154.0,17.635292,0.46753246,1.5,2.9421835,4.166925,4.2620125,1.7966727,-1.0263984,24,2.1633217,7.05926,4.8959384,1.8796097,1.6184474,False
