config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
36990128,VIDYA(16)/ZLEMA(72)_H05,1.2165368,16.626884,78.0,41.0,18.690136,93.41241,76.78552,3.8166893,73.613525,49.0,26.0,5.7757506,99.7483,26.13477,1.8767991,127.0,18.690136,0.52755904,1.5,0.8659908,4.237473,3.4881039,1.4528611,-0.7783353,23,2.3284843,6.9636235,4.635139,1.4988959,1.1603199,False
34892960,VIDYA(16)/ZLEMA(72)_H05,1.2219644,16.83275,76.0,41.0,18.808315,92.66814,75.83538,3.9423833,74.95141,44.0,25.0,5.1,100.42444,25.473026,1.9059876,120.0,18.808315,0.55,1.5,0.8750521,4.2577868,3.5074546,1.4283594,-0.4823264,23,2.2771208,7.144812,4.867691,1.4872733,1.114572,False
38844935,VIDYA(14)/DEMA(49)_H05,1.3909594,17.825235,64.0,29.0,12.267736,63.418808,45.59357,3.7568371,39.483067,42.0,24.0,2.4611967,53.804935,14.321872,1.9564862,106.0,12.267736,0.5,1.5,1.282701,4.0529647,3.3308558,1.3632358,0.07685392,25,2.1132207,7.0440693,4.930848,1.563605,1.0894849,False
34650631,VIDYA(14)/DEMA(49)_H05,1.3909594,17.825235,64.0,29.0,12.267736,63.418808,45.59357,3.7568371,39.483067,42.0,24.0,2.4611967,53.804935,14.321872,1.9564862,106.0,12.267736,0.5,1.5,1.282701,4.0529647,3.3308558,1.3632358,0.07685392,25,2.1132207,7.0440693,4.930848,1.563605,1.0894849,False
39107101,VIDYA(16)/ZLEMA(69)_H05,1.4372824,19.983818,73.0,34.0,13.286059,65.683846,45.700024,3.7136173,50.14152,42.0,24.0,3.4505155,68.61926,18.477743,2.0926733,115.0,13.286059,0.5043478,1.5,1.5107484,4.0235887,3.8003635,1.5300063,1.1220977,25,2.0889096,6.9630322,4.8741226,1.6248958,1.1880022,False
34912797,VIDYA(16)/ZLEMA(69)_H05,1.4372824,19.983818,73.0,34.0,13.286059,65.683846,45.700024,3.7136173,50.14152,42.0,24.0,3.4505155,68.61926,18.477743,2.0926733,115.0,13.286059,0.5043478,1.5,1.5107484,4.0235887,3.8003635,1.5300063,1.1220977,25,2.0889096,6.9630322,4.8741226,1.6248958,1.1880022,False
2178080,VIDYA(12)/DEMA(54)_H05,1.3185683,28.43691,102.0,57.0,16.6301,117.70161,89.264694,3.5505614,91.0854,60.0,44.0,9.417654,126.79731,35.711903,1.9563577,162.0,16.6301,0.6234568,1.5,1.4006639,5.199942,4.336251,1.7306151,-0.25960758,24,2.0770082,6.4555664,4.378558,1.5352917,1.3581355,False
36990096,VIDYA(16)/ZLEMA(72)_H05,1.2160044,16.441204,78.0,42.0,17.090755,92.55637,76.11517,3.578809,72.52837,51.0,26.0,7.180971,100.65313,28.124756,1.8535076,129.0,17.090755,0.5271318,1.5,0.86480665,4.0662208,3.4481776,1.4475839,-1.3542043,23,2.0431902,6.308798,4.265608,1.4391855,1.1239996,False
41184400,VIDYA(16)/ZLEMA(72)_H05,1.2160044,16.441204,78.0,42.0,17.090755,92.55637,76.11517,3.578809,72.52837,51.0,26.0,7.180971,100.65313,28.124756,1.8535076,129.0,17.090755,0.5271318,1.5,0.86480665,4.0662208,3.4481776,1.4475839,-1.3542043,23,2.0431902,6.308798,4.265608,1.4391855,1.1239996,False
41168144,VIDYA(16)/ZLEMA(72)_H05,1.5121565,31.173536,73.0,42.0,10.2,92.04074,60.867207,3.4600513,69.359375,46.0,25.0,8.398128,97.55366,28.194283,2.1288033,119.0,10.2,0.56302524,1.5,1.7765645,3.914544,4.090241,1.5876477,0.00018205322,23,2.0408535,6.643298,4.6024446,1.6795266,1.25258,False
