config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
6651207,T3(20)/FRAMA(42)_H00,1.7470218,15.395204,42.0,19.0,7.564475,36.00398,20.608774,3.7211242,29.623617,44.0,27.0,2.9273152,40.510155,10.886537,2.4293816,86.0,7.564475,0.53488374,1.5,1.7100651,4.2843995,3.9713516,3.1074362,3.131178,24,2.139197,7.02879,4.889593,1.8825794,2.408018,False
11627664,T3(20)/FRAMA(42)_H00,1.7990316,20.709988,50.0,23.0,7.144783,46.62885,25.918861,3.4788964,35.103207,42.0,27.0,4.8536553,49.264027,14.16082,2.392556,92.0,7.144783,0.54347825,1.5,1.967163,4.0829697,4.067394,1.5293142,1.2316351,24,2.1211605,7.086641,4.9654803,1.912845,1.2226845,False
11824272,T3(20)/FRAMA(42)_H00,1.6938394,19.224216,51.0,23.0,7.144783,46.93123,27.707012,3.5777414,35.789318,44.0,28.0,3.0582056,49.6733,13.883984,2.322727,95.0,7.144783,0.5368421,1.5,1.7854376,4.2456245,3.9864354,1.5144169,1.2958218,24,2.0444236,6.9510403,4.9066167,1.8108721,1.1806877,False
3505511,T3(20)/FRAMA(42)_H00,1.9013056,17.423824,40.0,18.0,5.7555723,36.755585,19.331762,3.5246089,26.005648,43.0,26.0,3.783527,36.30651,10.300862,2.4655964,83.0,5.7555723,0.5301205,1.5,1.896007,4.0509186,3.94633,2.9450996,2.99068,24,2.0039582,6.704151,4.700193,1.9369895,2.3136904,False
2751847,T3(20)/FRAMA(42)_H00,1.745089,14.667869,42.0,20.0,6.9244595,34.35393,19.686064,3.7120752,26.989725,40.0,26.0,2.9273152,36.941414,9.951688,2.4055586,82.0,6.9244595,0.5609756,1.5,1.7346269,4.1972046,3.9060888,2.7377284,2.871638,24,1.9988097,6.9125504,4.9137406,1.8302827,2.083016,False
9821319,T3(20)/FRAMA(42)_H00,1.5787481,17.347578,55.0,24.0,9.0949545,47.321896,29.974318,3.3736691,34.908615,49.0,34.0,4.5190573,49.61522,14.706605,2.1695416,104.0,9.0949545,0.5576923,1.5,1.6050351,4.4351377,3.9041026,2.9578123,2.9686084,23,1.9845113,6.6150374,4.630526,1.7123039,2.334444,False
27294864,T3(20)/FRAMA(42)_H00,1.8712485,20.43872,42.0,20.0,7.002426,43.89784,23.459118,3.3588457,34.09963,39.0,25.0,3.9974434,48.555695,14.456066,2.4384303,81.0,7.002426,0.5555556,1.5,1.9362994,3.8263931,3.9241424,1.4382384,1.449036,23,1.975125,6.269845,4.29472,1.9108539,1.1270626,False
2653319,T3(20)/FRAMA(42)_H00,1.5394946,16.091858,57.0,27.0,9.550733,45.919514,29.827654,3.3441432,34.510597,49.0,34.0,4.795052,49.232647,14.722052,2.135865,106.0,9.550733,0.5754717,1.5,1.5839661,4.403018,3.8997447,2.8946917,2.917599,24,1.9671429,6.557143,4.59,1.6808168,2.2779746,False
6847623,T3(20)/FRAMA(42)_H00,1.5394946,16.091858,57.0,27.0,9.550733,45.919514,29.827654,3.3441432,34.510597,49.0,34.0,4.795052,49.232647,14.722052,2.135865,106.0,9.550733,0.5754717,1.5,1.5839661,4.403018,3.8997447,2.8946917,2.917599,24,1.9671429,6.557143,4.59,1.6808168,2.2779746,False
11971744,T3(20)/FRAMA(42)_H00,1.8119162,22.171167,45.0,20.0,8.904805,49.478374,27.307209,3.4639645,34.06236,43.0,27.0,5.765829,47.886566,13.824208,2.3671672,88.0,8.904805,0.53409094,1.5,1.8651049,4.074364,3.9082196,1.4716662,1.4520819,24,1.9594142,6.773975,4.814561,1.8614901,1.157287,False
11840672,T3(20)/FRAMA(42)_H00,2.1336155,27.36117,43.0,21.0,6.792539,51.497368,24.136198,3.4975958,34.527287,42.0,26.0,5.765829,48.351494,13.824208,2.6303422,85.0,6.792539,0.5529412,1.5,2.3517892,4.027944,4.3226542,1.6715933,1.5672368,24,1.956697,6.8875732,4.9308763,2.0691864,1.3149763,False
11906208,T3(20)/FRAMA(42)_H00,1.9971979,25.712557,44.0,21.0,6.792539,51.497368,25.78481,3.4975958,34.527287,42.0,26.0,5.765829,48.351494,13.824208,2.5208619,86.0,6.792539,0.54651165,1.5,2.1718228,4.027944,4.1554103,1.6437067,1.5961604,24,1.956697,6.8875732,4.9308763,1.9830624,1.2930391,False
11873440,T3(20)/FRAMA(42)_H00,1.9185904,23.230665,43.0,20.0,8.649471,48.520134,25.28947,3.4975958,34.527287,42.0,26.0,5.765829,48.351494,13.824208,2.4766688,85.0,8.649471,0.5411765,1.5,2.0146065,4.027944,4.044031,1.5857441,1.5789975,24,1.956697,6.8875732,4.9308763,1.9320586,1.2370449,False
2391375,T3(20)/FRAMA(42)_H00,1.9253144,18.681158,37.0,19.0,8.720931,38.87014,20.188982,3.604597,28.340416,39.0,25.0,3.8677616,39.221336,10.880921,2.5134122,76.0,8.720931,0.57894737,1.5,1.9399375,4.032413,3.9787173,2.9821923,3.1445167,24,1.9176456,6.728581,4.8109355,1.9226288,2.281221,False
9559175,T3(20)/FRAMA(42)_H00,1.5787481,17.347578,55.0,24.0,9.0949545,47.321896,29.974318,3.2836459,34.81908,47.0,32.0,5.059598,50.066227,15.247146,2.1535819,102.0,9.0949545,0.54901963,1.5,1.6050351,4.2213354,3.8133643,2.815056,2.8797324,23,1.9056873,6.4988823,4.593195,1.6889809,2.2077525,False
38665351,T3(20)/FRAMA(42)_H00,1.45333,13.628411,56.0,26.0,9.256646,43.691303,30.062893,3.399243,38.944717,46.0,33.0,4.27214,55.176804,16.232084,2.135612,102.0,9.256646,0.57843137,1.5,1.361279,4.3663635,3.83,2.792478,2.8806727,24,1.9029257,6.3607054,4.4577794,1.6109686,2.1064663,False
