config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
1497261,VIDYA(14)/KAMA(30)_H05,1.2587641,17.851032,63.0,28.0,26.47716,86.83677,68.98573,3.5555549,29.10798,35.0,21.0,5.787804,40.498062,11.390082,1.584243,98.0,26.47716,0.5,1.5,0.89230376,3.6626554,2.2380679,1.052793,-0.7323861,22,1.9961009,6.8765416,4.8804407,1.3632524,0.90593576,False
1546414,VIDYA(14)/KAMA(30)_H05,1.2772532,18.142702,60.0,28.0,27.108458,83.580025,65.437325,3.5555549,29.10798,35.0,21.0,5.787804,40.498062,11.390082,1.6150237,95.0,27.108458,0.51578945,1.5,0.9333891,3.6626554,2.3083358,1.0529947,0.11695344,22,1.9961009,6.8477354,4.851634,1.3838263,0.902254,False
1677486,VIDYA(14)/KAMA(30)_H05,1.2670476,18.650417,59.0,28.0,27.39367,88.48969,69.83928,3.4876819,27.591967,36.0,21.0,5.787804,38.683403,11.091436,1.5713823,95.0,27.39367,0.51578945,1.5,0.89825267,3.6133263,2.1800354,1.0245405,0.30471736,22,1.9929612,6.5020356,4.5090747,1.366533,0.8909789,False
1300654,VIDYA(14)/KAMA(30)_H05,1.3323187,23.197277,62.0,29.0,26.682938,93.00159,69.80431,3.5555549,29.10798,35.0,21.0,5.787804,40.498062,11.390082,1.6441978,97.0,26.682938,0.5154639,1.5,1.1093867,3.6626554,2.4165075,1.085809,-0.641711,22,1.9906429,6.8477354,4.8570924,1.4246694,0.940835,False
1546415,VIDYA(14)/KAMA(30)_H05,1.2772532,18.142702,60.0,28.0,27.108458,83.580025,65.437325,3.5555549,29.10798,35.0,21.0,5.787804,40.498062,11.390082,1.6150237,95.0,27.108458,0.51578945,1.5,0.9333891,3.6626554,2.3083358,1.0529947,0.11695344,22,1.9906429,6.8477354,4.8570924,1.3830171,0.9017264,False
21018633,McGinley(24)/DEMA(63)_H00,1.3432169,28.140509,119.0,45.0,24.319607,110.13096,81.99045,3.6048915,32.79472,34.0,17.0,5.04993,45.384384,12.589667,1.6442711,153.0,24.319607,0.40522876,1.5,1.4962457,3.2984486,2.8285012,1.4108602,0.55278724,21,1.9663044,6.608968,4.642663,1.4261569,1.2237079,False
776366,VIDYA(14)/KAMA(30)_H05,1.305422,20.9947,60.0,27.0,26.444416,89.73468,68.739975,3.3386772,26.564873,38.0,22.0,5.787804,37.923805,11.358932,1.5937606,98.0,26.444416,0.5,1.5,1.0076909,3.5863574,2.2661805,1.0591178,0.16042039,22,1.9656281,6.798761,4.8331327,1.3990468,0.92972255,False
17872911,McGinley(24)/DEMA(63)_H00,1.3397,32.663464,102.0,47.0,25.47637,128.8173,96.153854,3.5009098,33.045628,35.0,19.0,7.2280765,46.259068,13.213442,1.600811,137.0,25.47637,0.48175183,1.5,1.4453666,3.4389298,2.6795006,1.2930897,0.9897523,22,1.9598395,6.4322934,4.472454,1.4146234,1.1426927,False
1284268,VIDYA(14)/KAMA(30)_H05,1.2655412,17.953753,59.0,28.0,27.39367,85.565674,67.61192,3.5358882,28.883976,34.0,20.0,5.787804,40.27406,11.390082,1.5928676,93.0,27.39367,0.516129,1.5,0.8938059,3.5599883,2.2202811,1.0250012,-0.69503516,22,1.9540435,6.8753386,4.9212947,1.3648057,0.8782446,False
1698960,McGinley(24)/DEMA(57)_H00,1.2399118,22.272171,95.0,45.0,26.345583,115.10701,92.83484,3.757448,32.27537,37.0,22.0,2.9742234,43.98017,11.704799,1.5217882,132.0,26.345583,0.50757575,1.5,1.0366658,3.8883126,2.38444,1.2040012,-0.22089224,24,1.951921,6.91712,4.965199,1.319632,1.0440601,False
2054204,VIDYA(14)/KAMA(30)_H05,1.224813,18.312725,66.0,29.0,23.23069,99.77031,81.45758,3.4604018,33.744343,35.0,22.0,5.787804,47.459316,13.7149725,1.5469757,101.0,23.23069,0.5049505,1.5,0.80500543,3.6748877,2.1627533,1.0470377,-0.53651524,22,1.9311838,6.901142,4.9699583,1.3266056,0.8978849,False
21002268,McGinley(24)/DEMA(57)_H00,1.327592,24.819105,73.0,30.0,24.893425,100.58136,75.76225,3.4782982,31.13462,34.0,20.0,3.0652041,43.697525,12.562902,1.6334971,107.0,24.893425,0.46728972,1.5,1.1543537,3.5199742,2.4445052,1.144576,0.93234056,21,1.9222176,6.763358,4.8411407,1.4121684,0.98949295,False
1783868,McGinley(24)/DEMA(57)_H00,1.3123987,27.903599,99.0,46.0,21.94272,117.22407,89.320465,3.272827,26.637392,46.0,30.0,2.8019655,38.35733,11.719938,1.5397938,145.0,21.94272,0.5241379,1.5,1.3281494,4.10036,2.5827706,1.2833021,0.433303,23,1.9041903,6.283828,4.3796377,1.3810422,1.1509944,False
1260604,McGinley(24)/DEMA(57)_H00,1.3286393,27.507727,88.0,39.0,21.94272,111.20962,83.70189,3.2784572,27.2842,45.0,28.0,3.2095559,39.259056,11.974857,1.5726776,133.0,21.94272,0.5037594,1.5,1.294573,3.9824467,2.5713775,1.2495407,0.651051,24,1.9039487,6.152429,4.2484803,1.4006448,1.1128552,False
48138,McGinley(24)/DEMA(63)_H00,1.3682992,33.842724,105.0,47.0,30.842806,125.73194,91.88921,3.2870088,34.572468,44.0,24.0,4.786982,49.68936,15.116894,1.6393578,149.0,30.842806,0.47651008,1.5,1.5593517,3.7036324,2.9204147,1.3866655,0.39466628,23,1.8963512,5.8696585,3.9733071,1.4428978,1.220488,False
4241418,McGinley(24)/DEMA(63)_H00,1.3682992,33.842724,105.0,47.0,30.842806,125.73194,91.88921,3.2870088,34.572468,44.0,24.0,4.786982,49.68936,15.116894,1.6393578,149.0,30.842806,0.47651008,1.5,1.5593517,3.7036324,2.9204147,1.3866655,0.5419364,22,1.8963512,5.8696585,3.9733071,1.4428978,1.220488,False
55934012,McGinley(24)/DEMA(57)_H00,1.2827129,25.114027,94.0,40.0,24.588299,113.94628,88.83226,3.3451717,29.725183,36.0,18.0,3.0628257,42.400238,12.675056,1.5402489,130.0,24.588299,0.44615385,1.5,1.1658682,3.2383142,2.3567932,1.2081845,0.9965737,23,1.885295,6.690343,4.805048,1.3579563,1.0651926,False
1653820,McGinley(24)/DEMA(57)_H00,1.3577753,32.426765,94.0,44.0,21.94272,123.0612,90.63444,3.2852314,26.95537,44.0,28.0,2.8774934,38.750835,11.795466,1.5797344,138.0,21.94272,0.5217391,1.5,1.4541163,3.982503,2.6634648,1.2812241,0.7319267,24,1.877275,6.3827353,4.5054603,1.4175991,1.1497263,False
48142,McGinley(24)/DEMA(57)_H05,1.2065523,17.008373,84.0,35.0,31.011766,99.35254,82.34416,3.260171,35.52813,44.0,23.0,4.9399433,51.247353,15.719224,1.5357403,128.0,31.011766,0.453125,1.5,0.8329422,3.6024082,2.3335629,1.19414,-0.056194287,23,1.8742044,5.75491,3.8807056,1.3135747,1.0213915,False
47118,McGinley(24)/DEMA(57)_H05,1.2065523,17.008373,84.0,35.0,31.011766,99.35254,82.34416,3.260171,35.52813,44.0,23.0,4.9399433,51.247353,15.719224,1.5357403,128.0,31.011766,0.453125,1.5,0.8329422,3.6024082,2.3335629,1.19414,-0.081963964,22,1.8742044,5.75491,3.8807056,1.3135747,1.0213915,False
1005612,VIDYA(14)/KAMA(30)_H05,1.2953378,21.900854,65.0,27.0,21.993052,96.056114,74.15526,3.4516008,31.603745,33.0,19.0,5.787804,44.49481,12.891065,1.614668,98.0,21.993052,0.46938777,1.5,1.0006088,3.411834,2.2898943,1.0730116,-0.38913748,22,1.8739992,6.7820926,4.9080935,1.3810344,0.91775256,False
1259580,McGinley(24)/DEMA(57)_H00,1.3410966,28.285233,87.0,39.0,21.94272,111.20962,82.924385,3.2630386,26.522675,44.0,28.0,2.9546373,38.242615,11.719938,1.5790935,131.0,21.94272,0.5114504,1.5,1.3316326,3.9612868,2.582511,1.2440118,0.63750684,23,1.8645936,6.3396187,4.4750247,1.405922,1.1075871,False
1652796,McGinley(24)/DEMA(57)_H00,1.333175,30.197126,94.0,44.0,21.94272,120.831566,90.63444,3.3151124,26.71655,43.0,28.0,2.6220932,38.256615,11.540067,1.5570242,137.0,21.94272,0.52554744,1.5,1.3691843,4.002772,2.575093,1.2577201,0.5820192,23,1.860522,6.7091556,4.8486333,1.3927361,1.1250128,False
48140,McGinley(24)/EMA(30)_H00,1.2350439,22.083704,88.0,32.0,23.074913,116.03936,93.95566,3.3212569,30.731909,35.0,18.0,3.197798,43.97125,13.239341,1.4927058,123.0,23.074913,0.40650406,1.5,0.9226563,3.2261677,2.076722,1.1346337,-0.46298042,23,1.8535296,6.8438015,4.990272,1.3114313,0.9968434,False
