config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
19608345,HMA(20)/Tenkan(42)_H00,2.9251263,138.57382,96.0,45.0,14.250119,210.55551,71.98168,4.1455812,43.3844,45.0,24.0,3.3308127,57.17657,13.7921715,3.121372,141.0,14.250119,0.4893617,1.4172316,4.6534863,4.2655563,6.044437,4.6877265,2.823785,23,2.4182558,7.2547674,4.8365116,2.8436232,4.270599,False
23802649,HMA(20)/Tenkan(42)_H00,2.9251263,138.57382,96.0,45.0,14.250119,210.55551,71.98168,4.1455812,43.3844,45.0,24.0,3.3308127,57.17657,13.7921715,3.121372,141.0,14.250119,0.4893617,1.4172316,4.6534863,4.2655563,6.044437,3.492021,2.103518,23,2.4182558,7.2547674,4.8365116,2.8436232,3.1812909,False
6430160,FRAMA(16)/T3(33)_H00,1.6799364,145.09079,233.0,114.0,13.58241,358.47958,213.38878,3.4997845,70.51071,97.0,61.0,4.1288342,98.71743,28.206717,1.8924071,330.0,13.58241,0.530303,1.5,3.850912,6.169941,5.7011075,2.3503356,-0.008260042,23,2.3867383,5.3619967,2.975258,1.7624569,2.1889398,False
518410,VIDYA(14)/ALMA(51)_H05,2.517204,119.963806,94.0,47.0,20.061197,199.0328,79.06899,3.9460723,35.46858,41.0,20.0,2.4747999,47.507854,12.039276,2.7060184,135.0,20.061197,0.4962963,1.5,4.182254,3.758216,5.330313,2.1680267,0.4312564,23,2.3843594,7.181852,4.797492,2.4996498,2.0026867,False
19624744,HMA(20)/Tenkan(42)_H00,3.369132,148.52066,88.0,44.0,10.401221,211.21057,62.689907,4.043316,49.74581,44.0,23.0,6.329702,66.091736,16.345924,3.5085647,132.0,10.401221,0.50757575,1.2001061,5.086692,4.1113715,6.4461565,4.667486,2.8197327,23,2.3244183,7.1373315,4.8129134,3.1530678,4.1945643,False
19624872,HMA(20)/Tenkan(42)_H00,3.369132,148.52066,88.0,44.0,10.401221,211.21057,62.689907,4.043316,49.74581,44.0,23.0,6.329702,66.091736,16.345924,3.5085647,132.0,10.401221,0.50757575,1.2001061,5.086692,4.1113715,6.4461565,4.667486,2.8197327,23,2.3190467,7.1373315,4.818285,3.1519568,4.193086,False
19624873,HMA(20)/Tenkan(42)_H00,3.367477,148.4169,88.0,44.0,10.401221,211.10681,62.689907,4.024599,49.669792,44.0,23.0,6.329702,66.091736,16.421942,3.5038817,132.0,10.401221,0.50757575,1.1951379,5.0850644,4.1010237,6.4407673,2.7505908,1.6673691,23,2.3136585,7.104293,4.790634,3.1487265,2.4717894,False
40118555,VIDYA(14)/ALMA(51)_H00,2.3480992,142.0789,155.0,76.0,13.91032,247.47092,105.39202,3.345159,56.961098,75.0,43.0,5.774441,81.24989,24.2888,2.5348454,230.0,13.91032,0.5173913,1.4246242,4.973208,5.021002,6.6819673,2.606142,1.3285325,22,2.2949345,5.2900186,2.995084,2.3381417,2.4039056,False
24523549,HMA(20)/Tenkan(42)_H05,2.9228692,135.16165,91.0,46.0,12.605546,205.45331,70.29166,3.9853923,39.451103,44.0,23.0,3.5192845,52.665813,13.214713,3.091011,135.0,12.605546,0.51111114,1.3635206,4.700954,4.0791006,6.0054617,2.431701,1.5448339,23,2.291119,7.054144,4.763025,2.822896,2.2207747,False
6430032,FRAMA(16)/T3(33)_H00,1.6748796,145.6673,236.0,116.0,13.58241,361.5092,215.8419,3.4997845,70.51071,97.0,61.0,4.1288342,98.71743,28.206717,1.8857989,333.0,13.58241,0.5315315,1.5,3.8588905,6.169941,5.700528,2.3512096,-0.07181661,23,2.2899516,5.3548617,3.06491,1.7459685,2.1768694,False
6462928,FRAMA(16)/T3(33)_H00,1.6413076,144.21884,257.0,128.0,14.4102125,369.10132,224.88248,3.1660583,70.558556,112.0,65.0,4.377445,103.133194,32.574635,1.8342258,369.0,14.4102125,0.5230352,1.5,3.8886654,5.926079,5.725725,2.3878148,-0.014554891,23,2.2872956,4.6404805,2.353185,1.7230409,2.243073,False
19624762,HMA(20)/Tenkan(42)_H00,3.0898194,138.78113,91.0,45.0,11.719006,205.18933,66.408195,4.021086,49.372654,43.0,23.0,5.6499133,65.71534,16.342684,3.2737377,134.0,11.719006,0.5074627,1.3013984,4.8469357,4.108322,6.207245,2.4329567,1.2535601,23,2.2862363,7.2429504,4.956714,2.9311178,2.1783302,False
22018664,VIDYA(14)/ALMA(48)_H00,1.3993368,16.060701,79.0,30.0,11.677837,56.279137,40.218437,4.017043,26.80459,43.0,23.0,2.834596,35.68898,8.884391,1.8729699,122.0,11.677837,0.43442622,1.5,1.3806316,4.1060343,3.1997058,1.4170303,-3.8173852,24,2.2839375,7.2356677,4.9517303,1.5593915,1.1797867,False
22018793,VIDYA(14)/ALMA(48)_H00,1.3993368,16.060701,79.0,30.0,11.677837,56.279137,40.218437,4.017043,26.80459,43.0,23.0,2.834596,35.68898,8.884391,1.8729699,122.0,11.677837,0.43442622,1.5,1.3806316,4.1060343,3.1997058,1.4170303,-3.8799427,24,2.2839375,7.2356677,4.9517303,1.5593915,1.1797867,False
21953128,VIDYA(14)/ALMA(48)_H00,1.3708869,14.843533,77.0,29.0,11.677837,54.865253,40.02172,3.9613354,26.67965,44.0,23.0,2.834596,35.68898,9.009331,1.8468751,121.0,11.677837,0.42975205,1.5,1.2808149,4.06548,3.1098013,1.3906934,-4.035637,24,2.2772894,7.0115633,4.734274,1.537436,1.1576862,False
39856395,VIDYA(14)/ALMA(51)_H00,2.225174,122.98575,143.0,70.0,17.893124,223.36803,100.38228,3.4806967,59.59424,67.0,40.0,5.3882937,83.617424,24.023186,2.4676204,210.0,17.893124,0.52380955,1.5,4.5057764,4.9806595,6.2523184,2.4912925,0.56610286,21,2.2770612,5.521255,3.244194,2.2351935,2.256636,False
