config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
55664,KAMA(14)/ALMA(39)_H00,1.9973576,473.88702,357.0,169.0,23.243216,949.0296,475.14258,3.328839,154.30019,151.0,93.0,9.277484,220.55646,66.25627,2.1603038,508.0,23.243216,0.515748,1.5,6.1688867,7.3469496,8.367786,6.7509227,3.1731174,22,2.4022865,4.73881,2.3365235,2.0469127,6.396577,False
55792,KAMA(14)/ALMA(39)_H00,2.0624394,488.88055,353.0,169.0,20.4,949.0296,460.14905,3.296219,152.6614,147.0,91.0,9.277484,219.14522,66.48381,2.2181957,500.0,20.4,0.52,1.5,6.4176497,7.2115064,8.587525,7.385167,3.4009938,22,2.356573,4.597803,2.2412302,2.099572,6.9902253,False
51559418,VIDYA(12)/EMA(39)_H05,3.3101199,426.30908,140.0,68.0,30.289108,610.8489,184.53981,3.7659786,84.30608,60.0,32.0,9.423544,114.78574,30.479658,3.3747392,200.0,30.289108,0.5,1.1377167,6.243551,4.66597,7.676774,7.3208175,3.7909613,24,2.3537366,6.5904627,4.2367263,3.1745496,6.8865466,False
51559419,VIDYA(12)/EMA(39)_H05,3.311177,426.368,140.0,68.0,30.289108,610.8489,184.4809,3.7659786,84.30608,60.0,32.0,9.423544,114.78574,30.479658,3.3756642,200.0,30.289108,0.5,1.1373534,6.2448564,4.66597,7.6781406,7.322408,3.7913506,24,2.3498137,6.5904627,4.2406487,3.1748633,6.886835,False
1104240,KAMA(14)/ALMA(39)_H00,1.9038309,452.96912,385.0,186.0,23.899763,954.13495,501.16583,3.1665647,152.97067,163.0,98.0,10.927854,223.57585,70.60517,2.0597596,548.0,23.899763,0.5182482,1.5,6.0402913,7.2662315,8.206267,6.220538,2.9809928,22,2.345759,4.6123633,2.2666044,1.9584023,5.9144363,False
2152816,KAMA(14)/ALMA(39)_H00,1.8595521,436.2105,392.0,188.0,33.026276,943.69635,507.4858,3.117321,149.85606,167.0,102.0,10.642716,220.63232,70.77626,2.0134964,559.0,33.026276,0.51878357,1.5,5.874342,7.313663,8.04772,6.506698,3.1665108,22,2.320535,4.156994,1.8364589,1.9159741,6.1915507,False
50658280,VIDYA(14)/ALMA(51)_H00,2.949607,307.97638,113.0,54.0,29.21484,465.94482,157.96846,3.9110188,70.346176,54.0,33.0,11.879932,94.51165,24.165482,3.0771666,167.0,29.21484,0.52095807,1.3259457,5.1300697,4.891193,6.7214656,4.972605,2.868154,24,2.3110566,7.110943,4.7998867,2.864884,4.6295633,False
50658152,VIDYA(14)/ALMA(51)_H00,2.949607,307.97638,113.0,54.0,29.21484,465.94482,157.96846,3.9110188,70.346176,54.0,33.0,11.879932,94.51165,24.165482,3.0771666,167.0,29.21484,0.52095807,1.3259457,5.1300697,4.891193,6.7214656,4.972605,2.868154,24,2.3110566,7.110943,4.7998867,2.864884,4.6295633,False
50658155,VIDYA(14)/ALMA(51)_H00,2.949607,307.97638,113.0,54.0,29.21484,465.94482,157.96846,3.9110188,70.346176,54.0,33.0,11.879932,94.51165,24.165482,3.0771666,167.0,29.21484,0.52095807,1.3259457,5.1300697,4.891193,6.7214656,4.487202,2.588178,24,2.3110566,7.110943,4.7998867,2.864884,4.177646,False
50658283,VIDYA(14)/ALMA(51)_H00,2.949607,307.97638,113.0,54.0,29.21484,465.94482,157.96846,3.9110188,70.346176,54.0,33.0,11.879932,94.51165,24.165482,3.0771666,167.0,29.21484,0.52095807,1.3259457,5.1300697,4.891193,6.7214656,4.487202,2.588178,24,2.3110566,7.110943,4.7998867,2.864884,4.177646,False
