config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
34257466,VIDYA(14)/FRAMA(42)_H00,1.5739146,28.174055,105.0,45.0,11.301999,77.265076,49.091022,4.0967975,42.804455,49.0,28.0,4.787527,56.62662,13.822166,2.1281974,154.0,11.301999,0.47402596,1.5,2.1915553,4.609671,4.3873596,2.0573993,1.6840966,25,2.49862,6.9824796,4.48386,1.7770743,1.7179569,False
1080816,VIDYA(14)/FRAMA(42)_H00,1.3811942,38.9687,161.0,94.0,15.796909,141.19664,102.227936,3.4784586,52.1193,77.0,53.0,5.1,73.14822,21.028917,1.7390096,238.0,15.796909,0.61764705,1.5,2.057731,5.683188,4.319788,1.8646111,-0.33979115,24,2.3373208,6.0052633,3.6679423,1.5443195,1.6558594,False
1649920,VIDYA(14)/FRAMA(45)_H05,1.344027,37.95147,168.0,89.0,12.374112,148.26683,110.31536,3.7049212,44.00746,62.0,40.0,4.304728,60.27687,16.269407,1.6474628,230.0,12.374112,0.5608696,1.5,1.9156873,5.199792,3.7943115,1.7380317,-0.40840644,24,2.3187697,6.3848143,4.0660443,1.4693066,1.5500814,False
35353149,VIDYA(10)/FRAMA(39)_H00,1.238421,14.565521,93.0,35.0,15.875546,75.65715,61.091625,4.02444,50.979523,44.0,22.0,4.726207,67.83538,16.855856,1.8408873,137.0,15.875546,0.4160584,1.5,0.96972156,3.9928558,3.2536724,1.6092436,1.6232941,24,2.29968,7.0612154,4.761535,1.4679143,1.2832028,False
40923685,VIDYA(10)/FRAMA(39)_H00,1.2194412,12.46154,117.0,49.0,14.790462,69.24914,56.7876,4.206619,42.588333,48.0,23.0,4.2902336,55.869717,13.281383,1.7856524,165.0,14.790462,0.43636364,1.5,1.0385954,4.1565294,3.4688332,1.5949728,0.644012,24,2.286206,6.978945,4.6927385,1.4216435,1.2698342,False
37286453,VIDYA(10)/FRAMA(39)_H00,1.2929494,18.445185,112.0,48.0,11.033936,81.40889,62.963707,3.7516716,44.143604,49.0,25.0,4.590992,60.18607,16.042469,1.792201,161.0,11.033936,0.45341614,1.5,1.3142402,4.1012945,3.492029,1.5802114,1.1210912,24,2.276272,6.217181,3.9409091,1.4926164,1.3160628,False
1080784,VIDYA(14)/FRAMA(42)_H00,1.3538678,37.99776,164.0,96.0,15.939946,145.37619,107.37843,3.591401,57.152985,77.0,54.0,5.1,79.20785,22.05486,1.7351335,241.0,15.939946,0.62240666,1.5,1.9469266,5.8665533,4.3304734,1.8714662,-0.06353803,24,2.2698343,5.83187,3.562036,1.5099443,1.6285833,False
40870460,VIDYA(14)/FRAMA(45)_H00,1.6702645,27.570005,85.0,41.0,12.108853,68.70303,41.133026,3.7360365,43.26058,48.0,27.0,5.521971,59.07198,15.811403,2.2438545,133.0,12.108853,0.5112782,1.5,2.2924514,4.280156,4.459603,1.7828113,0.8996891,23,2.2600715,6.409378,4.149307,1.8340325,1.457195,False
34583085,VIDYA(8)/FRAMA(33)_H00,1.2457923,14.4201765,98.0,39.0,17.26762,73.088326,58.668144,3.9851465,44.74807,43.0,22.0,6.970631,59.73831,14.990242,1.8032792,141.0,17.26762,0.4326241,1.5,1.0374813,3.9810247,3.2462108,1.4800096,0.5133269,24,2.2542243,7.1008067,4.8465824,1.4510187,1.1908981,False
35222073,VIDYA(10)/FRAMA(39)_H00,1.253789,13.010002,105.0,38.0,11.07661,64.27307,51.263073,3.8804638,45.8002,47.0,21.0,4.241241,61.700493,15.900288,1.8756293,152.0,11.07661,0.3881579,1.5,1.0755312,3.7855783,3.4256763,1.603704,1.412813,24,2.252055,6.4859185,4.2338634,1.4901189,1.2740841,False
40546861,VIDYA(14)/FRAMA(45)_H00,1.5674936,28.45668,111.0,47.0,11.856673,78.60118,50.144505,3.9539802,45.07507,51.0,25.0,4.32194,60.334167,15.259096,2.1242766,162.0,11.856673,0.44444445,1.5,2.2258754,4.2082996,4.376806,2.5201259,2.0116398,24,2.2429852,6.925709,4.6827235,1.7250901,2.046553,False
36893221,VIDYA(10)/FRAMA(39)_H00,1.224931,15.0506525,117.0,47.0,13.836769,81.962975,66.912315,4.0006337,44.797474,49.0,25.0,4.5436077,59.726814,14.929339,1.7312675,166.0,13.836769,0.43373495,1.5,1.0512873,4.251544,3.3019834,1.5513148,1.0167259,24,2.2300305,7.22938,4.9993496,1.4082787,1.2618984,False
35353146,VIDYA(10)/FRAMA(39)_H00,1.2136166,13.123575,104.0,36.0,15.387812,74.55876,61.43519,3.7735803,47.632645,48.0,22.0,4.6752954,64.80634,17.173702,1.7728926,152.0,15.387812,0.38157895,1.5,0.90937704,3.8262124,3.131906,1.5158617,1.1706524,24,2.229843,6.8068886,4.577046,1.4356318,1.2274964,False
35353147,VIDYA(10)/FRAMA(39)_H00,1.2136166,13.123575,104.0,36.0,15.387812,74.55876,61.43519,3.7735803,47.632645,48.0,22.0,4.6752954,64.80634,17.173702,1.7728926,152.0,15.387812,0.38157895,1.5,0.90937704,3.8262124,3.131906,1.5158617,1.1569479,24,2.224775,6.8068886,4.5821137,1.4345245,1.2265497,False
38517309,VIDYA(8)/FRAMA(33)_H00,1.2420123,12.874267,104.0,46.0,11.540764,66.07102,53.19675,3.758209,34.240406,46.0,25.0,3.169813,46.654408,12.4140005,1.718094,150.0,11.540764,0.47333333,1.5,1.0800152,4.1245503,3.1861575,1.4585389,0.21245316,25,2.221519,6.5242505,4.3027315,1.4273417,1.2117109,False
34320954,VIDYA(14)/FRAMA(42)_H00,1.5737765,32.554634,109.0,42.0,11.737765,89.29212,56.737484,3.827252,43.214622,52.0,27.0,4.4835777,58.49965,15.2850275,2.052022,161.0,11.737765,0.42857143,1.5,2.1552308,4.317573,4.125692,2.917872,2.4190624,24,2.2148447,6.6937532,4.4789085,1.7098277,2.4312887,False
34320955,VIDYA(14)/FRAMA(42)_H00,1.5737765,32.554634,109.0,42.0,11.737765,89.29212,56.737484,3.827252,43.214622,52.0,27.0,4.4835777,58.49965,15.2850275,2.052022,161.0,11.737765,0.42857143,1.5,2.1552308,4.317573,4.125692,2.8415246,2.3557665,24,2.2148447,6.6937532,4.4789085,1.7098277,2.3676732,False
1113584,VIDYA(14)/FRAMA(42)_H00,1.3337168,36.355305,176.0,99.0,15.146904,145.29588,108.94058,3.294391,56.73543,85.0,56.0,5.1,81.46332,24.727884,1.69643,261.0,15.146904,0.59386975,1.5,1.9164597,5.6253586,4.3072796,1.8987732,-0.44815505,24,2.2132201,5.5445776,3.3313575,1.4964198,1.6749066,False
22846321,T3(18)/JMA(54)_H00,1.2068131,6.318029,76.0,31.0,8.741098,36.867485,30.549454,3.754683,22.894945,40.0,18.0,1.4811426,31.206226,8.311281,1.7517352,116.0,8.741098,0.4224138,1.5,0.78938603,3.4461818,2.7884572,1.2872195,-1.4933429,23,2.209546,6.8835855,4.6740394,1.4212712,1.0443861,False
39907885,EMA(24)/FRAMA(42)_H00,1.4396316,18.165634,95.0,38.0,16.041027,59.485764,41.32013,4.017207,33.986214,42.0,20.0,3.0698664,45.250343,11.264131,1.9917768,137.0,16.041027,0.42335767,1.5,1.6610595,3.7845368,3.6488512,1.6089009,0.69900525,24,2.2094638,7.1807575,4.9712934,1.6045382,1.2961005,False
34323002,VIDYA(14)/FRAMA(42)_H00,1.5240256,29.125597,115.0,49.0,10.963986,84.706085,55.58049,3.7141829,40.23962,54.0,30.0,4.4835777,55.065304,14.825685,1.9852151,169.0,10.963986,0.46745563,1.5,2.136394,4.492036,4.1912775,2.0277338,1.6938858,25,2.2045472,6.4670477,4.262501,1.6673255,1.7030355,False
34323003,VIDYA(14)/FRAMA(42)_H00,1.5240256,29.125597,115.0,49.0,10.963986,84.706085,55.58049,3.7141829,40.23962,54.0,30.0,4.4835777,55.065304,14.825685,1.9852151,169.0,10.963986,0.46745563,1.5,2.136394,4.492036,4.1912775,1.9544169,1.6326399,25,2.2045472,6.4670477,4.262501,1.6673255,1.6414587,False
38449725,VIDYA(14)/FRAMA(45)_H00,1.5745513,24.624226,99.0,40.0,10.283264,67.48241,42.85818,4.013596,44.329147,49.0,23.0,4.32194,59.038868,14.709718,2.1977746,148.0,10.283264,0.4256757,1.5,2.0896919,4.050632,4.2684917,3.3680933,2.7276027,24,2.1998103,7.163856,4.9640455,1.7343172,2.6578438,False
39447227,VIDYA(14)/FRAMA(45)_H05,1.8063275,29.858288,75.0,32.0,6.202668,66.88827,37.02998,3.8516545,34.036304,36.0,21.0,6.229553,45.97194,11.935634,2.304887,111.0,6.229553,0.4774775,1.5,2.3618658,3.8549259,4.0830107,1.6505226,0.65075266,24,2.1950502,7.153073,4.9580226,1.9010807,1.361358,False
