config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
20904473,KAMA(14)/ALMA(54)_H05,1.863709,42.00164,55.0,23.0,11.896859,90.631035,48.62939,4.194457,56.76899,44.0,22.0,6.479397,74.54008,17.771091,2.4874988,99.0,11.896859,0.45454547,1.5,2.1028304,4.0792775,4.068522,1.6633004,-0.75615454,24,2.3968325,7.3402996,4.943467,2.0063915,1.3416013,False
25098777,KAMA(14)/ALMA(54)_H05,1.863709,42.00164,55.0,23.0,11.896859,90.631035,48.62939,4.194457,56.76899,44.0,22.0,6.479397,74.54008,17.771091,2.4874988,99.0,11.896859,0.45454547,1.5,2.1028304,4.0792775,4.068522,1.6633004,-0.8456001,24,2.3968325,7.3595243,4.962692,2.0063915,1.3416013,False
20806157,KAMA(14)/ALMA(69)_H05,1.4133605,21.73798,57.0,24.0,12.594215,74.326416,52.58844,4.044698,62.128582,43.0,22.0,4.479018,82.53408,20.405497,2.1489525,100.0,12.594215,0.46,1.5,1.2432909,4.012959,3.5338361,1.4457291,0.92888033,24,2.2879102,7.2069173,4.919007,1.6578413,1.1153291,False
25000461,KAMA(14)/ALMA(69)_H05,1.4133605,21.73798,57.0,24.0,12.594215,74.326416,52.58844,4.044698,62.128582,43.0,22.0,4.479018,82.53408,20.405497,2.1489525,100.0,12.594215,0.46,1.5,1.2432909,4.012959,3.5338361,1.4457291,0.713604,24,2.2879102,7.2069173,4.919007,1.6578413,1.1153291,False
18840077,KAMA(14)/ALMA(54)_H05,1.8125138,36.999706,54.0,22.0,13.135248,82.53703,45.537327,3.984171,55.874706,42.0,21.0,4.703438,74.598404,18.723696,2.4452682,96.0,13.135248,0.44791666,1.5,1.980257,3.8802116,3.916674,1.6745973,1.5654292,24,2.2134283,7.171508,4.9580793,1.929328,1.321265,False
23034381,KAMA(14)/ALMA(54)_H05,1.8125138,36.999706,54.0,22.0,13.135248,82.53703,45.537327,3.984171,55.874706,42.0,21.0,4.703438,74.598404,18.723696,2.4452682,96.0,13.135248,0.44791666,1.5,1.980257,3.8802116,3.916674,1.6046052,1.4518441,24,2.2134283,7.171508,4.9580793,1.929328,1.266041,False
23001625,KAMA(14)/ALMA(54)_H05,1.9467003,44.1552,53.0,24.0,13.135248,90.79636,46.641155,3.9859593,52.592384,42.0,20.0,5.205437,70.20561,17.61323,2.505696,95.0,13.135248,0.4631579,1.5,2.2599862,3.7692509,4.0467973,1.6337126,-1.0265545,24,2.1922774,7.144084,4.9518065,2.0140173,1.3131382,False
18807321,KAMA(14)/ALMA(54)_H05,1.9467003,44.1552,53.0,24.0,13.135248,90.79636,46.641155,3.9859593,52.592384,42.0,20.0,5.205437,70.20561,17.61323,2.505696,95.0,13.135248,0.4631579,1.5,2.2599862,3.7692509,4.0467973,1.6337126,-0.9241892,24,2.1922774,7.124902,4.9326243,2.0140173,1.3131382,False
18840077,KAMA(10)/FRAMA(33)_H00,1.8518789,37.646656,57.0,24.0,8.521859,81.83916,44.1925,3.8396075,37.913982,43.0,22.0,6.2282777,51.265823,13.351839,2.3130856,100.0,8.521859,0.46,1.5,2.126606,3.899705,3.8292165,1.5561513,-0.14223401,24,2.1718993,6.8414826,4.6695833,1.9261322,1.2958245,False
18595280,ALMA(18)/VIDYA(42)_H05,1.3132963,22.32521,55.0,25.0,20.56119,93.584305,71.259094,3.8119957,52.04039,43.0,23.0,5.002888,70.54695,18.506567,1.8284414,98.0,20.56119,0.48979592,1.5,0.98807263,3.9851205,2.8817015,1.2150726,-0.57450736,23,2.1673553,6.8663273,4.698972,1.4893737,0.98974836,False
18595280,ALMA(18)/VIDYA(42)_H00,1.3144914,22.39,55.0,25.0,20.496403,93.584305,71.194305,3.7906058,51.64453,43.0,23.0,5.002888,70.1511,18.506567,1.8253491,98.0,20.496403,0.48979592,1.5,0.9912899,3.9719286,2.8741317,1.2130177,-0.48059446,23,2.155194,6.8277993,4.6726055,1.4879403,0.9887959,False
20806173,KAMA(14)/ALMA(54)_H05,1.9001011,41.39391,53.0,25.0,10.205003,87.38198,45.98807,3.860932,57.286915,42.0,21.0,3.6605437,77.310776,20.023863,2.4948936,95.0,10.205003,0.48421052,1.5,2.2169492,3.8142807,4.111446,1.6266695,1.0487664,24,2.1449623,6.949678,4.8047156,1.9743766,1.2872925,False
25000477,KAMA(14)/ALMA(54)_H05,1.9001011,41.39391,53.0,25.0,10.205003,87.38198,45.98807,3.860932,57.286915,42.0,21.0,3.6605437,77.310776,20.023863,2.4948936,95.0,10.205003,0.48421052,1.5,2.2169492,3.8142807,4.111446,1.6266695,1.0487664,24,2.1449623,6.949678,4.8047156,1.9743766,1.2872925,False
17988153,FRAMA(10)/FRAMA(36)_H05,1.4043064,11.531668,42.0,21.0,10.0143385,40.053764,28.522097,3.8790107,37.585545,35.0,17.0,4.68383,50.640568,13.055021,2.1813521,77.0,10.0143385,0.4935065,1.5,1.0897967,3.4316835,3.242552,1.2451847,-1.1346705,24,2.1428807,6.9506254,4.807745,1.6362153,0.93400335,False
