config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
2437655,JMA(24)/FRAMA(66)_H00,1.3270414,9.917239,45.0,25.0,12.1518955,40.24135,30.32411,3.63915,40.906075,46.0,30.0,3.7790763,56.405792,15.499717,2.1091025,91.0,12.1518955,0.6043956,1.5,0.9517932,4.444931,3.5957828,1.339004,-1.2072796,24,2.1173236,6.987168,4.869844,1.5943509,1.0122042,False
6631959,JMA(24)/FRAMA(66)_H00,1.3270414,9.917239,45.0,25.0,12.1518955,40.24135,30.32411,3.63915,40.906075,46.0,30.0,3.7790763,56.405792,15.499717,2.1091025,91.0,12.1518955,0.6043956,1.5,0.9517932,4.444931,3.5957828,1.339004,-1.2433006,24,2.1173236,6.987168,4.869844,1.5943509,1.0122042,False
66321187,SMA(18)/VWMA(72)_H00,1.3531923,10.122955,37.0,12.0,11.722676,38.784264,28.661308,3.647808,33.558426,35.0,21.0,4.5700097,46.232464,12.67404,2.0567558,72.0,11.722676,0.45833334,1.5,0.8119415,3.7268665,2.8413985,1.1234721,-0.6189025,24,2.047892,7.025408,4.9775157,1.5661978,0.8555121,False
66188066,SMA(18)/VWMA(72)_H00,1.2632698,7.785144,37.0,11.0,14.060488,37.356113,29.570969,3.4775493,31.400558,33.0,19.0,4.5700097,44.074596,12.67404,1.9275817,70.0,14.060488,0.42857143,1.5,0.6176817,3.4294403,2.5100892,1.0334015,0.1936755,23,1.8880876,6.833079,4.9449916,1.4507232,0.77775145,False
58850161,SMA(18)/VWMA(69)_H00,1.2860739,5.3775916,31.0,13.0,9.183094,24.175503,18.79791,3.1708446,24.596468,38.0,23.0,5.3110857,35.926834,11.330367,1.9948813,69.0,9.183094,0.5217391,1.5,0.67401063,3.5225332,2.797201,1.0592589,-1.9633777,24,1.8564705,6.663369,4.8068986,1.5005834,0.79679245,False
30454665,T3(20)/ALMA(72)_H05,1.2502779,9.192244,39.0,18.0,11.971978,45.920395,36.728153,3.4101248,33.198963,33.0,19.0,5.5443425,46.973755,13.774791,1.8393809,72.0,11.971978,0.5138889,1.5,0.6866416,3.3832939,2.5282211,1.0047343,-1.1554116,23,1.8514805,6.700596,4.8491154,1.4142572,0.7725168,False
30454536,T3(20)/ALMA(72)_H05,1.2502779,9.192244,39.0,18.0,11.971978,45.920395,36.728153,3.4101248,33.198963,33.0,19.0,5.5443425,46.973755,13.774791,1.8393809,72.0,11.971978,0.5138889,1.5,0.6866416,3.3832939,2.5282211,1.0047343,-0.8476496,23,1.8514805,6.700596,4.8491154,1.4142572,0.7725168,False
59964194,SMA(18)/VWMA(72)_H00,1.3831885,10.982683,35.0,10.0,13.511979,39.64399,28.661308,3.2358682,31.594692,36.0,20.0,3.8371391,45.72553,14.130838,1.9949812,71.0,13.511979,0.4225352,1.5,0.80404294,3.3435357,2.6301298,1.0796738,-0.6423794,24,1.8440245,6.7306056,4.886581,1.5353659,0.83093214,False
12892677,T3(24)/SMA(33)_H00,1.4195768,9.91365,48.0,22.0,9.960519,33.541386,23.627737,3.3785865,29.566118,33.0,19.0,7.2475486,41.996243,12.430121,2.0949006,81.0,9.960519,0.50617284,1.5,1.1801805,3.3612576,3.1977048,1.2356173,-0.30854684,25,1.8343573,6.6386266,4.8042693,1.5625628,0.921633,False
53607202,SMA(18)/VWMA(72)_H00,1.2097615,6.56903,36.0,11.0,16.47854,37.885693,31.316662,3.3682117,31.281315,33.0,19.0,4.5700097,44.490147,13.208833,1.8500825,69.0,16.47854,0.4347826,1.5,0.5060369,3.3539448,2.3644302,0.9823725,-0.984119,24,1.8287244,6.6466784,4.817954,1.3933817,0.73986953,False
53607170,SMA(18)/VWMA(72)_H00,1.2097615,6.56903,36.0,11.0,16.47854,37.885693,31.316662,3.3682117,31.281315,33.0,19.0,4.5700097,44.490147,13.208833,1.8500825,69.0,16.47854,0.4347826,1.5,0.5060369,3.3539448,2.3644302,0.9823725,-1.2317431,24,1.8287244,6.618241,4.7895164,1.3933817,0.73986953,False
61928226,SMA(18)/VWMA(72)_H00,1.2404909,7.111549,36.0,10.0,14.060488,36.682518,29.570969,3.371064,30.568268,33.0,18.0,4.5700097,43.460484,12.892215,1.8873527,69.0,14.060488,0.4057971,1.5,0.5506574,3.2641761,2.3698862,1.0021626,0.11003999,23,1.820475,6.4869576,4.6664824,1.4165795,0.7521873,False
66122498,SMA(18)/VWMA(72)_H00,1.2404909,7.111549,36.0,10.0,14.060488,36.682518,29.570969,3.371064,30.568268,33.0,18.0,4.5700097,43.460484,12.892215,1.8873527,69.0,14.060488,0.4057971,1.5,0.5506574,3.2641761,2.3698862,1.0021626,0.11003999,23,1.820475,6.4612064,4.6407313,1.4165795,0.7521873,False
57932546,SMA(18)/VWMA(69)_H00,1.3284512,9.597472,36.0,12.0,14.128954,38.817863,29.22039,3.2391357,29.576372,35.0,21.0,4.5700097,42.785206,13.208833,1.9232752,71.0,14.128954,0.46478873,1.5,0.76212066,3.423426,2.5969124,1.0408669,-1.3188417,24,1.8184624,6.264579,4.446117,1.4809988,0.80150896,False
54786929,SMA(18)/VWMA(72)_H00,1.209914,4.4038916,32.0,13.0,10.156794,25.383402,20.97951,3.0147936,26.811508,40.0,24.0,5.3110857,40.11883,13.3073225,1.9104197,72.0,10.156794,0.5138889,1.5,0.51856434,3.4567525,2.6765463,1.0435382,-1.9063656,24,1.818447,6.0295873,4.21114,1.4460963,0.78990847,False
30585486,T3(24)/SMA(33)_H00,1.236891,10.329742,45.0,19.0,9.678268,53.935207,43.605465,3.3018928,38.00447,34.0,21.0,4.1413674,54.51457,16.510098,1.8040216,79.0,9.678268,0.5063291,1.5,0.6903906,3.4692676,2.557669,1.0470543,-0.17894633,23,1.8169144,6.6430936,4.826179,1.3961883,0.8103478,False
61012738,SMA(18)/VWMA(72)_H00,1.6871892,15.5224085,30.0,11.0,11.508868,38.11067,22.588259,3.4686432,24.517447,32.0,16.0,3.1297755,34.448994,9.931547,2.2312453,62.0,11.508868,0.43548387,1.5,1.2637769,3.1250548,2.8358295,1.1019309,-0.71477354,24,1.8169084,6.6219554,4.805047,1.7268054,0.8528063,False
