config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
37436458,ALMA(22)/ZLEMA(30)_H05,1.7665088,29.188257,56.0,25.0,13.415994,67.26774,38.07948,3.6957283,37.967655,35.0,19.0,5.488641,52.052036,14.084378,2.2874033,91.0,13.415994,0.48351648,1.5,2.0020144,3.5589337,3.6861677,1.9702367,2.0350854,24,2.0747948,6.790238,4.715443,1.849747,1.5932645,False
36584490,ALMA(22)/ZLEMA(30)_H05,1.6185248,25.03171,61.0,28.0,15.372783,65.50173,40.47002,4.0027633,40.657158,37.0,19.0,4.944176,54.197075,13.539914,2.2162368,98.0,15.372783,0.47959185,1.5,1.8037369,3.7098496,3.6835706,2.291718,2.3340766,24,2.0540497,7.000785,4.946735,1.7277079,1.7865505,False
37042218,ALMA(22)/ZLEMA(30)_H05,1.7097969,28.145134,59.0,29.0,15.105978,67.79751,39.652378,3.7302942,36.520382,34.0,18.0,6.0520306,49.89637,13.375987,2.2194514,93.0,15.105978,0.50537634,1.5,2.002798,3.4778402,3.667511,1.9604526,2.0590043,23,2.0526488,6.9330726,4.8804235,1.7962785,1.5866616,False
36551721,ALMA(22)/ZLEMA(30)_H05,1.5808619,26.044043,69.0,29.0,18.283796,70.880936,44.836895,3.774951,37.374107,40.0,19.0,5.0944686,50.84249,13.468385,2.0876913,109.0,18.283796,0.44036698,1.5,1.781694,3.5672476,3.5042958,1.7269747,1.7514855,24,2.008892,6.953857,4.944965,1.6797358,1.3895067,False
4598799,ALMA(22)/ZLEMA(30)_H05,1.5410526,26.02342,73.0,33.0,16.172005,74.121185,48.097763,3.5305178,39.069748,43.0,23.0,5.0003433,54.50918,15.439428,2.0244894,116.0,16.172005,0.4827586,1.5,1.7746123,3.801882,3.6039822,2.148712,2.1665554,24,2.0073178,6.359318,4.352,1.6543543,1.7558653,False
4597775,ALMA(22)/ZLEMA(30)_H05,1.5410526,26.02342,73.0,33.0,16.172005,74.121185,48.097763,3.5305178,39.069748,43.0,23.0,5.0003433,54.50918,15.439428,2.0244894,116.0,16.172005,0.4827586,1.5,1.7746123,3.801882,3.6039822,2.0547533,2.0718164,23,2.0073178,6.359318,4.352,1.6543543,1.679085,False
404495,ALMA(22)/ZLEMA(30)_H05,1.5410526,26.02342,73.0,33.0,16.172005,74.121185,48.097763,3.5305178,39.069748,43.0,23.0,5.0003433,54.50918,15.439428,2.0244894,116.0,16.172005,0.4827586,1.5,1.7746123,3.801882,3.6039822,2.1645296,2.1825044,24,2.0026166,6.359318,4.3567014,1.653212,1.7675697,False
36452397,ALMA(22)/ZLEMA(30)_H05,1.9101567,32.02659,54.0,26.0,9.4476185,67.21458,35.187992,3.9226418,38.999508,36.0,18.0,3.910962,52.343433,13.343924,2.4634926,90.0,9.4476185,0.4888889,1.5,2.2703717,3.5622845,3.9703727,2.5857337,2.497074,23,1.961321,6.9400587,4.978738,1.9242244,2.0197062,False
36517933,ALMA(22)/ZLEMA(30)_H05,1.8898599,33.522587,55.0,26.0,9.4476185,71.19434,37.671757,3.919503,38.957623,36.0,18.0,3.910962,52.301548,13.343924,2.420744,91.0,9.4476185,0.48351648,1.5,2.2425668,3.560729,3.9063723,2.4778607,2.4184384,23,1.9597515,6.9345055,4.974754,1.9081411,1.9531628,False
36027434,ALMA(22)/ZLEMA(30)_H05,1.7466928,28.79291,58.0,28.0,14.7980795,67.35349,38.56058,3.4233847,36.281025,36.0,18.0,6.0520306,51.252243,14.971219,2.2156126,94.0,14.7980795,0.4893617,1.5,2.0499125,3.2871454,3.635113,2.3892193,2.4971132,24,1.9293749,6.8467693,4.9173946,1.7977835,1.9386507,False
