config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
555952,EMA(18)/TEMA(57)_H05,1.300936,30.04446,195.0,87.0,17.902958,129.88118,99.836716,4.545331,33.059406,68.0,42.0,3.8381343,42.38418,9.324773,1.578078,263.0,17.902958,0.4904943,1.5,1.7905211,6.0313993,3.6202822,1.7724996,-1.6214933,25,2.9843082,7.8160453,4.831737,1.4447328,1.6227258,False
4815760,EMA(18)/TEMA(57)_H05,1.2700568,27.849209,211.0,95.0,20.102335,130.97273,103.12353,4.575871,32.90181,70.0,41.0,4.334349,42.10287,9.201061,1.5408524,281.0,20.102335,0.48398575,1.5,1.6993626,5.9391093,3.5422463,1.7834477,-1.5801089,25,2.88669,7.5520477,4.6653576,1.4024831,1.6232933,False
621456,EMA(18)/TEMA(57)_H05,1.2700568,27.849209,211.0,95.0,20.102335,130.97273,103.12353,4.575871,32.90181,70.0,41.0,4.334349,42.10287,9.201061,1.5408524,281.0,20.102335,0.48398575,1.5,1.6993626,5.9391093,3.5422463,1.7834477,-1.5801089,25,2.88669,7.5520477,4.6653576,1.4024831,1.6232933,False
621488,EMA(18)/TEMA(57)_H05,1.3332407,31.638342,205.0,91.0,17.275206,126.57975,94.94141,4.338645,33.46993,71.0,43.0,4.409895,43.494934,10.025004,1.6202772,276.0,17.275206,0.48550725,1.5,1.9999572,5.934636,3.9042792,1.8602749,-1.5002465,25,2.7466874,7.2041683,4.4574814,1.4682344,1.6857114,False
555824,EMA(18)/TEMA(57)_H05,1.2148716,25.135908,206.0,100.0,18.047213,142.11691,116.981,4.3160543,33.93603,70.0,43.0,4.1888385,44.16989,10.233859,1.4643478,276.0,18.047213,0.51811594,1.5,1.3878884,5.925636,3.1498203,1.6812491,-1.7661917,25,2.7100806,7.274427,4.5643463,1.3351545,1.5329194,False
555792,EMA(18)/TEMA(57)_H05,1.2642531,31.324942,212.0,105.0,21.961887,149.86638,118.541435,4.325132,33.572647,69.0,41.0,4.3470583,43.66928,10.096636,1.5044974,281.0,21.961887,0.519573,1.5,1.6973282,5.773132,3.4009225,1.7413689,-1.5799929,25,2.7076027,7.236684,4.5290813,1.3775398,1.5944228,False
4750096,EMA(18)/TEMA(57)_H05,1.2642531,31.324942,212.0,105.0,21.961887,149.86638,118.541435,4.325132,33.572647,69.0,41.0,4.3470583,43.66928,10.096636,1.5044974,281.0,21.961887,0.519573,1.5,1.6973282,5.773132,3.4009225,1.7413689,-1.5799929,25,2.7037776,7.2500925,4.5463147,1.3772396,1.5940753,False
555936,EMA(18)/TEMA(57)_H05,1.3108137,30.880587,195.0,87.0,17.374403,130.2346,99.35401,4.1871414,32.139225,68.0,41.0,3.8381343,42.22325,10.084028,1.5758493,263.0,17.374403,0.486692,1.5,1.8406607,5.67623,3.6027644,1.7699963,-1.2422873,25,2.5998209,7.1111526,4.511332,1.4295876,1.6057148,False
17398560,SMA(18)/TEMA(54)_H05,1.778642,77.081535,183.0,93.0,11.788324,176.07635,98.99482,4.007113,27.87393,73.0,48.0,1.5109158,37.14326,9.269332,1.9694388,256.0,11.788324,0.55078125,1.5,3.8077824,6.00646,5.374755,2.1847985,-0.5958597,24,2.5297432,6.874949,4.345206,1.8429496,2.0444775,False
555808,EMA(18)/TEMA(57)_H05,1.2230989,26.4449,207.0,104.0,17.745855,144.97932,118.53442,4.013927,33.132442,70.0,42.0,4.1888385,44.125557,10.993114,1.459959,277.0,17.745855,0.5270758,1.5,1.4445393,5.60101,3.1391573,1.6789485,-1.5779732,25,2.5272872,6.689878,4.162591,1.3337866,1.5338506,False
17398576,SMA(18)/TEMA(54)_H05,1.6606495,67.96507,179.0,90.0,13.944146,170.84122,102.87614,3.9886193,27.702503,72.0,47.0,1.5109158,36.971836,9.269332,1.8530668,251.0,13.944146,0.5458167,1.5,3.3266418,5.9248834,4.8500023,2.037006,-0.63704515,24,2.5073526,6.364818,3.8574655,1.7306335,1.9024196,False
17398688,SMA(18)/TEMA(54)_H05,1.6733496,65.45055,169.0,81.0,13.80322,162.65198,97.20143,3.8346305,25.934492,72.0,46.0,2.041415,35.083652,9.149161,1.859281,241.0,13.80322,0.526971,1.5,3.2377846,5.7090993,4.7353497,2.005368,-1.1477847,24,2.422388,6.5021996,4.0798116,1.7377881,1.8743291,False
621472,EMA(18)/TEMA(57)_H05,1.3391155,32.215256,206.0,91.0,17.275206,127.21313,94.99787,4.023561,32.60687,71.0,42.0,4.409895,43.39113,10.78426,1.6127888,277.0,17.275206,0.4801444,1.5,2.0323002,5.6032553,3.8643606,1.8547024,-1.1532773,25,2.4126241,6.614698,4.202074,1.4485574,1.6658366,False
21592848,SMA(18)/TEMA(54)_H05,1.6993365,75.48065,188.0,91.0,14.014088,183.41245,107.9318,3.7243347,27.395863,74.0,48.0,1.7566981,37.451843,10.055983,1.871925,262.0,14.014088,0.5305343,1.5,3.5213618,5.716326,4.997733,2.0988808,-0.97672355,24,2.3733504,6.7640486,4.3906984,1.756782,1.9697775,False
