config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
24902576,VIDYA(16)/KAMA(48)_H05,1.6008466,36.551296,91.0,47.0,16.829538,97.384285,60.83299,5.355525,61.533215,73.0,39.0,3.739891,75.66084,14.127624,2.308481,164.0,16.829538,0.5243902,1.5,2.2194927,6.1292706,5.158266,2.0553808,0.55875707,24,3.4461071,8.43997,4.9938626,1.9486179,1.7349728,False
20527979,Tenkan(24)/JMA(49)_H05,1.6927507,95.118935,141.0,68.0,42.829845,232.42508,137.30615,5.12784,94.40091,70.0,37.0,6.29604,117.27023,22.869324,2.1832013,211.0,42.829845,0.49763033,1.5,3.0253325,5.8519635,5.389724,3.3862636,2.299121,24,3.4301093,8.232262,4.8021526,1.940805,3.0102937,False
24902586,VIDYA(16)/KAMA(48)_H05,1.5865033,36.00131,91.0,47.0,16.829538,97.384285,61.382973,5.319843,61.438457,73.0,39.0,3.8993883,75.66084,14.222383,2.2887948,164.0,16.829538,0.5243902,1.5,2.1782146,6.1126,5.110152,2.037853,0.6819069,24,3.423147,8.383737,4.96059,1.9320005,1.7201774,False
24902585,VIDYA(16)/KAMA(48)_H05,1.614623,37.070335,91.0,47.0,16.829538,97.384285,60.31395,5.2180185,61.210506,74.0,40.0,4.127337,75.72218,14.511673,2.313465,165.0,16.829538,0.5272727,1.5,2.258723,6.1547303,5.1966605,2.0664232,0.62100077,24,3.3792884,8.188275,4.808987,1.956862,1.7478997,False
24771392,Tenkan(24)/JMA(49)_H05,1.6511955,107.10085,146.0,78.0,33.334343,271.56888,164.46803,5.199165,96.805786,74.0,40.0,9.48728,119.85937,23.053581,2.0873768,220.0,33.334343,0.53636366,1.5,3.0115738,6.145339,5.3471136,2.2605228,1.5729804,24,3.3625512,8.1586895,4.7961383,1.8615866,2.0160034,False
54082453,Tenkan(20)/T3(33)_H00,2.174283,172.12523,145.0,68.0,25.451109,318.70422,146.579,5.1656475,109.32071,69.0,30.0,9.313697,135.5641,26.243391,2.628527,214.0,25.451109,0.45794392,1.5,4.346239,5.1135626,6.304299,4.8510303,2.7168343,24,3.3576708,8.231709,4.874038,2.3539827,4.34435,False
52968230,Tenkan(24)/JMA(45)_H05,2.0756443,123.4994,139.0,58.0,21.094952,238.31375,114.814354,5.181652,98.26773,74.0,37.0,9.00259,121.76747,23.499739,2.6033592,213.0,21.094952,0.4460094,1.5,3.8439682,5.819145,6.1600637,5.064522,2.8703678,24,3.339287,8.040495,4.7012076,2.2903388,4.4555774,False
52968231,Tenkan(24)/JMA(45)_H05,2.0756443,123.4994,139.0,58.0,21.094952,238.31375,114.814354,5.181652,98.26773,74.0,37.0,9.00259,121.76747,23.499739,2.6033592,213.0,21.094952,0.4460094,1.5,3.8439682,5.819145,6.1600637,5.064426,2.8703136,24,3.339287,8.040495,4.7012076,2.2903388,4.4554935,False
54344692,Tenkan(20)/T3(33)_H00,2.2906713,165.7539,124.0,61.0,14.029145,294.17847,128.42456,5.144426,110.2509,67.0,31.0,8.158903,136.85312,26.602213,2.7803686,191.0,14.029145,0.4816754,1.5,4.3395705,5.241789,6.3939414,6.084894,3.408474,24,3.3344216,8.321169,4.986747,2.4697764,5.4051566,False
54344694,Tenkan(20)/T3(33)_H00,2.2906713,165.7539,124.0,61.0,14.029145,294.17847,128.42456,5.144426,110.2509,67.0,31.0,8.158903,136.85312,26.602213,2.7803686,191.0,14.029145,0.4816754,1.5,4.3395705,5.241789,6.3939414,5.9054227,3.3079424,24,3.3291328,8.321169,4.992036,2.4688687,5.243806,False
