config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
35416960,KAMA(24)/KAMA(54)_H05,2.5942194,77.28919,81.0,41.0,11.445931,125.770096,48.480904,4.2691164,52.071743,46.0,25.0,8.141098,68.00013,15.928384,3.0084207,127.0,11.445931,0.51968503,1.5,4.0136323,4.4310784,5.755712,3.314284,2.1346965,24,2.5180674,7.4111867,4.8931193,2.575387,2.837224,False
5716288,VIDYA(16)/KAMA(51)_H05,2.3425899,109.80888,113.0,66.0,13.238749,191.59773,81.78885,3.894927,51.52856,64.0,39.0,5.6310806,69.32817,17.799606,2.6200416,177.0,13.238749,0.59322035,1.5,4.513775,5.3027472,6.3819594,3.8020341,2.3494458,23,2.4967482,6.9027743,4.4060264,2.370143,3.439397,False
5650890,VIDYA(16)/KAMA(51)_H05,2.5002081,107.27606,106.0,62.0,13.977893,178.78351,71.507454,3.9678428,54.123695,61.0,37.0,5.8276343,72.360405,18.236713,2.7984426,167.0,13.977893,0.5928144,1.5,4.690024,5.2238193,6.5915465,5.1727934,3.084576,23,2.490712,7.2386312,4.7479196,2.4982784,4.6179533,False
5650889,VIDYA(16)/KAMA(51)_H05,2.4051373,104.4495,106.0,62.0,13.977893,178.78351,74.334015,3.9678428,54.123695,61.0,37.0,5.8276343,72.360405,18.236713,2.712995,167.0,13.977893,0.5928144,1.5,4.502301,5.2238193,6.407054,5.130398,3.1556492,23,2.490712,6.661433,4.1707215,2.4219956,4.580104,False
5650888,VIDYA(16)/KAMA(51)_H05,2.4051373,104.4495,106.0,62.0,13.977893,178.78351,74.334015,3.9678428,54.123695,61.0,37.0,5.8276343,72.360405,18.236713,2.712995,167.0,13.977893,0.5928144,1.5,4.502301,5.2238193,6.407054,5.1066966,3.141071,23,2.490712,7.2386312,4.7479196,2.4219956,4.558945,False
5650763,VIDYA(16)/KAMA(51)_H05,2.5002081,107.27606,106.0,62.0,13.977893,178.78351,71.507454,3.9731648,54.148125,60.0,37.0,5.8276343,72.360405,18.212284,2.7992046,166.0,13.977893,0.59638554,1.5,4.690024,5.2330227,6.588616,3.5841408,2.1434133,23,2.4658215,6.791964,4.3261423,2.493228,3.192364,False
5683520,VIDYA(16)/KAMA(51)_H05,2.312972,104.11097,116.0,69.0,13.238749,183.40508,79.29411,3.7081118,52.184658,69.0,40.0,4.6407967,71.454414,19.269756,2.5857294,185.0,13.238749,0.5891892,1.5,4.5315514,5.1930723,6.4254246,3.465784,2.1215138,23,2.4643495,6.144871,3.680522,2.3425672,3.1398616,False
41773696,KAMA(24)/KAMA(54)_H05,2.3795502,78.36182,88.0,45.0,13.154503,135.16426,56.802437,4.2138677,49.914013,52.0,31.0,6.596948,65.44484,15.530824,2.7734005,140.0,13.154503,0.54285717,1.5,3.864165,4.9486203,5.7728953,2.5782132,1.7056904,24,2.446762,7.0412374,4.5944753,2.3939815,2.2254968,False
37513856,KAMA(24)/KAMA(57)_H05,2.8442695,87.258224,85.0,45.0,7.9272447,134.57138,47.313164,4.0996704,49.999973,53.0,31.0,6.5205064,66.13071,16.130737,3.1634576,138.0,7.9272447,0.5507246,1.4413791,4.5435944,4.8626056,6.410726,4.0995235,2.4449959,24,2.4078155,6.7441506,4.336335,2.7333,3.5420825,False
41708160,KAMA(24)/KAMA(57)_H05,2.8442695,87.258224,85.0,45.0,7.9272447,134.57138,47.313164,4.0996704,49.999973,53.0,31.0,6.5205064,66.13071,16.130737,3.1634576,138.0,7.9272447,0.5507246,1.4413791,4.5435944,4.8626056,6.410726,4.087092,2.4375813,24,2.4078155,7.37059,4.9627748,2.7333,3.531341,False
5716297,VIDYA(16)/KAMA(51)_H05,2.4075737,111.36818,114.0,67.0,13.977893,190.48886,79.120674,3.724271,50.920357,65.0,39.0,6.328066,69.611725,18.69137,2.6591878,179.0,13.977893,0.59217876,1.5,4.6812434,5.149048,6.5063953,2.9467587,1.7837847,23,2.4076095,6.4829903,4.075381,2.4075806,2.6679423,False
35416960,KAMA(24)/KAMA(57)_H05,2.6396823,77.98607,80.0,41.0,8.357682,125.54777,47.561695,4.0726805,48.942833,46.0,25.0,8.081283,64.871216,15.928384,2.9991927,126.0,8.357682,0.52380955,1.5,4.0740323,4.320265,5.7416663,3.4331589,2.2280524,24,2.4074066,7.0701733,4.6627665,2.581409,2.9549243,False
37579648,KAMA(24)/KAMA(54)_H05,2.9718843,89.68326,85.0,45.0,10.520159,135.16426,45.480995,3.930406,45.95529,49.0,28.0,6.924591,61.63752,15.682226,3.217649,134.0,10.520159,0.54477614,1.32253,4.7066665,4.499879,6.3616962,3.955555,2.4613416,24,2.4019148,7.3695116,4.967597,2.8257444,3.4737747,False
5650880,VIDYA(16)/KAMA(51)_H05,2.3230696,102.45502,105.0,61.0,13.238749,179.89238,77.43736,4.1514664,54.66202,59.0,36.0,5.1306486,72.00697,17.34495,2.6576622,164.0,13.238749,0.5914634,1.5,4.3033667,5.297632,6.221691,4.6500096,2.9476733,23,2.395649,7.128125,4.732476,2.3363514,4.087825,False
5650894,VIDYA(16)/KAMA(51)_H05,2.4084592,104.52408,105.0,61.0,13.238749,178.73572,74.21164,3.7842472,53.238926,60.0,37.0,5.8276343,72.360405,19.12148,2.6903217,165.0,13.238749,0.5939394,1.5,4.47802,5.0721784,6.3230147,5.1231675,3.1979325,23,2.3523698,6.4690166,4.116647,2.3969681,4.5645356,False
37513856,KAMA(24)/KAMA(54)_H05,2.365568,77.81217,87.0,45.0,13.154503,134.79372,56.98155,4.040114,49.08983,52.0,30.0,6.596948,65.23719,16.147366,2.7353191,139.0,13.154503,0.53956836,1.5,3.8359723,4.73746,5.668425,2.8153858,1.896025,24,2.3497672,7.3081164,4.958349,2.362079,2.4312205,False
41708160,KAMA(24)/KAMA(54)_H05,2.365568,77.81217,87.0,45.0,13.154503,134.79372,56.98155,4.040114,49.08983,52.0,30.0,6.596948,65.23719,16.147366,2.7353191,139.0,13.154503,0.53956836,1.5,3.8359723,4.73746,5.668425,2.592541,1.7459499,24,2.3497672,7.3081164,4.958349,2.362079,2.2387834,False
