config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
52624316,EMA(24)/KAMA(60)_H00,2.9250236,376.607,149.0,69.0,20.109999,572.24457,195.6376,5.0608144,259.1204,78.0,38.0,19.68634,322.93033,63.80995,3.4503114,227.0,20.109999,0.47136563,1.5,5.761737,5.8155255,8.0287485,11.67518,4.8414845,24,3.5090628,7.668283,4.15922,3.0686653,10.383764,False
27359792,FRAMA(20)/JMA(39)_H00,3.004581,231.95157,153.0,79.0,16.248034,347.66232,115.710754,5.223101,133.50137,77.0,45.0,4.32532,165.11354,31.612165,3.4806252,230.0,16.248034,0.53913045,1.5,6.291343,6.6288333,8.749621,5.2841253,2.1585643,24,3.4356399,8.202204,4.7665634,3.0970764,4.701839,False
52624176,EMA(24)/KAMA(60)_H05,3.1833096,385.39572,142.0,69.0,19.901821,561.9148,176.51906,5.2927475,214.36597,74.0,36.0,6.9487586,264.30273,49.936775,3.6484709,216.0,19.901821,0.4861111,1.5,6.1267295,5.7599406,8.239955,4.667077,1.8746072,24,3.400654,8.193957,4.793303,3.2312372,4.133357,False
52591549,EMA(24)/KAMA(60)_H00,3.2562654,394.97046,136.0,67.0,21.91873,570.02545,175.05496,5.545516,267.73328,74.0,39.0,9.397119,326.6338,58.90052,3.8326063,210.0,21.91873,0.50476193,1.5,6.133544,6.1977787,8.541338,12.44378,4.8239527,24,3.3932354,8.176082,4.782846,3.290749,10.684468,False
52624191,EMA(24)/KAMA(60)_H00,2.959509,382.869,151.0,71.0,20.109999,578.2593,195.39029,5.107268,259.8113,78.0,39.0,19.68634,323.06778,63.256477,3.4847798,229.0,20.109999,0.48034933,1.5,5.8965325,5.9395475,8.199242,12.04951,4.926586,24,3.3686235,8.171629,4.803005,3.0595648,10.579221,False
27359805,FRAMA(20)/JMA(39)_H00,3.0593503,228.92351,154.0,77.0,16.470911,340.0865,111.16297,5.0745554,132.62573,77.0,44.0,4.32532,165.17548,32.549744,3.5157778,231.0,16.470911,0.52380955,1.5,6.2955556,6.442879,8.688198,5.2787533,2.130401,24,3.3417804,7.9163065,4.574526,3.1233184,4.6894965,False
52624319,EMA(24)/KAMA(60)_H00,2.9639583,381.7146,148.0,69.0,20.109999,576.0744,194.35983,5.0608144,259.1204,78.0,38.0,19.68634,322.93033,63.80995,3.4822228,226.0,20.109999,0.47345132,1.5,5.818885,5.8155255,8.07611,11.85322,4.8805804,24,3.3294833,7.668283,4.3388,3.0543022,10.396611,False
52460469,EMA(24)/KAMA(60)_H00,2.6041815,281.80563,157.0,72.0,17.961664,457.47504,175.66942,5.155429,206.89357,75.0,34.0,6.725812,256.6823,49.788742,3.1675825,232.0,17.961664,0.45689654,1.5,5.3602486,5.4758534,7.5538306,9.29858,4.156687,24,3.2987318,7.9123425,4.6136107,2.7575614,8.094945,False
27359802,FRAMA(20)/JMA(39)_H00,2.8797703,221.82776,155.0,77.0,17.442204,339.83566,118.00791,5.0003705,132.07652,77.0,44.0,4.32532,165.09259,33.016075,3.3433647,232.0,17.442204,0.5215517,1.5,6.013124,6.3996644,8.405679,4.7173758,1.9979072,24,3.2929265,7.800577,4.5076504,2.9700923,4.1907005,False
52624188,EMA(24)/KAMA(60)_H05,2.8765604,360.80334,153.0,71.0,20.201796,553.0718,192.26845,5.09913,205.74956,73.0,36.0,6.3709407,255.94302,50.193466,3.3366675,226.0,20.201796,0.47345132,1.5,5.7713666,5.689373,7.86378,10.156262,4.3642807,24,3.2609253,7.9515176,4.690592,2.95613,8.99797,False
