symbol,cluster,rank,config_id,pf_tr,n_tr,pf_fwd,n_fwd,pf_json
BTC,0,top1,33831198,1.0928588868451692,555,1.218739931271596,226,3.074
BTC,0,mid,34548171,1.0111096722426165,562,1.2098698669129135,210,3.078
BTC,0,tail,34466048,1.485871191135834,581,1.504820219964538,245,2.265
BTC,1,top1,3250880,1.9738913780460459,140,2.9268628505813603,79,2.024
BTC,1,mid,2595520,1.9533887103448362,129,2.392214379155252,83,1.881
BTC,1,tail,3365584,1.945818880532206,141,2.7568639500205223,81,2.027
BTC,2,top1,1972900,1.3823537225775,169,2.0029900209188867,123,2.584
BTC,2,mid,6232790,1.3953269517404139,187,1.6876389777281176,135,2.43
BTC,2,tail,2038487,1.4821997926538195,187,1.6907757296107029,135,2.358
ETH,0,top1,35857664,1.1020770349175792,358,1.311215815191889,161,1.729
ETH,0,mid,52049088,1.1230813850979662,455,1.4781011638104018,200,1.934
ETH,0,tail,52524336,1.1378325310507964,348,1.358255056632773,157,1.828
ETH,1,top1,34186048,0.9787514033947802,190,1.7423888813544304,88,5.325
ETH,1,mid,36579884,1.3006193865985627,340,1.2117822039690611,202,2.885
ETH,1,tail,36221696,0.98099514851651,363,0.9349699572388243,215,1.994
ETH,2,top1,23878533,1.0837685338690377,260,1.461278953733712,120,1.883
ETH,2,mid,21762965,1.2988530505198237,168,1.5758600881791005,79,2.364
ETH,2,tail,23878534,1.0666545453387888,246,1.313579291765419,116,1.912
BNB,0,top1,50690624,0.8238139616171913,416,1.0792126933669888,231,2.384
BNB,0,mid,973552,0.8475015516997172,265,0.8469313180351956,136,2.025
BNB,0,tail,3054272,1.0163777578221636,276,0.8458395946518226,145,2.359
BNB,1,top1,21312192,1.3508968318093917,214,2.8557561972473113,86,1.918
BNB,1,mid,22631403,1.3308058426807565,273,2.3017063177171972,100,1.858
BNB,1,tail,22092512,1.631756126719932,188,2.722091346968464,69,2.179
BNB,2,top1,35122096,1.2631008704415851,238,1.1628073060386275,133,2.603
BNB,2,mid,3988128,1.2507433750195933,198,1.4982846574431803,95,2.198
BNB,2,tail,34564784,1.0030166736448507,158,1.0837912672317822,95,2.506
XRP,0,top1,55065101,1.3545421055573006,288,1.3997226860093672,129,2.513
XRP,0,mid,52885760,1.073976578297896,532,0.986337004488411,239,1.67
XRP,0,tail,51378448,1.021109793125757,483,1.0835507669027502,211,1.73
XRP,1,top1,17110000,2.3002088284712077,92,2.6861868050731004,43,2.922
XRP,1,mid,16847547,1.882854589487602,83,3.1510682924785445,41,2.522
XRP,1,tail,17371725,2.0333693726160686,126,2.891840217916668,50,2.415
XRP,2,top1,1446663,1.2803562792677348,266,1.5951318380409456,107,1.683
XRP,2,mid,50363232,1.2332952010239242,315,1.8771981513480598,161,1.655
XRP,2,tail,35716064,1.4426075961220481,312,1.2499582087684622,160,1.616
ADA,0,top1,19362655,1.191313858140672,233,1.718620209303307,101,2.069
ADA,0,mid,19354245,1.3713598044322974,246,1.6714841352646257,104,2.141
ADA,0,tail,19239510,1.4146705742135177,186,1.6554609401272313,83,2.347
