config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
7805440,T3(18)/JMA(49)_H05,1.5154761,87.82901,176.0,114.0,18.547434,258.21326,170.38425,4.076728,85.07186,75.0,54.0,6.5469284,112.72196,27.650106,1.8730853,251.0,18.547434,0.6693227,1.5,2.764613,6.4269624,5.0496173,2.0590115,-2.4639661,24,2.6611974,6.907789,4.2465916,1.675445,1.8417529,False
7690752,T3(18)/JMA(49)_H05,1.545706,91.177246,173.0,110.0,18.547434,258.2585,167.08127,4.064026,90.81464,76.0,56.0,8.963123,120.45363,29.63899,1.9251304,249.0,18.547434,0.6666667,1.5,2.881261,6.511774,5.259731,2.1083632,-1.350171,24,2.634091,7.033891,4.3998003,1.7096882,1.8724154,False
3496448,T3(18)/JMA(49)_H05,1.545706,91.177246,173.0,110.0,18.547434,258.2585,167.08127,4.064026,90.81464,76.0,56.0,8.963123,120.45363,29.63899,1.9251304,249.0,18.547434,0.6666667,1.5,2.881261,6.511774,5.259731,2.1083632,-1.350171,24,2.634091,7.033891,4.3998003,1.7096882,1.8724154,False
4303616,VIDYA(20)/FRAMA(51)_H05,1.331028,30.72474,135.0,77.0,19.174215,123.540886,92.81615,4.428648,43.881027,71.0,48.0,4.300175,56.679375,12.798347,1.706397,206.0,19.174215,0.60679615,1.5,1.6668925,6.405515,3.875825,1.7065656,-0.5845276,25,2.5862613,7.294583,4.7083216,1.4831369,1.4832834,False
7936512,T3(18)/JMA(49)_H05,1.4005969,68.491516,167.0,114.0,25.34086,239.46518,170.97366,4.043492,83.12172,69.0,49.0,8.963123,110.43302,27.3113,1.7646229,236.0,25.34086,0.69067794,1.5,2.1377826,6.0939856,4.3908367,1.8845439,-2.413753,24,2.5672965,7.1094365,4.54214,1.5612953,1.6673985,False
8215056,T3(18)/JMA(49)_H05,1.4699208,79.63117,189.0,125.0,20.777102,249.08777,169.4566,4.025471,86.05253,74.0,55.0,9.319519,114.49522,28.442686,1.8372121,263.0,20.777102,0.68441063,1.5,2.6375933,6.3987374,4.99128,2.0635593,-2.2886844,24,2.5672936,7.1848564,4.617563,1.6276385,1.8281658,False
3480064,T3(18)/JMA(49)_H05,1.3831404,63.189674,162.0,102.0,27.911406,228.11528,164.9256,4.181348,87.70775,68.0,51.0,7.6845207,115.277115,27.569368,1.7839032,230.0,27.911406,0.6652174,1.5,2.0622756,6.327327,4.4440594,1.881973,-1.7666024,24,2.555268,7.2223277,4.66706,1.5510141,1.6362808,False
1268224,T3(18)/JMA(49)_H05,1.3693712,60.11319,145.0,94.0,17.166477,222.85788,162.74469,4.000801,73.7933,69.0,49.0,6.277974,98.38449,24.591198,1.7147936,214.0,17.166477,0.6682243,1.5,1.8796695,6.0482697,3.9796803,1.7472761,-1.995059,24,2.5401912,7.0524325,4.5122414,1.5230622,1.5519129,False
3758592,T3(18)/JMA(49)_H05,1.4396188,76.523705,177.0,120.0,15.3,250.592,174.0683,4.156078,86.72576,72.0,51.0,8.963123,114.20473,27.478968,1.809981,249.0,15.3,0.686747,1.5,2.393946,6.338066,4.728429,1.982254,-2.4191723,24,2.5374837,7.08978,4.552296,1.5893017,1.7405707,False
8346128,T3(18)/JMA(49)_H05,1.4197832,73.01669,196.0,130.0,21.338375,246.95575,173.93906,3.896593,80.20172,77.0,57.0,8.36687,107.890015,27.688293,1.7599089,273.0,21.338375,0.6849817,1.5,2.4334347,6.3602,4.705913,2.0106254,-2.6793206,24,2.5318995,6.730957,4.1990576,1.5725036,1.7965224,False
3611136,T3(18)/JMA(49)_H05,1.5154761,87.82901,176.0,114.0,18.547434,258.21326,170.38425,4.076728,85.07186,75.0,54.0,6.5469284,112.72196,27.650106,1.8730853,251.0,18.547434,0.6693227,1.5,2.764613,6.4269624,5.0496173,2.0590115,-2.4639661,24,2.514763,6.907789,4.393026,1.6549994,1.8192779,False
8198656,T3(18)/JMA(49)_H05,1.5049447,83.37621,179.0,120.0,25.57729,248.4957,165.11949,3.912648,84.70197,74.0,55.0,8.963123,113.78272,29.080746,1.865489,253.0,25.57729,0.6916996,1.5,2.7225363,6.2622166,5.0182133,2.0582266,-2.3815012,24,2.4917772,6.983484,4.491707,1.652719,1.8234737,False
4004352,T3(18)/JMA(49)_H05,1.5049447,83.37621,179.0,120.0,25.57729,248.4957,165.11949,3.912648,84.70197,74.0,55.0,8.963123,113.78272,29.080746,1.865489,253.0,25.57729,0.6916996,1.5,2.7225363,6.2622166,5.0182133,2.0582266,-2.3450894,24,2.4917772,6.983484,4.491707,1.652719,1.8234737,False
8215040,T3(18)/JMA(49)_H05,1.5321261,89.5531,189.0,125.0,18.868795,257.84613,168.29303,4.033105,88.7135,77.0,57.0,8.963123,117.961914,29.248413,1.9024264,266.0,18.868795,0.68421054,1.5,2.9334342,6.5278597,5.324159,2.147921,-2.038401,24,2.4764678,6.984229,4.507761,1.6719474,1.8877001,False
4020736,T3(18)/JMA(49)_H05,1.5321261,89.5531,189.0,125.0,18.868795,257.84613,168.29303,4.033105,88.7135,77.0,57.0,8.963123,117.961914,29.248413,1.9024264,266.0,18.868795,0.68421054,1.5,2.9334342,6.5278597,5.324159,2.147921,-2.0336654,24,2.4764678,6.966767,4.4902987,1.6719474,1.8877001,False
5905136,VIDYA(16)/KAMA(45)_H00,1.283624,13.802597,90.0,31.0,16.508888,62.46771,48.66511,4.0886784,27.617216,56.0,33.0,1.9451143,36.55865,8.941435,1.7190123,146.0,16.508888,0.43835616,1.5,1.078125,5.0124316,3.0707371,1.4380516,-5.848812,24,2.4697268,7.1242123,4.654485,1.4677258,1.227836,False
5855760,T3(18)/JMA(49)_H05,1.3555385,57.443554,151.0,99.0,17.251972,219.0113,161.56775,4.0645585,77.20185,66.0,49.0,7.2296877,102.39369,25.191835,1.7209558,217.0,17.251972,0.68202764,1.5,1.8495046,6.084455,4.0234265,1.7654634,-1.6895993,24,2.4677677,7.050765,4.5829973,1.5055661,1.5445031,False
5905150,VIDYA(16)/KAMA(45)_H00,1.2724435,13.331948,90.0,30.0,16.29531,62.26667,48.934723,4.0706153,27.506508,56.0,32.0,2.1395495,36.464485,8.957978,1.7054163,146.0,16.29531,0.42465752,1.5,1.0311227,4.909956,2.9968412,1.426678,-5.8752303,24,2.462066,7.0038533,4.541787,1.4565188,1.2184607,False
5905148,VIDYA(16)/KAMA(45)_H00,1.2724435,13.331948,90.0,30.0,16.29531,62.26667,48.934723,4.0706153,27.506508,56.0,32.0,2.1395495,36.464485,8.957978,1.7054163,146.0,16.29531,0.42465752,1.5,1.0311227,4.909956,2.9968412,1.426678,-5.9340725,24,2.462066,7.0038533,4.541787,1.4565188,1.2184607,False
5905149,VIDYA(16)/KAMA(45)_H00,1.2724435,13.331948,90.0,30.0,16.29531,62.26667,48.934723,4.0706153,27.506508,56.0,32.0,2.1395495,36.464485,8.957978,1.7054163,146.0,16.29531,0.42465752,1.5,1.0311227,4.909956,2.9968412,1.426678,-6.0749745,24,2.462066,7.0038533,4.541787,1.4565188,1.2184607,False
5905151,VIDYA(16)/KAMA(45)_H00,1.2724435,13.331948,90.0,30.0,16.29531,62.26667,48.934723,4.0706153,27.506508,56.0,32.0,2.1395495,36.464485,8.957978,1.7054163,146.0,16.29531,0.42465752,1.5,1.0311227,4.909956,2.9968412,1.426678,-6.160434,24,2.462066,7.0038533,4.541787,1.4565188,1.2184607,False
8346112,T3(18)/JMA(49)_H05,1.5165197,88.92506,196.0,130.0,18.96956,261.08707,172.162,3.889168,82.935875,80.0,58.0,7.825531,111.64167,28.705797,1.8555923,276.0,18.96956,0.68115944,1.5,2.9111207,6.429905,5.2044306,2.1304452,-2.7169654,24,2.4586694,6.954522,4.495853,1.6511613,1.8957336,False
