config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
37352275,T3(18)/VWMA(54)_H00,1.4036616,54.319794,265.0,98.0,19.799774,188.88744,134.56764,3.7712257,41.80667,67.0,31.0,5.318388,56.89266,15.085986,1.6423264,332.0,19.799774,0.38855422,1.5,2.5289233,4.5440044,4.095973,2.0450194,-1.8857474,24,2.2892778,6.100001,3.8107233,1.4929371,1.8590002,False
35353427,T3(18)/VWMA(54)_H00,1.4291941,54.843975,244.0,91.0,14.966248,182.62758,127.78361,3.7466798,41.658733,68.0,31.0,3.4934328,56.825676,15.166942,1.6750776,312.0,14.966248,0.39102563,1.5,2.5545864,4.52219,4.1235743,2.0306387,-2.0675998,24,2.285609,6.013859,3.7282498,1.5200591,1.8427151,False
35468046,ALMA(24)/SMA(57)_H00,1.6448181,126.89853,206.0,81.0,18.333626,323.69595,196.79742,3.5546808,78.26318,63.0,30.0,8.105484,108.8984,30.63521,1.902077,269.0,18.333626,0.4126394,1.5,3.2492917,4.3312035,4.7611313,2.1585324,0.8013455,24,2.2483358,5.9434266,3.695091,1.726112,1.958842,False
33749872,T3(20)/JMA(60)_H05,1.9208671,102.74362,164.0,88.0,18.146801,214.3163,111.572685,3.8570065,37.55678,44.0,26.0,6.889315,50.702286,13.145501,2.1249394,208.0,18.146801,0.5480769,1.5,4.1217093,4.2962866,5.35305,2.135276,-0.12785077,25,2.2203007,7.1428795,4.922579,1.9524279,1.9619251,False
34272118,ALMA(24)/SMA(66)_H00,1.8407444,112.32377,154.0,60.0,23.4072,245.92416,133.60039,3.8218436,52.774567,47.0,21.0,6.888807,71.47672,18.702158,2.0840156,201.0,23.4072,0.40298507,1.5,3.3624208,3.7554967,4.576477,2.0729773,1.5101466,24,2.2180343,6.9731884,4.755154,1.8870741,1.877079,False
39400206,ALMA(24)/SMA(57)_H00,1.6888596,127.42272,200.0,81.0,21.827923,312.39905,184.97632,3.5525365,76.20351,59.0,31.0,9.387313,106.05754,29.854033,1.9478468,259.0,21.827923,0.43243244,1.5,3.3919716,4.427349,4.913702,2.1724825,1.0400212,24,2.2002807,5.8062963,3.6060157,1.7599297,1.9628937,False
34433808,T3(20)/JMA(60)_H05,1.679435,122.581894,216.0,104.0,18.434027,302.99927,180.41737,3.3569477,60.326874,66.0,32.0,8.61115,85.92222,25.59534,1.8878518,282.0,18.434027,0.4822695,1.5,3.6895537,4.321937,5.1039658,2.188567,-0.4530474,24,2.1714342,5.1603656,2.9889314,1.7405618,2.017815,False
35386198,ALMA(24)/SMA(57)_H00,1.6693871,122.67167,204.0,85.0,36.51515,305.93137,183.25969,3.5838807,71.62632,58.0,27.0,8.146874,99.34676,27.720444,1.9209304,262.0,36.51515,0.4274809,1.5,3.38986,4.1224422,4.8285923,2.1538274,1.0291705,24,2.1656978,6.2616916,4.095994,1.7345968,1.9449024,False
35336998,ALMA(24)/SMA(57)_H00,1.5321869,103.3606,275.0,117.0,22.585735,297.57922,194.21863,3.2060606,77.89675,84.0,38.0,9.735262,113.207085,35.310337,1.7896928,359.0,22.585735,0.4317549,1.5,3.341597,4.5575724,5.11566,2.3033676,0.89574206,24,2.1561227,4.9360642,2.7799416,1.628172,2.0954874,False
39531380,T3(18)/VWMA(54)_H00,1.5028307,76.766045,223.0,83.0,13.550149,229.43379,152.66774,3.3980997,48.29476,65.0,29.0,5.7942004,68.433525,20.138763,1.7237043,288.0,13.550149,0.3888889,1.5,2.758816,4.1280465,4.151314,2.0171783,-0.3571848,24,2.1545925,5.5742226,3.41963,1.5787867,1.8475875,False
