config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
9649144,McGinley(24)/EMA(30)_H00,1.4727196,28.434305,106.0,44.0,13.344568,88.584785,60.150482,3.5767243,30.878239,48.0,29.0,2.896019,42.861763,11.983525,1.8222548,154.0,13.344568,0.47402596,1.5,1.8786817,4.3219705,3.5568051,1.5690616,1.1894256,25,2.1559012,7.0301127,4.8742113,1.5862155,1.3658189,False
9649129,McGinley(24)/EMA(30)_H00,1.4627413,28.608095,109.0,44.0,14.463798,90.43118,61.823093,3.4710686,31.8383,49.0,30.0,2.6889234,44.72273,12.884426,1.8091073,158.0,14.463798,0.46835443,1.5,1.8576996,4.304016,3.548534,1.5792532,0.3369277,25,2.1062667,6.778226,4.671959,1.5737268,1.3737787,False
1260392,McGinley(24)/EMA(30)_H00,1.597978,42.123077,101.0,43.0,25.186884,112.565605,70.44253,3.5345347,28.412136,45.0,27.0,3.9578128,39.622135,11.210001,1.8638461,146.0,25.186884,0.47945204,1.5,2.2119205,4.136098,3.5970428,1.5592134,1.2494767,25,2.0618117,6.47998,4.418168,1.6616572,1.3900708,False
1260520,McGinley(24)/EMA(30)_H00,1.597978,42.123077,101.0,43.0,25.186884,112.565605,70.44253,3.5345347,28.412136,45.0,27.0,3.9578128,39.622135,11.210001,1.8638461,146.0,25.186884,0.47945204,1.5,2.2119205,4.136098,3.5970428,1.5592134,1.2494767,25,2.0573936,6.47998,4.4225864,1.6610507,1.3895633,False
9911002,McGinley(24)/EMA(33)_H05,1.57024,41.407227,129.0,54.0,13.557247,114.020905,72.61368,3.1958354,34.259163,63.0,38.0,3.7080476,49.861046,15.601882,1.8577443,192.0,13.557247,0.47916666,1.5,2.3995943,4.556519,4.104026,1.7939478,-0.0822366,25,2.0368195,5.256308,3.2194886,1.6527597,1.5960025,False
9911003,McGinley(24)/EMA(33)_H05,1.5343807,39.7102,129.0,54.0,13.557247,114.020905,74.3107,3.1958354,34.259163,63.0,38.0,3.7080476,49.861046,15.601882,1.8226811,192.0,13.557247,0.47916666,1.5,2.2844653,4.556519,3.9865813,1.7600887,-0.094151616,25,2.0368195,5.256308,3.2194886,1.6215652,1.5658792,False
9648859,McGinley(24)/EMA(33)_H05,1.470418,33.504017,120.0,52.0,13.047844,104.72583,71.22182,3.2917202,34.841682,59.0,36.0,2.7071388,50.04497,15.203289,1.7908082,179.0,13.047844,0.49162012,1.5,2.0161374,4.5343223,3.772673,1.6687585,-0.43672508,25,2.0329418,5.651929,3.618987,1.569373,1.4624149,False
5716929,McGinley(14)/FRAMA(33)_H00,1.42509,19.89837,101.0,37.0,15.548201,66.70816,46.809788,3.25951,26.53723,51.0,27.0,3.8663774,38.281914,11.744683,1.7930326,152.0,15.548201,0.42105263,1.5,1.6215295,3.9035032,3.308326,1.533082,-2.033111,25,2.0281396,5.7946844,3.766545,1.5460479,1.3219047,False
9648984,McGinley(24)/EMA(30)_H05,1.6035725,34.573902,106.0,45.0,10.140201,91.856,57.2821,3.472199,33.668224,52.0,30.0,2.9466052,47.28696,13.618736,1.962501,158.0,10.140201,0.47468355,1.5,2.279664,4.304898,4.0126166,1.7131578,1.1262059,25,2.0194628,5.7291284,3.7096653,1.6834574,1.4695675,False
9649112,McGinley(24)/EMA(30)_H05,1.6035725,34.573902,106.0,45.0,10.140201,91.856,57.2821,3.472199,33.668224,52.0,30.0,2.9466052,47.28696,13.618736,1.962501,158.0,10.140201,0.47468355,1.5,2.279664,4.304898,4.0126166,1.7131578,1.1262059,25,2.0194628,6.280822,4.261359,1.6834574,1.4695675,False
9649113,McGinley(24)/EMA(30)_H05,1.6035725,34.573902,106.0,45.0,10.140201,91.856,57.2821,3.472199,33.668224,52.0,30.0,2.9466052,47.28696,13.618736,1.962501,158.0,10.140201,0.47468355,1.5,2.279664,4.304898,4.0126166,1.7131578,0.4225157,25,2.0194628,5.7291284,3.7096653,1.6834574,1.4695675,False
9911256,McGinley(24)/EMA(30)_H05,1.6164366,38.5941,115.0,47.0,10.252173,101.202484,62.608383,3.3579779,33.05255,55.0,31.0,3.7911909,47.069878,14.017329,1.9350212,170.0,10.252173,0.45882353,1.5,2.3816001,4.2744136,4.033758,1.7556328,0.99503046,25,2.01269,5.811149,3.798459,1.6889242,1.5323504,False
