config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
20378289,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.1928215,23,2.839275,7.5297565,4.690482,1.6352957,1.3731141,False
28766897,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.078199,23,2.839275,7.544745,4.70547,1.6352957,1.3731141,False
32961185,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.1392281,23,2.839275,7.5297565,4.690482,1.6352957,1.3731141,False
28766881,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.1625774,23,2.839275,7.5297565,4.690482,1.6352957,1.3731141,False
28832417,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.2139773,23,2.7379959,7.418528,4.680532,1.6897038,1.3975732,False
28832433,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.1804234,23,2.7379959,7.418528,4.680532,1.6897038,1.3975732,False
20443809,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.2456006,23,2.7379959,7.418528,4.680532,1.6897038,1.3975732,False
20443825,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.1804234,23,2.7333252,7.418528,4.6852026,1.6884842,1.3965645,False
24441505,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.1376877,23,2.7162514,7.203499,4.4872475,1.6438318,1.359632,False
28635809,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.326055,23,2.7162514,7.203499,4.4872475,1.6438318,1.359632,False
32830129,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.3046267,23,2.7116725,7.217838,4.506165,1.6426512,1.3586555,False
28635825,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.2591964,23,2.7116725,7.203499,4.491826,1.6426512,1.3586555,False
32961201,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.1334434,23,2.6478264,7.5297565,4.8819304,1.5897154,1.3348415,False
24572577,VIDYA(18)/EMA(36)_H00,1.2590795,9.874334,88.0,28.0,9.798241,47.98749,38.113155,4.5764904,42.59421,59.0,32.0,2.4003494,54.50371,11.9095,2.0488956,147.0,9.798241,0.40816328,1.5,0.9620569,5.190717,3.856436,1.720403,1.1020603,23,2.6478264,7.5297565,4.8819304,1.5897154,1.3348415,False
24507057,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.1052226,23,2.5863655,7.3967557,4.81039,1.636743,1.3221146,False
20312753,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.4122118,23,2.5863655,7.3967557,4.81039,1.636743,1.3221146,False
28701361,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.1269594,23,2.5863655,7.3967557,4.81039,1.636743,1.3221146,False
32895665,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.2978994,23,2.5863655,7.3967557,4.81039,1.636743,1.3221146,False
28701345,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.3173941,23,2.5863655,7.3967557,4.81039,1.636743,1.3221146,False
32895649,VIDYA(18)/EMA(36)_H00,1.3111813,10.277982,82.0,26.0,8.358127,43.3069,33.02892,4.3181057,37.572227,55.0,30.0,4.139872,48.895626,11.323397,2.078866,137.0,8.358127,0.40875912,1.5,1.0814351,4.8850856,3.7902198,1.6792492,1.3187542,23,2.58168,7.3967557,4.8150754,1.6355468,1.3211484,False
33946428,KAMA(18)/FRAMA(69)_H00,1.307853,17.994581,85.0,42.0,10.238265,76.446434,58.451855,4.184211,57.376053,49.0,28.0,4.5263243,75.39497,18.018923,1.9856133,134.0,10.238265,0.52238804,1.5,1.2278172,4.6646967,3.87487,1.584257,0.39850813,25,2.5519328,7.1131587,4.561226,1.6009973,1.2773844,False
33026737,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.1622463,23,2.551168,7.418528,4.86736,1.6409214,1.3572247,False
24638113,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.1622463,23,2.551168,7.418528,4.86736,1.6409214,1.3572247,False
24638129,VIDYA(18)/EMA(36)_H00,1.319259,11.069928,85.0,27.0,9.617367,45.74374,34.673813,4.44819,42.250706,58.0,32.0,2.9017653,54.50371,12.253008,2.1362507,143.0,9.617367,0.4125874,1.5,1.1252183,5.130088,4.0116177,1.7669172,1.1622463,23,2.551168,7.418528,4.86736,1.6409214,1.3572247,False
35978027,McGinley(8)/FRAMA(57)_H00,1.4084098,26.752132,80.0,37.0,28.656431,92.25529,65.50316,4.005227,72.76023,54.0,33.0,3.8842106,96.97146,24.211227,2.1092129,134.0,28.656431,0.52238804,1.5,1.4934726,4.9641814,4.1925135,2.7424583,2.444443,25,2.5442293,7.282231,4.7380013,1.7149335,2.229805,False
24441521,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.2802234,23,2.5330985,7.203499,4.6704,1.5966067,1.3205715,False
32830113,VIDYA(18)/EMA(36)_H00,1.2712431,9.7190695,84.0,27.0,10.203422,45.55065,35.83158,4.378195,42.054813,59.0,32.0,2.7670012,54.50371,12.4489,2.0723565,143.0,10.203422,0.4125874,1.5,0.98054034,5.0776772,3.8732154,1.7140696,1.2982022,23,2.5330985,7.203499,4.6704,1.5966067,1.3205715,False
30732961,VIDYA(18)/EMA(30)_H05,1.5173563,17.750557,89.0,34.0,6.990808,52.060673,34.310116,3.827169,44.033485,68.0,36.0,3.4480484,59.6086,15.575116,2.2385237,157.0,6.990808,0.44585988,1.5,1.7969483,4.993293,4.574296,1.9475045,0.66550744,23,2.5296388,6.236868,3.7072291,1.8334101,1.5950575,False
