config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
40053464,KAMA(18)/FRAMA(69)_H00,1.3875655,32.005222,119.0,45.0,12.858285,114.585396,82.58018,4.3811374,74.38639,54.0,28.0,4.423585,96.386795,22.000404,2.017317,173.0,12.858285,0.42196533,1.5,1.6520357,4.7240415,4.161329,1.8470311,0.9833219,24,2.5888538,7.494051,4.905197,1.640278,1.5018187,False
40053336,KAMA(18)/FRAMA(69)_H00,1.3875655,32.005222,119.0,45.0,12.858285,114.585396,82.58018,4.3811374,74.38639,54.0,28.0,4.423585,96.386795,22.000404,2.017317,173.0,12.858285,0.42196533,1.5,1.6520357,4.7240415,4.161329,1.8470311,0.9833219,24,2.5888538,7.494051,4.905197,1.640278,1.5018187,False
40053465,KAMA(18)/FRAMA(69)_H00,1.3807285,31.596308,118.0,45.0,12.759069,114.585396,82.98909,4.3811374,74.38639,54.0,28.0,4.423585,96.386795,22.000404,2.00946,172.0,12.759069,0.4244186,1.5,1.6258738,4.7240415,4.138708,1.8343067,0.44277138,24,2.5888538,7.494051,4.905197,1.6338894,1.4914726,False
34761578,KAMA(18)/FRAMA(69)_H00,1.26755,29.488926,137.0,58.0,20.957294,139.7073,110.21838,4.076173,88.435326,62.0,36.0,6.213771,117.183815,28.748491,1.8485781,199.0,20.957294,0.4723618,1.5,1.3404813,5.2193427,4.127933,1.817376,0.6809004,24,2.587066,7.196206,4.6091404,1.5405221,1.5145197,False
12858045,VIDYA(12)/DEMA(54)_H00,1.7132248,42.884277,91.0,29.0,8.582313,103.01158,60.1273,4.274051,55.68766,47.0,26.0,4.46831,72.69646,17.008795,2.2778964,138.0,8.582313,0.39855072,1.5,2.133542,4.5309644,4.1557493,1.9382483,1.5737135,23,2.5571246,7.3645186,4.807394,1.8993078,1.6161096,False
50936685,VIDYA(12)/DEMA(54)_H00,1.4357152,41.346474,97.0,39.0,17.50639,136.23982,94.89336,4.2138195,89.964554,47.0,28.0,5.581342,117.95759,27.993032,2.0685563,144.0,17.50639,0.4652778,1.5,1.6692051,4.7027397,4.070216,1.9069684,1.6655008,24,2.5162523,7.478372,4.96212,1.6818571,1.5504766,False
35945248,McGinley(10)/FRAMA(60)_H00,1.6111505,88.465,162.0,87.0,24.065557,233.21655,144.75156,3.681636,98.96704,74.0,43.0,7.238411,135.87251,36.90547,2.0317907,236.0,24.065557,0.5508475,1.5,3.0232537,5.36006,5.387507,2.5257752,1.7460339,25,2.5145078,5.885406,3.3708982,1.7946768,2.2310126,False
34827243,KAMA(18)/FRAMA(69)_H00,1.2318659,26.066587,137.0,57.0,21.456175,138.48756,112.420975,4.1839805,94.2099,63.0,37.0,5.73174,123.798615,29.588717,1.8469598,200.0,21.456175,0.47,1.5,1.1781797,5.3767505,4.1260033,1.8203183,1.0646428,24,2.5077276,6.8086395,4.3009124,1.4977007,1.476097,False
34827242,KAMA(18)/FRAMA(69)_H00,1.2318659,26.066587,137.0,57.0,21.456175,138.48756,112.420975,4.1839805,94.2099,63.0,37.0,5.73174,123.798615,29.588717,1.8469598,200.0,21.456175,0.47,1.5,1.1781797,5.3767505,4.1260033,1.8203183,1.1609297,24,2.5077276,6.8086395,4.3009124,1.4977007,1.476097,False
35912224,T3(14)/SSmoother(75)_H00,1.3897395,34.606884,133.0,72.0,19.750618,123.40181,88.79492,4.195574,76.239494,55.0,34.0,4.010805,100.09734,23.857843,1.983965,188.0,19.750618,0.5638298,1.5,1.9000149,5.186072,4.68139,1.8955848,0.24998257,25,2.4988344,6.910357,4.4115224,1.624626,1.5522532,False
