config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors,pf_fwd_ci_low,pf_fwd_ci_high,ci_width,pf_combined_ci_low,specialist_score_ci_low,flag_sospechoso_outlier
1942308,VWMA(22)/DEMA(33)_H05,1.2888867,56.87782,271.0,110.0,19.533224,253.76413,196.8863,3.6065495,55.01751,70.0,36.0,3.5781486,76.124916,21.10741,1.5132961,341.0,19.533224,0.4281525,1.5,1.9932553,4.8099484,3.625843,1.9059314,-0.24843687,24,2.4057915,5.7643137,3.3585222,1.3970318,1.7595015,False
1876900,VWMA(22)/DEMA(33)_H05,1.3364193,63.490047,255.0,103.0,20.989307,252.213,188.72295,3.6845574,55.531273,70.0,37.0,4.739691,76.21672,20.68545,1.5683694,325.0,20.989307,0.43076923,1.5,2.1957223,4.9488316,3.8335752,1.9351658,-0.08803769,24,2.3244042,5.915208,3.5908036,1.4340129,1.769387,False
1876964,VWMA(22)/DEMA(33)_H05,1.3364193,63.490047,255.0,103.0,20.989307,252.213,188.72295,3.6845574,55.531273,70.0,37.0,4.739691,76.21672,20.68545,1.5683694,325.0,20.989307,0.43076923,1.5,2.1957223,4.9488316,3.8335752,1.9351658,-0.08803769,24,2.3244042,5.915208,3.5908036,1.4340129,1.769387,False
1876965,VWMA(22)/DEMA(33)_H05,1.3351978,63.317387,255.0,103.0,20.989307,252.213,188.89561,3.6845574,55.531273,70.0,37.0,4.739691,76.21672,20.68545,1.5670772,325.0,20.989307,0.43076923,1.5,2.1890771,4.9488316,3.8269868,1.9335713,-0.7948645,24,2.3244042,5.915208,3.5908036,1.4328314,1.7679293,False
1942516,VWMA(22)/DEMA(33)_H05,1.3105706,58.227634,254.0,100.0,21.386631,245.71364,187.48601,3.5215118,52.158604,68.0,35.0,4.739691,72.844055,20.68545,1.5302658,322.0,21.386631,0.41925466,1.5,2.0350645,4.673328,3.5897362,1.8806238,0.124051526,24,2.320756,5.710886,3.39013,1.4109501,1.7339904,False
1942436,VWMA(22)/DEMA(33)_H05,1.3246025,60.91249,257.0,102.0,21.386631,248.56508,187.65259,3.6801193,55.43947,69.0,36.0,4.739691,76.124916,20.68545,1.5584768,326.0,21.386631,0.42331287,1.5,2.1291332,4.873724,3.7684393,1.9255012,0.0057099224,24,2.3038144,5.9372587,3.6334443,1.4218264,1.7566692,False
1942500,VWMA(22)/DEMA(33)_H05,1.3246025,60.91249,257.0,102.0,21.386631,248.56508,187.65259,3.6801193,55.43947,69.0,36.0,4.739691,76.124916,20.68545,1.5584768,326.0,21.386631,0.42331287,1.5,2.1291332,4.873724,3.7684393,1.9255012,0.0057099224,24,2.3038144,5.9372587,3.6334443,1.4218264,1.7566692,False
1942501,VWMA(22)/DEMA(33)_H05,1.3233848,60.73983,257.0,102.0,21.386631,248.56508,187.82526,3.6801193,55.43947,69.0,36.0,4.739691,76.124916,20.68545,1.5571862,326.0,21.386631,0.42331287,1.5,2.1224499,4.873724,3.761849,1.9239067,-0.7217076,24,2.3038144,5.9372587,3.6334443,1.4206489,1.7552145,False
1876966,VWMA(22)/DEMA(33)_H05,1.3261136,62.57307,255.0,105.0,20.989307,254.44818,191.8751,3.6366472,55.25876,70.0,37.0,4.739691,76.21672,20.957964,1.553635,325.0,20.989307,0.4369231,1.5,2.1504242,4.909456,3.774019,1.9169854,-0.03886102,24,2.2941802,5.838293,3.544113,1.4214404,1.7538742,False
35758887,T3(24)/DEMA(51)_H00,1.401673,31.109407,199.0,86.0,16.052698,108.55901,77.44961,3.841054,28.421188,47.0,28.0,2.1134462,38.424934,10.003748,1.6807126,246.0,16.052698,0.46341464,1.5,2.2856293,4.44886,3.8996005,1.8303033,0.45815322,23,2.2936578,6.8364472,4.542789,1.5037066,1.6375428,False
