rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,SMA,24,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,21.520539,230.2609,190,190,0.2179,SMA/DEMA,-1,,,
2,SMA,24,0.0,0.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,21.355741,213.5574,120,120,0.0000,SMA/ZLEMA,-1,,,
3,SMA,24,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,20.612473,216.0985,180,180,0.1538,SMA/DEMA,-1,,,
4,T3,20,0.7,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,20.382934,224.5577,204,204,0.3077,T3/TEMA,-1,,,
5,VIDYA,14,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,20.138801,201.3880,132,132,0.0000,VIDYA/ZLEMA,-1,,,
6,ALMA,22,0.5,4.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,20.127935,216.6983,193,193,0.2372,ALMA/ZLEMA,-1,,,
7,ALMA,22,0.5,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,20.126695,217.5859,195,195,0.2500,ALMA/ZLEMA,-1,,,
8,VIDYA,20,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,20.017717,200.1772,122,122,0.0000,VIDYA/ZLEMA,-1,,,
9,VIDYA,14,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,19.830110,198.3011,126,126,0.0000,VIDYA/TEMA,-1,,,
10,T3,18,0.7,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,19.451653,222.7943,222,222,0.4231,T3/TEMA,-1,,,
11,VIDYA,14,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,19.371414,193.7141,122,122,0.0000,VIDYA/TEMA,-1,,,
12,McGinley,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,19.185895,191.8589,87,87,0.0000,McGinley/TEMA,-1,,,
13,McGinley,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,17.463689,174.6369,97,97,0.0000,McGinley/TEMA,-1,,,
14,SMA,18,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,17.125442,172.2482,159,159,0.0192,SMA/ZLEMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,5.659252,93.4245,33,0,0.0000,VIDYA/FRAMA,0,5.6593,76.0004,33
C0_2,T3,18,0.7,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,4.185593,60.3779,37,0,0.0000,T3/KAMA,0,4.1856,95.5457,37
C0_3,VIDYA,22,0.0,0.0,McGinley,30,0.0,0.0,McGinley,120,0.0,0.0,3.763121,53.3035,30,0,0.0000,VIDYA/McGinley,0,3.7631,66.1558,30
C0_4,T3,18,0.8,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,3.538216,47.8774,33,0,0.0000,T3/KAMA,0,3.5382,81.3281,33
C0_5,VIDYA,22,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,3.003203,38.5037,30,0,0.0000,VIDYA/McGinley,0,3.0032,69.2986,30
C0_6,VIDYA,22,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,2.513552,105.2073,31,0,0.0000,VIDYA/FRAMA,0,2.5136,47.3705,31
C1_1,VIDYA,18,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,7.142195,110.3253,41,0,0.0000,VIDYA/ALMA,1,7.1422,97.6376,41
C1_2,SMA,24,0.0,0.0,HMA,66,0.0,0.0,HMA,264,0.0,0.0,5.073726,-39.0353,42,0,0.0000,SMA/HMA,1,5.0737,80.5546,42
C1_3,T3,24,0.8,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,4.915682,48.9819,31,0,0.0000,T3/HMA,1,4.9157,77.4102,31
C1_4,SMA,24,0.0,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,4.450925,86.2116,41,0,0.0000,SMA/HMA,1,4.4509,84.5286,41
C1_5,T3,20,0.7,0.0,HMA,69,0.0,0.0,HMA,276,0.0,0.0,4.036540,127.2016,33,0,0.0000,T3/HMA,1,4.0365,78.1178,33
C1_6,VIDYA,20,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,4.028172,70.9003,37,0,0.0000,VIDYA/ALMA,1,4.0282,74.9494,37
C2_1,ALMA,16,0.5,4.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,37.471900,136.4445,40,0,0.0000,ALMA/ZLEMA,2,37.4719,58.8839,40
C2_2,ALMA,22,0.5,6.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,15.917756,208.0291,33,0,0.0000,ALMA/ZLEMA,2,15.9178,53.8158,33
C2_3,SMA,12,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,10.414099,28.7832,34,0,0.0000,SMA/ZLEMA,2,10.4141,50.2769,34
C2_4,SMA,14,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,8.405968,56.9679,33,0,0.0000,SMA/ZLEMA,2,8.4060,50.5540,33
C2_5,FRAMA,22,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,7.455521,89.7792,36,0,0.0000,FRAMA/TEMA,2,7.4555,89.2897,36
C2_6,FRAMA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,5.818682,85.6308,31,0,0.0000,FRAMA/TEMA,2,5.8187,82.0320,31
