rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,57.743978,577.4398,131,131,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,47.581387,475.8139,121,121,0.0000,VIDYA/KAMA,-1,,,
3,EMA,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,28.050696,280.5070,115,115,0.0000,EMA/KAMA,-1,,,
4,McGinley,22,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,24.078043,240.7804,110,110,0.0000,McGinley/KAMA,-1,,,
5,McGinley,18,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,23.052582,230.5258,108,108,0.0000,McGinley/KAMA,-1,,,
6,EMA,24,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,22.982233,229.8223,102,102,0.0000,EMA/KAMA,-1,,,
7,ALMA,22,0.5,6.0,ALMA,69,0.5,6.0,ALMA,276,0.5,6.0,22.221831,222.2183,108,108,0.0000,ALMA/ALMA,-1,,,
8,Tenkan,12,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,22.049955,293.7114,249,249,0.8309,Tenkan/TEMA,-1,,,
9,SMA,24,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,22.041345,220.4135,122,122,0.0000,SMA/KAMA,-1,,,
10,McGinley,22,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,20.712547,248.1856,211,211,0.5515,McGinley/FRAMA,-1,,,
11,Tenkan,12,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,17.669304,236.7513,251,251,0.8456,Tenkan/TEMA,-1,,,
12,SMA,24,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,15.161135,151.6113,126,126,0.0000,SMA/KAMA,-1,,,
13,ALMA,22,0.5,6.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,14.320525,143.2053,104,104,0.0000,ALMA/ALMA,-1,,,
14,McGinley,10,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,10.796831,154.2404,295,295,1.0000,McGinley/FRAMA,-1,,,
C0_1,SMA,14,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,6.413218,87.9680,40,0,0.0000,SMA/TEMA,0,6.4132,74.2587,40
C0_2,ALMA,24,0.85,4.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,6.011004,-11.9228,32,0,0.0000,ALMA/DEMA,0,6.0110,83.9596,32
C0_3,VIDYA,14,0.0,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,5.841940,-30.6073,30,0,0.0000,VIDYA/HMA,0,5.8419,96.6259,30
C1_1,ALMA,24,0.85,4.0,T3,69,0.8,0.0,T3,276,0.8,0.0,3.906362,37.6641,33,0,0.0000,ALMA/T3,1,3.9064,88.5141,33
C1_2,SMA,22,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,3.727955,58.0162,34,0,0.0000,SMA/KAMA,1,3.7280,116.9180,34
C1_3,McGinley,18,0.0,0.0,T3,60,0.8,0.0,T3,240,0.8,0.0,3.335336,27.0431,30,0,0.0000,McGinley/T3,1,3.3353,69.2900,30
C1_4,SMA,24,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,3.256805,64.3747,31,0,0.0000,SMA/KAMA,1,3.2568,82.7707,31
C1_5,McGinley,18,0.0,0.0,T3,69,0.8,0.0,T3,276,0.8,0.0,3.247164,36.4321,31,0,0.0000,McGinley/T3,1,3.2472,80.1333,31
C1_6,ALMA,20,0.85,4.0,T3,63,0.8,0.0,T3,252,0.8,0.0,2.826967,41.0589,34,0,0.0000,ALMA/T3,1,2.8270,69.5363,34
C2_1,ALMA,18,0.5,6.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,7.087067,69.1123,30,0,0.0000,ALMA/TEMA,2,7.0871,56.2843,30
C2_2,ALMA,18,0.5,6.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,5.262543,34.7556,30,0,0.0000,ALMA/TEMA,2,5.2625,52.6692,30
C2_3,T3,12,0.8,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,4.866370,77.1796,32,0,0.0000,T3/TEMA,2,4.8664,77.9135,32
C2_4,T3,12,0.8,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,4.832984,35.9073,31,0,0.0000,T3/TEMA,2,4.8330,65.3708,31
C2_5,KAMA,18,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,4.768808,62.1315,31,0,0.0000,KAMA/FRAMA,2,4.7688,68.9186,31
C2_6,KAMA,20,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,4.165780,43.7433,34,0,0.0000,KAMA/FRAMA,2,4.1658,71.9017,34
