rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,35.828102,358.2810,118,118,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,31.767881,317.6788,117,117,0.0000,VIDYA/KAMA,-1,,,
3,KAMA,20,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,21.313290,241.8273,187,187,0.3955,KAMA/FRAMA,-1,,,
4,McGinley,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,20.008044,269.4551,249,249,0.8582,McGinley/FRAMA,-1,,,
5,KAMA,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,19.171753,220.8955,193,193,0.4403,KAMA/FRAMA,-1,,,
6,McGinley,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,19.017270,216.3255,188,188,0.4030,McGinley/FRAMA,-1,,,
7,McGinley,20,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,17.630286,176.3029,92,92,0.0000,McGinley/VWMA,-1,,,
8,McGinley,24,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,17.543726,175.4373,88,88,0.0000,McGinley/KAMA,-1,,,
9,VIDYA,12,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,15.840553,158.4055,110,110,0.0000,VIDYA/VWMA,-1,,,
10,McGinley,22,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,15.196894,151.9689,92,92,0.0000,McGinley/KAMA,-1,,,
11,SMA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,14.254893,142.5489,120,120,0.0000,SMA/TEMA,-1,,,
12,VIDYA,18,0.0,0.0,VWMA,39,0.0,0.0,VWMA,156,0.0,0.0,14.154710,141.5471,101,101,0.0000,VIDYA/VWMA,-1,,,
13,McGinley,22,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,13.732349,137.3235,110,110,0.0000,McGinley/VWMA,-1,,,
14,SMA,12,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,11.720768,133.6666,189,189,0.4104,SMA/TEMA,-1,,,
C0_1,T3,18,0.8,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.757257,7.5986,34,0,0.0000,T3/KAMA,0,3.7573,80.7923,34
C0_2,T3,18,0.8,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,3.080185,29.3579,34,0,0.0000,T3/KAMA,0,3.0802,69.6067,34
C0_3,SMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,3.059747,19.0964,39,0,0.0000,SMA/KAMA,0,3.0597,73.0179,39
C0_4,SMA,24,0.0,0.0,Tenkan,72,0.0,0.0,Tenkan,288,0.0,0.0,2.835104,30.6783,34,0,0.0000,SMA/Tenkan,0,2.8351,65.3775,34
C0_5,SMA,24,0.0,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,2.611241,21.6001,36,0,0.0000,SMA/Tenkan,0,2.6112,62.7084,36
C0_6,SMA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,2.207160,23.2863,44,0,0.0000,SMA/KAMA,0,2.2072,58.2506,44
C1_1,McGinley,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,6.935769,15.7405,46,0,0.0000,McGinley/FRAMA,1,6.9358,84.4588,46
C1_2,EMA,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,5.582445,100.2602,43,0,0.0000,EMA/FRAMA,1,5.5824,79.8682,43
C1_3,VIDYA,12,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,4.657482,93.7710,30,0,0.0000,VIDYA/FRAMA,1,4.6575,59.8618,30
C1_4,VIDYA,10,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,4.347898,77.4092,30,0,0.0000,VIDYA/FRAMA,1,4.3479,53.4986,30
C1_5,EMA,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,3.748230,61.1911,49,0,0.0000,EMA/FRAMA,1,3.7482,72.4520,49
C1_6,McGinley,16,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,3.467884,112.8276,49,0,0.0000,McGinley/FRAMA,1,3.4679,94.7304,49
C2_1,VIDYA,18,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,5.443161,37.0578,34,0,0.0000,VIDYA/VWMA,2,5.4432,69.7471,34
C2_2,VIDYA,22,0.0,0.0,Tenkan,60,0.0,0.0,Tenkan,240,0.0,0.0,4.449526,4.4734,38,0,0.0000,VIDYA/Tenkan,2,4.4495,55.8318,38
C2_3,VIDYA,22,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,4.307060,50.0442,34,0,0.0000,VIDYA/HMA,2,4.3071,50.7358,34
C2_4,VIDYA,16,0.0,0.0,VWMA,51,0.0,0.0,VWMA,204,0.0,0.0,3.872376,45.7752,34,0,0.0000,VIDYA/VWMA,2,3.8724,61.4598,34
C2_5,VIDYA,24,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,3.576725,17.8456,32,0,0.0000,VIDYA/HMA,2,3.5767,52.3809,32
C2_6,VIDYA,18,0.0,0.0,Tenkan,57,0.0,0.0,Tenkan,228,0.0,0.0,2.942095,-6.8816,47,0,0.0000,VIDYA/Tenkan,2,2.9421,71.2582,47
