rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,19.003913,442.9731,88,88,0.0000,VIDYA/KAMA,-1,,,
2,KAMA,18,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,15.719776,444.1470,190,190,0.5833,KAMA/FRAMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,13.474542,314.0859,94,94,0.0000,VIDYA/KAMA,-1,,,
4,Tenkan,24,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,11.556068,269.3670,94,94,0.0000,Tenkan/KAMA,-1,,,
5,McGinley,8,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,10.898644,362.9182,324,324,1.0000,McGinley/FRAMA,-1,,,
6,Tenkan,24,0.0,0.0,KAMA,72,0.0,0.0,KAMA,288,0.0,0.0,10.727880,250.0623,103,103,0.0000,Tenkan/KAMA,-1,,,
7,McGinley,10,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,10.370719,345.3386,307,307,1.0000,McGinley/FRAMA,-1,,,
8,T3,14,0.7,0.0,SSmoother,75,0.0,0.0,SSmoother,300,0.0,0.0,10.232289,240.9195,124,124,0.0333,T3/SSmoother,-1,,,
9,ALMA,18,0.5,6.0,ALMA,54,0.5,4.0,ALMA,216,0.5,4.0,9.892118,245.2990,144,144,0.2000,ALMA/ALMA,-1,,,
10,KAMA,22,0.0,0.0,VWMA,75,0.0,0.0,VWMA,300,0.0,0.0,9.799859,228.4305,84,84,0.0000,KAMA/VWMA,-1,,,
11,ALMA,16,0.5,6.0,ALMA,57,0.5,4.0,ALMA,228,0.5,4.0,9.627271,234.9818,138,138,0.1500,ALMA/ALMA,-1,,,
12,T3,14,0.7,0.0,SSmoother,72,0.0,0.0,SSmoother,288,0.0,0.0,8.414797,202.2117,132,132,0.1000,T3/SSmoother,-1,,,
13,KAMA,18,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,8.186633,232.7158,192,192,0.6000,KAMA/FRAMA,-1,,,
14,KAMA,18,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,6.855006,159.7873,96,96,0.0000,KAMA/VWMA,-1,,,
C0_1,ALMA,24,0.5,4.0,SSmoother,36,0.0,0.0,SSmoother,144,0.0,0.0,5.507526,-8.5125,33,0,0.0000,ALMA/SSmoother,0,5.5075,67.7049,33
C0_2,McGinley,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,5.496499,67.8333,32,0,0.0000,McGinley/FRAMA,0,5.4965,74.4584,32
C0_3,KAMA,12,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,4.505970,145.6967,30,0,0.0000,KAMA/ALMA,0,4.5060,60.8552,30
C0_4,ALMA,24,0.5,4.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,3.124421,-22.8064,36,0,0.0000,ALMA/SSmoother,0,3.1244,55.3559,36
C0_5,McGinley,20,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,2.922347,160.0196,32,0,0.0000,McGinley/FRAMA,0,2.9223,51.4591,32
C1_1,ALMA,20,0.85,4.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,3.399371,120.9018,33,0,0.0000,ALMA/KAMA,1,3.3994,92.6508,33
C1_2,T3,22,0.8,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,3.377056,-4.5495,46,0,0.0000,T3/FRAMA,1,3.3771,69.3242,46
C1_3,SMA,10,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,3.247153,128.6196,39,0,0.0000,SMA/KAMA,1,3.2472,97.9019,39
C1_4,ALMA,20,0.5,6.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,3.066151,48.9043,40,0,0.0000,ALMA/KAMA,1,3.0662,80.9637,40
C2_1,VIDYA,18,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,7.905179,7.4012,35,0,0.0000,VIDYA/EMA,2,7.9052,138.1299,35
C2_2,VIDYA,14,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,7.780713,-10.8278,35,0,0.0000,VIDYA/DEMA,2,7.7807,119.7045,35
C2_3,VIDYA,16,0.0,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,5.446389,-11.4421,34,0,0.0000,VIDYA/ZLEMA,2,5.4464,131.4409,34
C2_4,VIDYA,12,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,4.671045,4.2567,34,0,0.0000,VIDYA/DEMA,2,4.6710,122.6660,34
C2_5,VIDYA,18,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,3.855025,-3.9470,40,0,0.0000,VIDYA/EMA,2,3.8550,101.7590,40
C2_6,VIDYA,16,0.0,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,3.720939,-29.1777,34,0,0.0000,VIDYA/ZLEMA,2,3.7209,100.6596,34
