rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,36.938771,369.3877,100,100,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,28.836811,288.3681,102,102,0.0000,VIDYA/KAMA,-1,,,
3,McGinley,20,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,22.135947,277.7204,228,228,0.6765,McGinley/FRAMA,-1,,,
4,McGinley,24,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,21.840179,218.4018,14,14,0.0000,McGinley/EMA,-1,,,
5,McGinley,22,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,21.150974,264.6304,227,227,0.6691,McGinley/FRAMA,-1,,,
6,KAMA,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,19.027198,252.7050,248,248,0.8235,KAMA/FRAMA,-1,,,
7,VWMA,22,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,17.924526,256.0647,302,302,1.0000,VWMA/FRAMA,-1,,,
8,KAMA,14,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,17.859887,231.7695,240,240,0.7647,KAMA/FRAMA,-1,,,
9,ALMA,18,0.5,6.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,17.654391,252.2056,417,417,1.0000,ALMA/FRAMA,-1,,,
10,McGinley,22,0.0,0.0,HMA,48,0.0,0.0,HMA,192,0.0,0.0,17.376213,183.4755,160,160,0.1765,McGinley/HMA,-1,,,
11,VWMA,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,16.241077,232.0154,298,298,1.0000,VWMA/FRAMA,-1,,,
12,ALMA,20,0.5,6.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,14.092699,201.3243,388,388,1.0000,ALMA/FRAMA,-1,,,
13,McGinley,20,0.0,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,13.648303,147.5492,170,170,0.2500,McGinley/HMA,-1,,,
14,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,6.025415,60.2541,78,78,0.0000,McGinley/EMA,-1,,,
C0_1,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,7.882178,168.1025,32,0,0.0000,McGinley/KAMA,0,7.8822,138.2866,32
C0_2,T3,12,0.7,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,5.590185,68.9815,42,0,0.0000,T3/TEMA,0,5.5902,77.2150,42
C0_3,T3,10,0.7,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,5.225642,-2.4348,57,0,0.0000,T3/TEMA,0,5.2256,98.7253,57
C0_4,EMA,20,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,5.003189,42.0203,32,0,0.0000,EMA/KAMA,0,5.0032,103.7179,32
C0_5,EMA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,4.227990,85.3145,30,0,0.0000,EMA/KAMA,0,4.2280,90.3355,30
C0_6,McGinley,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.583204,44.3415,32,0,0.0000,McGinley/KAMA,0,3.5832,84.1395,32
C1_1,VIDYA,18,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,3.280085,215.8290,47,0,0.0000,VIDYA/KAMA,1,3.2801,124.1388,47
C1_2,VIDYA,24,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,2.659409,13.2112,35,0,0.0000,VIDYA/KAMA,1,2.6594,81.5997,35
C1_3,VIDYA,18,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,2.605523,27.2694,40,0,0.0000,VIDYA/DEMA,1,2.6055,74.1262,40
C1_4,VIDYA,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,2.482609,28.4002,49,0,0.0000,VIDYA/FRAMA,1,2.4826,72.7234,49
C1_5,VIDYA,24,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,2.452073,50.4390,52,0,0.0000,VIDYA/FRAMA,1,2.4521,79.1979,52
C1_6,VIDYA,22,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,2.278599,47.2643,47,0,0.0000,VIDYA/DEMA,1,2.2786,87.9747,47
C2_1,SMA,16,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,4.894251,31.7827,31,0,0.0000,SMA/FRAMA,2,4.8943,40.0504,31
C2_2,Tenkan,10,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,4.199678,11.7757,30,0,0.0000,Tenkan/TEMA,2,4.1997,28.4842,30
C2_3,ALMA,24,0.5,6.0,ALMA,60,0.85,6.0,ALMA,240,0.85,6.0,3.427037,38.6260,31,0,0.0000,ALMA/ALMA,2,3.4270,40.3890,31
C2_4,ALMA,24,0.5,6.0,ALMA,49,0.85,4.0,ALMA,196,0.85,4.0,3.183881,16.6896,31,0,0.0000,ALMA/ALMA,2,3.1839,42.2499,31
