rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,EMA,24,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,83.446703,249.0445,186,186,0.4308,EMA/HMA,-1,,,
2,T3,24,0.7,0.0,JMA,54,0.0,2.0,JMA,216,0.0,2.0,80.795624,227.8480,164,164,0.2615,T3/JMA,-1,,,
3,McGinley,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,78.787479,267.7842,232,232,0.7846,McGinley/FRAMA,-1,,,
4,McGinley,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,77.372947,253.0480,219,219,0.6846,McGinley/FRAMA,-1,,,
5,EMA,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,76.802978,265.8535,238,238,0.8308,EMA/FRAMA,-1,,,
6,FRAMA,20,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,76.462195,283.8700,394,394,1.0000,FRAMA/ALMA,-1,,,
7,SMA,22,0.0,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,66.242581,180.4803,150,150,0.1538,SMA/HMA,-1,,,
8,T3,24,0.7,0.0,JMA,48,0.0,2.0,JMA,192,0.0,2.0,64.473136,183.6573,168,168,0.2923,T3/JMA,-1,,,
9,FRAMA,20,0.0,0.0,ALMA,42,0.85,6.0,ALMA,168,0.85,6.0,61.470662,228.2131,298,298,1.0000,FRAMA/ALMA,-1,,,
10,FRAMA,24,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,58.785294,218.2436,353,353,1.0000,FRAMA/FRAMA,-1,,,
11,SMA,12,0.0,0.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,58.105490,215.7198,260,260,1.0000,SMA/HMA,-1,,,
12,FRAMA,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,55.413074,205.7240,432,432,1.0000,FRAMA/FRAMA,-1,,,
13,EMA,18,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,54.960603,175.6672,211,211,0.6231,EMA/FRAMA,-1,,,
14,EMA,24,0.0,0.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,53.909230,160.0424,184,184,0.4154,EMA/HMA,-1,,,
C0_1,McGinley,20,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.914287,85.5753,42,0,0.0000,McGinley/ZLEMA,0,3.9143,80.4559,42
C0_2,McGinley,20,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,3.212163,62.8799,40,0,0.0000,McGinley/TEMA,0,3.2122,56.8479,40
C0_3,McGinley,24,0.0,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,3.075184,66.1358,45,0,0.0000,McGinley/ALMA,0,3.0752,71.7062,45
C0_4,McGinley,14,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,2.976610,30.1983,39,0,0.0000,McGinley/TEMA,0,2.9766,49.4654,39
C1_1,VIDYA,14,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,8.099624,11.4811,34,0,0.0000,VIDYA/ZLEMA,1,8.0996,76.7736,34
C1_2,McGinley,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,5.056406,219.1713,61,0,0.0000,McGinley/FRAMA,1,5.0564,106.3878,61
C1_3,VIDYA,12,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.867897,49.4013,44,0,0.0000,VIDYA/FRAMA,1,4.8679,95.8053,44
C1_4,VIDYA,14,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,4.524856,10.8148,34,0,0.0000,VIDYA/FRAMA,1,4.5249,58.5908,34
C1_5,McGinley,24,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.231251,246.7449,66,0,0.0000,McGinley/FRAMA,1,4.2313,134.1434,66
C2_1,VIDYA,24,0.0,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,3.468987,-0.7783,33,0,0.0000,VIDYA/Tenkan,2,3.4690,68.4421,33
C2_2,VIDYA,24,0.0,0.0,Tenkan,72,0.0,0.0,Tenkan,288,0.0,0.0,3.124713,25.7922,33,0,0.0000,VIDYA/Tenkan,2,3.1247,67.4830,33
C2_3,ZLEMA,8,0.0,0.0,T3,75,0.8,0.0,T3,300,0.8,0.0,3.005889,-11.2296,32,0,0.0000,ZLEMA/T3,2,3.0059,51.7948,32
C2_4,Tenkan,18,0.0,0.0,EMA,54,0.0,0.0,EMA,216,0.0,0.0,2.908915,-28.6990,36,0,0.0000,Tenkan/EMA,2,2.9089,55.9789,36
C2_5,ZLEMA,8,0.0,0.0,T3,66,0.7,0.0,T3,264,0.7,0.0,2.876960,-43.0135,30,0,0.0000,ZLEMA/T3,2,2.8770,47.8424,30
C2_6,Tenkan,18,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,2.647840,-28.6158,30,0,0.0000,Tenkan/EMA,2,2.6478,44.8278,30
