rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VWMA,20,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,7.367183,473.4125,336,336,1.0000,VWMA/FRAMA,-1,,,
2,EMA,22,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,6.526528,293.5747,92,92,0.0000,EMA/KAMA,-1,,,
3,McGinley,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,6.227912,280.1424,101,101,0.0000,McGinley/KAMA,-1,,,
4,KAMA,14,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,6.068976,272.9932,112,112,0.0000,KAMA/T3,-1,,,
5,EMA,14,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,5.944007,273.0205,124,124,0.0690,EMA/KAMA,-1,,,
6,KAMA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,5.876205,264.3220,84,84,0.0000,KAMA/KAMA,-1,,,
7,VIDYA,12,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,5.860580,263.6192,108,108,0.0000,VIDYA/KAMA,-1,,,
8,VIDYA,16,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,5.772739,259.6679,76,76,0.0000,VIDYA/KAMA,-1,,,
9,KAMA,18,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,5.741656,258.2697,78,78,0.0000,KAMA/KAMA,-1,,,
10,McGinley,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,5.452347,245.2561,116,116,0.0000,McGinley/KAMA,-1,,,
11,FRAMA,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,5.185848,287.5574,189,189,0.6293,FRAMA/TEMA,-1,,,
12,FRAMA,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,4.950565,267.6836,181,181,0.5603,FRAMA/TEMA,-1,,,
13,KAMA,14,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,4.624187,208.0040,110,110,0.0000,KAMA/T3,-1,,,
14,VWMA,20,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,4.442921,285.5005,328,328,1.0000,VWMA/FRAMA,-1,,,
C0_1,KAMA,12,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,6.038839,15.8623,33,0,0.0000,KAMA/DEMA,0,6.0388,77.2879,33
C0_2,KAMA,8,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,5.268992,35.4100,39,0,0.0000,KAMA/TEMA,0,5.2690,92.9128,39
C0_3,KAMA,12,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,5.185465,22.5468,31,0,0.0000,KAMA/DEMA,0,5.1855,70.3583,31
C0_4,VWMA,22,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,4.442992,75.3564,34,0,0.0000,VWMA/TEMA,0,4.4430,61.5594,34
C0_5,VWMA,22,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,4.345993,83.4944,38,0,0.0000,VWMA/TEMA,0,4.3460,58.2388,38
C0_6,KAMA,12,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,3.515224,52.1032,32,0,0.0000,KAMA/TEMA,0,3.5152,61.2723,32
C1_1,Tenkan,16,0.0,0.0,EMA,60,0.0,0.0,EMA,240,0.0,0.0,4.979786,160.4391,34,0,0.0000,Tenkan/EMA,1,4.9798,71.8339,34
C1_2,KAMA,22,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.163501,154.2112,31,0,0.0000,KAMA/FRAMA,1,4.1635,45.9450,31
C1_3,Tenkan,16,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,3.981015,193.6957,39,0,0.0000,Tenkan/EMA,1,3.9810,64.0080,39
C1_4,SMA,14,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,3.464919,109.1226,43,0,0.0000,SMA/TEMA,1,3.4649,54.3415,43
C1_5,KAMA,22,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,3.167313,27.3797,30,0,0.0000,KAMA/FRAMA,1,3.1673,41.7182,30
C1_6,SMA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,2.724843,188.9446,35,0,0.0000,SMA/TEMA,1,2.7248,40.5150,35
C2_1,VIDYA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,5.740209,150.3857,42,0,0.0000,VIDYA/KAMA,2,5.7402,105.2779,42
C2_2,VIDYA,18,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,5.592159,222.9245,34,0,0.0000,VIDYA/KAMA,2,5.5922,124.4885,34
C2_3,KAMA,14,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,5.430683,259.9095,33,0,0.0000,KAMA/KAMA,2,5.4307,98.0354,33
C2_4,KAMA,10,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,5.127358,147.9409,36,0,0.0000,KAMA/KAMA,2,5.1274,106.1867,36
C2_5,FRAMA,8,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,4.119331,81.2023,38,0,0.0000,FRAMA/KAMA,2,4.1193,103.9836,38
C2_6,FRAMA,14,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,3.912593,100.4204,36,0,0.0000,FRAMA/KAMA,2,3.9126,95.0343,36
