rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,30.927630,309.2763,96,96,0.0000,VIDYA/HMA,-1,,,
2,VIDYA,20,0.0,0.0,JMA,42,0.0,2.0,JMA,168,0.0,2.0,30.609278,306.0928,94,94,0.0000,VIDYA/JMA,-1,,,
3,VIDYA,20,0.0,0.0,JMA,39,0.0,2.0,JMA,156,0.0,2.0,30.034946,300.3495,100,100,0.0000,VIDYA/JMA,-1,,,
4,VIDYA,22,0.0,0.0,HMA,57,0.0,0.0,HMA,228,0.0,0.0,29.958951,299.5895,90,90,0.0000,VIDYA/HMA,-1,,,
5,VIDYA,20,0.0,0.0,SSmoother,39,0.0,0.0,SSmoother,156,0.0,0.0,29.148247,291.4825,96,96,0.0000,VIDYA/SSmoother,-1,,,
6,VIDYA,20,0.0,0.0,SSmoother,36,0.0,0.0,SSmoother,144,0.0,0.0,28.521695,285.2169,102,102,0.0000,VIDYA/SSmoother,-1,,,
7,VIDYA,24,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,28.433959,284.3396,118,118,0.0000,VIDYA/ZLEMA,-1,,,
8,VIDYA,22,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,27.104556,271.0456,106,106,0.0000,VIDYA/ZLEMA,-1,,,
9,VIDYA,20,0.0,0.0,ALMA,48,0.85,6.0,ALMA,192,0.85,6.0,25.906001,259.0600,90,90,0.0000,VIDYA/ALMA,-1,,,
10,SMA,24,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,25.029913,250.2991,128,128,0.0000,SMA/ZLEMA,-1,,,
11,VIDYA,24,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,25.018622,250.1862,114,114,0.0000,VIDYA/TEMA,-1,,,
12,VIDYA,22,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,24.969616,249.6962,104,104,0.0000,VIDYA/ALMA,-1,,,
13,VIDYA,22,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,24.284845,242.8484,112,112,0.0000,VIDYA/TEMA,-1,,,
14,SMA,22,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,21.457131,214.5713,136,136,0.0000,SMA/ZLEMA,-1,,,
C0_1,VIDYA,20,0.0,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,10.396746,298.9655,31,0,0.0000,VIDYA/HMA,0,10.3967,100.6145,31
C0_2,VIDYA,20,0.0,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,10.189717,309.2763,31,0,0.0000,VIDYA/HMA,0,10.1897,97.8350,31
C0_3,SMA,24,0.0,0.0,ZLEMA,54,0.0,0.0,ZLEMA,216,0.0,0.0,9.632210,164.6853,32,0,0.0000,SMA/ZLEMA,0,9.6322,73.4551,32
C0_4,VIDYA,16,0.0,0.0,JMA,39,0.0,2.0,JMA,156,0.0,2.0,8.414491,247.3362,31,0,0.0000,VIDYA/JMA,0,8.4145,88.2180,31
C0_5,VIDYA,18,0.0,0.0,JMA,36,0.0,2.0,JMA,144,0.0,2.0,8.061918,216.1726,31,0,0.0000,VIDYA/JMA,0,8.0619,82.3284,31
C1_1,KAMA,14,0.0,0.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,10.123039,27.0111,30,0,0.0000,KAMA/ZLEMA,1,10.1230,62.8773,30
C1_2,McGinley,8,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,9.050704,74.7694,35,0,0.0000,McGinley/TEMA,1,9.0507,54.2622,35
C1_3,ALMA,24,0.85,4.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,8.235674,63.2839,31,0,0.0000,ALMA/TEMA,1,8.2357,44.4699,31
C1_4,ALMA,22,0.85,4.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,7.570329,83.3256,33,0,0.0000,ALMA/TEMA,1,7.5703,45.6986,33
C1_5,KAMA,14,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,6.341286,42.9926,30,0,0.0000,KAMA/ZLEMA,1,6.3413,40.9762,30
C2_1,VIDYA,22,0.0,0.0,VWMA,39,0.0,0.0,VWMA,156,0.0,0.0,15.879353,171.9387,33,0,0.0000,VIDYA/VWMA,2,15.8794,100.4462,33
C2_2,VIDYA,20,0.0,0.0,VWMA,36,0.0,0.0,VWMA,144,0.0,0.0,9.180695,190.8490,34,0,0.0000,VIDYA/VWMA,2,9.1807,96.8234,34
C2_3,VIDYA,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,5.412835,111.2375,32,0,0.0000,VIDYA/TEMA,2,5.4128,79.7204,32
