rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,15.363913,201.9731,127,127,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,14.771248,194.1820,102,102,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,ALMA,51,0.5,6.0,ALMA,204,0.5,6.0,14.288789,191.8872,137,137,0.0703,VIDYA/ALMA,-1,,,
4,FRAMA,16,0.0,0.0,T3,30,0.8,0.0,T3,120,0.8,0.0,14.044433,187.2607,134,134,0.0469,FRAMA/T3,-1,,,
5,KAMA,14,0.0,0.0,ALMA,42,0.5,6.0,ALMA,168,0.5,6.0,13.622205,194.0883,161,161,0.2578,KAMA/ALMA,-1,,,
6,VIDYA,12,0.0,0.0,SMA,42,0.0,0.0,SMA,168,0.0,0.0,13.561820,183.8857,141,141,0.1016,VIDYA/SMA,-1,,,
7,VIDYA,12,0.0,0.0,ALMA,48,0.5,6.0,ALMA,192,0.5,6.0,12.960393,177.4467,145,145,0.1328,VIDYA/ALMA,-1,,,
8,KAMA,14,0.0,0.0,ALMA,39,0.5,4.0,ALMA,156,0.5,4.0,12.608298,172.6260,145,145,0.1328,KAMA/ALMA,-1,,,
9,VIDYA,14,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,12.260626,161.1775,121,121,0.0000,VIDYA/EMA,-1,,,
10,KAMA,14,0.0,0.0,T3,30,0.8,0.0,T3,120,0.8,0.0,11.377005,149.5615,127,127,0.0000,KAMA/T3,-1,,,
11,VIDYA,10,0.0,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,10.364794,158.9849,189,189,0.4766,VIDYA/SMA,-1,,,
12,FRAMA,16,0.0,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,9.900089,130.1460,124,124,0.0000,FRAMA/T3,-1,,,
13,KAMA,12,0.0,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,9.512162,125.0464,122,122,0.0000,KAMA/T3,-1,,,
14,VIDYA,12,0.0,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,8.721700,122.4006,155,155,0.2109,VIDYA/EMA,-1,,,
C0_1,VIDYA,14,0.0,0.0,ALMA,48,0.85,4.0,ALMA,192,0.85,4.0,7.895895,-6.6820,36,0,0.0000,VIDYA/ALMA,0,7.8959,52.7619,36
C0_2,T3,14,0.8,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,5.181282,128.8622,50,0,0.0000,T3/HMA,0,5.1813,70.0393,50
C0_3,VIDYA,16,0.0,0.0,ALMA,36,0.5,4.0,ALMA,144,0.5,4.0,4.686082,52.1668,37,0,0.0000,VIDYA/ALMA,0,4.6861,61.4019,37
C0_4,VIDYA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,4.454395,141.2811,38,0,0.0000,VIDYA/KAMA,0,4.4544,62.2322,38
C0_5,VIDYA,18,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,3.537375,38.0372,33,0,0.0000,VIDYA/KAMA,0,3.5374,42.3895,33
