rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,37.819238,378.1924,97,97,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,10,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,36.545883,365.4588,113,113,0.0000,VIDYA/KAMA,-1,,,
3,KAMA,20,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,34.432568,344.3257,61,61,0.0000,KAMA/KAMA,-1,,,
4,ZLEMA,16,0.0,0.0,VWMA,49,0.0,0.0,VWMA,196,0.0,0.0,33.328009,343.6642,153,153,0.1007,ZLEMA/VWMA,-1,,,
5,KAMA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,33.214086,332.1409,77,77,0.0000,KAMA/KAMA,-1,,,
6,T3,22,0.8,0.0,VWMA,75,0.0,0.0,VWMA,300,0.0,0.0,32.418629,324.1863,83,83,0.0000,T3/VWMA,-1,,,
7,T3,22,0.8,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,31.706559,317.0656,109,109,0.0000,T3/EMA,-1,,,
8,HMA,24,0.0,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,30.683693,306.8369,115,115,0.0000,HMA/Tenkan,-1,,,
9,T3,22,0.7,0.0,ALMA,69,0.85,4.0,ALMA,276,0.85,4.0,30.506356,305.0636,129,129,0.0000,T3/ALMA,-1,,,
10,T3,20,0.7,0.0,VWMA,69,0.0,0.0,VWMA,276,0.0,0.0,28.703089,287.0309,93,93,0.0000,T3/VWMA,-1,,,
11,T3,22,0.8,0.0,ALMA,60,0.85,4.0,ALMA,240,0.85,4.0,27.801729,278.0173,125,125,0.0000,T3/ALMA,-1,,,
12,HMA,24,0.0,0.0,Tenkan,66,0.0,0.0,Tenkan,264,0.0,0.0,26.571787,265.7179,119,119,0.0000,HMA/Tenkan,-1,,,
13,T3,22,0.8,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,25.653711,256.5371,109,109,0.0000,T3/EMA,-1,,,
14,ZLEMA,14,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,15.432265,160.5602,157,157,0.1295,ZLEMA/VWMA,-1,,,
C0_1,FRAMA,24,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,4.759836,-25.4555,33,0,0.0000,FRAMA/ALMA,0,4.7598,71.5966,33
C0_2,Tenkan,22,0.0,0.0,ALMA,45,0.85,4.0,ALMA,180,0.85,4.0,3.786832,-10.9327,32,0,0.0000,Tenkan/ALMA,0,3.7868,55.1082,32
C0_3,T3,14,0.8,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,3.561819,-74.5939,44,0,0.0000,T3/ZLEMA,0,3.5618,61.2882,44
C0_4,T3,12,0.8,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,3.532311,-64.8251,40,0,0.0000,T3/ZLEMA,0,3.5323,64.7035,40
C0_5,FRAMA,24,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,3.386940,29.6920,35,0,0.0000,FRAMA/ALMA,0,3.3869,56.4980,35
C0_6,Tenkan,20,0.0,0.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,2.749060,-11.6916,43,0,0.0000,Tenkan/ALMA,0,2.7491,42.9615,43
C1_1,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,3.143418,281.0455,44,0,0.0000,VIDYA/KAMA,1,3.1434,125.4775,44
C1_2,VIDYA,14,0.0,0.0,VWMA,75,0.0,0.0,VWMA,300,0.0,0.0,2.990571,197.5396,42,0,0.0000,VIDYA/VWMA,1,2.9906,141.1598,42
C1_3,VIDYA,12,0.0,0.0,T3,51,0.8,0.0,T3,204,0.8,0.0,2.909354,122.0876,36,0,0.0000,VIDYA/T3,1,2.9094,110.6318,36
C1_4,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,2.642443,342.2543,50,0,0.0000,VIDYA/KAMA,1,2.6424,114.8223,50
C1_5,VIDYA,14,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,2.503130,136.5375,45,0,0.0000,VIDYA/VWMA,1,2.5031,98.4497,45
C2_1,ALMA,18,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,3.673105,-68.2611,31,0,0.0000,ALMA/TEMA,2,3.6731,36.8823,31
C2_2,KAMA,14,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,3.647014,-40.0157,44,0,0.0000,KAMA/DEMA,2,3.6470,101.9874,44
C2_3,ALMA,24,0.5,6.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,3.517517,-56.1331,40,0,0.0000,ALMA/ZLEMA,2,3.5175,47.3354,40
C2_4,ALMA,16,0.5,4.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,2.856709,-23.1147,47,0,0.0000,ALMA/TEMA,2,2.8567,69.3847,47
