rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,17.870801,178.7080,89,89,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,14.861945,148.6194,101,101,0.0000,VIDYA/KAMA,-1,,,
3,ALMA,24,0.5,4.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,10.409232,104.0923,103,103,0.0000,ALMA/SMA,-1,,,
4,T3,18,0.7,0.0,ALMA,66,0.85,4.0,ALMA,264,0.85,4.0,9.332907,93.3291,117,117,0.0000,T3/ALMA,-1,,,
5,T3,18,0.8,0.0,ALMA,57,0.85,4.0,ALMA,228,0.85,4.0,9.235173,92.5721,127,127,0.0079,T3/ALMA,-1,,,
6,ALMA,24,0.5,4.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,9.197987,91.9799,111,111,0.0000,ALMA/SMA,-1,,,
7,T3,20,0.8,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,9.182159,91.8216,125,125,0.0000,T3/SMA,-1,,,
8,T3,18,0.8,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,8.814194,88.1419,125,125,0.0000,T3/VWMA,-1,,,
9,T3,18,0.8,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,8.760092,88.6564,131,131,0.0397,T3/VWMA,-1,,,
10,T3,22,0.8,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,8.608674,86.0867,80,80,0.0000,T3/T3,-1,,,
11,T3,24,0.8,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,8.520605,85.2061,80,80,0.0000,T3/T3,-1,,,
12,T3,16,0.8,0.0,SSmoother,42,0.0,0.0,SSmoother,168,0.0,0.0,8.479120,84.7912,125,125,0.0000,T3/SSmoother,-1,,,
13,T3,18,0.7,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,8.250776,82.5078,95,95,0.0000,T3/SMA,-1,,,
14,T3,18,0.8,0.0,SSmoother,54,0.0,0.0,SSmoother,216,0.0,0.0,7.675633,76.7563,101,101,0.0000,T3/SSmoother,-1,,,
C0_1,Tenkan,16,0.0,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,5.615348,16.8047,30,0,0.0000,Tenkan/EMA,0,5.6153,32.8284,30
C0_2,T3,16,0.8,0.0,SSmoother,42,0.0,0.0,SSmoother,168,0.0,0.0,4.955551,84.7912,31,0,0.0000,T3/SSmoother,0,4.9556,47.1140,31
C0_3,T3,18,0.8,0.0,ALMA,57,0.85,4.0,ALMA,228,0.85,4.0,3.435227,92.5721,31,0,0.0000,T3/ALMA,0,3.4352,33.7386,31
C0_4,Tenkan,16,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,3.354019,8.6985,31,0,0.0000,Tenkan/EMA,0,3.3540,26.5993,31
C0_5,T3,18,0.8,0.0,ALMA,63,0.85,6.0,ALMA,252,0.85,6.0,3.343970,66.3323,37,0,0.0000,T3/ALMA,0,3.3440,40.9777,37
C1_1,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,3.230954,60.5308,36,0,0.0000,VIDYA/KAMA,1,3.2310,46.6707,36
C1_2,VIDYA,12,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,3.187006,135.6455,31,0,0.0000,VIDYA/KAMA,1,3.1870,39.2408,31
C1_3,VIDYA,22,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,3.008800,44.1517,50,0,0.0000,VIDYA/FRAMA,1,3.0088,54.1233,50
C1_4,VIDYA,22,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,3.002995,37.3391,46,0,0.0000,VIDYA/FRAMA,1,3.0030,52.2599,46
C1_5,T3,18,0.7,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,2.957706,51.3624,34,0,0.0000,T3/KAMA,1,2.9577,46.6582,34
C1_6,T3,16,0.7,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,2.443992,25.1421,35,0,0.0000,T3/KAMA,1,2.4440,39.3922,35
C2_1,VIDYA,20,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,5.436656,-15.4635,36,0,0.0000,VIDYA/VWMA,2,5.4367,47.6666,36
C2_2,VIDYA,12,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,4.178180,37.4907,34,0,0.0000,VIDYA/T3,2,4.1782,46.8979,34
C2_3,SMA,18,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,3.979518,16.7751,38,0,0.0000,SMA/DEMA,2,3.9795,48.9682,38
C2_4,SMA,20,0.0,0.0,DEMA,69,0.0,0.0,DEMA,276,0.0,0.0,3.974288,-21.1026,30,0,0.0000,SMA/DEMA,2,3.9743,32.1934,30
C2_5,VIDYA,14,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,3.692100,22.5937,31,0,0.0000,VIDYA/T3,2,3.6921,36.5071,31
C2_6,VIDYA,14,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,3.396360,11.7056,39,0,0.0000,VIDYA/VWMA,2,3.3964,31.0467,39
