rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,27.966128,290.4777,108,108,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,27.783599,288.5818,120,120,0.0000,VIDYA/KAMA,-1,,,
3,FRAMA,8,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,24.141538,300.2140,189,189,0.5492,FRAMA/ZLEMA,-1,,,
4,FRAMA,8,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,22.140514,273.7185,187,187,0.5328,FRAMA/DEMA,-1,,,
5,FRAMA,8,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,21.939554,268.0954,183,183,0.5000,FRAMA/DEMA,-1,,,
6,EMA,8,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,20.951566,262.8666,192,192,0.5738,EMA/TEMA,-1,,,
7,FRAMA,10,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,20.672143,241.4327,167,167,0.3689,FRAMA/TEMA,-1,,,
8,FRAMA,10,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,20.456734,237.6029,165,165,0.3525,FRAMA/TEMA,-1,,,
9,FRAMA,8,0.0,0.0,ZLEMA,66,0.0,0.0,ZLEMA,264,0.0,0.0,18.922296,229.8951,181,181,0.4836,FRAMA/ZLEMA,-1,,,
10,McGinley,8,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,18.465242,227.6157,186,186,0.5246,McGinley/TEMA,-1,,,
11,McGinley,8,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,18.182590,248.8198,220,220,0.8033,McGinley/DEMA,-1,,,
12,McGinley,8,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,16.659240,222.9182,213,213,0.7459,McGinley/DEMA,-1,,,
13,EMA,10,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,15.501705,175.2323,155,155,0.2705,EMA/TEMA,-1,,,
14,McGinley,12,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,14.649012,152.5310,123,123,0.0082,McGinley/TEMA,-1,,,
C0_1,McGinley,12,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,5.211730,13.1447,37,0,0.0000,McGinley/TEMA,0,5.2117,71.4417,37
C0_2,VIDYA,16,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,4.644026,-13.4417,32,0,0.0000,VIDYA/SSmoother,0,4.6440,62.1308,32
C0_3,McGinley,14,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,4.463862,-33.2099,36,0,0.0000,McGinley/TEMA,0,4.4639,64.0559,36
C0_4,SMA,24,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,4.380170,-4.4342,47,0,0.0000,SMA/ZLEMA,0,4.3802,58.0956,47
C0_5,SMA,24,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,3.993734,-2.6814,44,0,0.0000,SMA/ZLEMA,0,3.9937,55.1999,44
C1_1,VWMA,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,4.795519,9.5248,36,0,0.0000,VWMA/KAMA,1,4.7955,116.9871,36
C1_2,VWMA,24,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,4.364040,23.7154,35,0,0.0000,VWMA/KAMA,1,4.3640,113.4232,35
C1_3,SMA,16,0.0,0.0,KAMA,75,0.0,0.0,KAMA,300,0.0,0.0,4.236824,3.7021,31,0,0.0000,SMA/KAMA,1,4.2368,100.7679,31
C1_4,McGinley,24,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,4.123875,84.5894,36,0,0.0000,McGinley/KAMA,1,4.1239,118.7482,36
C1_5,SMA,16,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,3.820980,-1.5401,34,0,0.0000,SMA/KAMA,1,3.8210,99.1932,34
C1_6,McGinley,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,3.491742,37.4097,30,0,0.0000,McGinley/KAMA,1,3.4917,94.8133,30
C2_1,T3,12,0.7,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,7.309403,24.1352,37,0,0.0000,T3/TEMA,2,7.3094,87.5544,37
C2_2,T3,12,0.7,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,5.691680,-17.4003,32,0,0.0000,T3/TEMA,2,5.6917,63.9189,32
C2_3,KAMA,18,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,5.628641,-5.6450,38,0,0.0000,KAMA/FRAMA,2,5.6286,66.5862,38
C2_4,KAMA,12,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,5.393344,62.4297,32,0,0.0000,KAMA/ZLEMA,2,5.3933,73.8998,32
C2_5,KAMA,18,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,4.783048,7.0750,32,0,0.0000,KAMA/FRAMA,2,4.7830,61.0180,32
C2_6,KAMA,10,0.0,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,3.859967,25.4022,30,0,0.0000,KAMA/ZLEMA,2,3.8600,57.8528,30
