rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,92.769830,927.6983,113,113,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,68.766416,687.6642,93,93,0.0000,VIDYA/KAMA,-1,,,
3,FRAMA,16,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,40.303606,575.7658,303,303,1.0000,FRAMA/FRAMA,-1,,,
4,FRAMA,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,37.814626,540.2089,291,291,1.0000,FRAMA/FRAMA,-1,,,
5,Tenkan,22,0.0,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,22.534103,225.3410,120,120,0.0000,Tenkan/SMA,-1,,,
6,VWMA,24,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,22.289089,250.1836,180,180,0.3636,VWMA/TEMA,-1,,,
7,FRAMA,18,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,21.240537,242.1201,186,186,0.4091,FRAMA/TEMA,-1,,,
8,FRAMA,24,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,21.159859,302.2837,315,315,1.0000,FRAMA/HMA,-1,,,
9,EMA,12,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,21.092478,210.9248,126,126,0.0000,EMA/TEMA,-1,,,
10,FRAMA,18,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,19.988102,220.9740,174,174,0.3182,FRAMA/TEMA,-1,,,
11,VWMA,22,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,19.551702,244.3963,220,220,0.6667,VWMA/TEMA,-1,,,
12,FRAMA,22,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,16.928132,241.8305,327,327,1.0000,FRAMA/HMA,-1,,,
13,Tenkan,22,0.0,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,15.383255,153.8325,120,120,0.0000,Tenkan/SMA,-1,,,
14,EMA,12,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,12.774865,128.9207,136,136,0.0303,EMA/TEMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,5.328153,-12.4460,34,0,0.0000,VIDYA/Tenkan,0,5.3282,74.5522,34
C0_2,KAMA,20,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,4.485078,83.2869,36,0,0.0000,KAMA/T3,0,4.4851,144.8469,36
C0_3,SMA,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,4.345871,142.1402,37,0,0.0000,SMA/TEMA,0,4.3459,127.0084,37
C0_4,SMA,12,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,3.989960,124.3816,42,0,0.0000,SMA/TEMA,0,3.9900,116.5751,42
C0_5,KAMA,18,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,3.977291,24.9841,36,0,0.0000,KAMA/T3,0,3.9773,129.1958,36
C0_6,VIDYA,24,0.0,0.0,Tenkan,45,0.0,0.0,Tenkan,180,0.0,0.0,3.500500,-25.8841,34,0,0.0000,VIDYA/Tenkan,0,3.5005,60.2932,34
C1_1,KAMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,4.551767,105.8504,41,0,0.0000,KAMA/KAMA,1,4.5518,102.3265,41
C1_2,VIDYA,10,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.372097,21.9050,35,0,0.0000,VIDYA/TEMA,1,4.3721,81.8016,35
C1_3,KAMA,22,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,2.909463,10.7247,38,0,0.0000,KAMA/TEMA,1,2.9095,58.1941,38
C1_4,VIDYA,10,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,2.549876,16.0408,37,0,0.0000,VIDYA/TEMA,1,2.5499,47.6201,37
C1_5,KAMA,24,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,2.359282,-5.4206,35,0,0.0000,KAMA/TEMA,1,2.3593,48.5447,35
C1_6,KAMA,22,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,2.165383,154.7036,31,0,0.0000,KAMA/KAMA,1,2.1654,32.8184,31
C2_1,McGinley,24,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,5.130260,43.3821,34,0,0.0000,McGinley/FRAMA,2,5.1303,94.2350,34
C2_2,SMA,16,0.0,0.0,HMA,48,0.0,0.0,HMA,192,0.0,0.0,3.665111,80.2216,36,0,0.0000,SMA/HMA,2,3.6651,63.3503,36
C2_3,SMA,16,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,3.597928,167.1074,83,0,0.0000,SMA/JMA,2,3.5979,109.3441,83
C2_4,McGinley,20,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,3.272788,41.5023,43,0,0.0000,McGinley/FRAMA,2,3.2728,91.3351,43
C2_5,SMA,18,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,2.822114,61.1990,52,0,0.0000,SMA/HMA,2,2.8221,67.1874,52
C2_6,SMA,14,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,2.627041,78.9061,101,0,0.0000,SMA/JMA,2,2.6270,92.1175,101
