rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,22,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,15.539725,487.5163,85,85,0.0000,McGinley/KAMA,-1,,,
2,EMA,22,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,15.282250,479.4387,109,109,0.0000,EMA/KAMA,-1,,,
3,EMA,18,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,14.536134,456.0313,109,109,0.0000,EMA/KAMA,-1,,,
4,McGinley,18,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,13.909219,436.3636,99,99,0.0000,McGinley/KAMA,-1,,,
5,Tenkan,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,13.875607,470.2785,146,146,0.2479,Tenkan/KAMA,-1,,,
6,VIDYA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,13.541170,424.8171,79,79,0.0000,VIDYA/KAMA,-1,,,
7,Tenkan,24,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,13.207838,414.3597,116,116,0.0000,Tenkan/KAMA,-1,,,
8,T3,18,0.8,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,12.463082,390.9950,90,90,0.0000,T3/KAMA,-1,,,
9,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,12.251623,384.3611,95,95,0.0000,VIDYA/KAMA,-1,,,
10,T3,16,0.8,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,11.714722,367.5173,84,84,0.0000,T3/KAMA,-1,,,
11,SMA,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,11.582528,363.3700,108,108,0.0000,SMA/KAMA,-1,,,
12,SMA,24,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,11.228893,352.2757,114,114,0.0000,SMA/KAMA,-1,,,
13,McGinley,24,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,8.987728,281.9653,79,79,0.0000,McGinley/EMA,-1,,,
14,McGinley,20,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,8.530255,267.6133,95,95,0.0000,McGinley/EMA,-1,,,
C0_1,VIDYA,16,0.0,0.0,McGinley,63,0.0,0.0,McGinley,252,0.0,0.0,3.278887,-14.4021,30,0,0.0000,VIDYA/McGinley,0,3.2789,106.9767,30
C0_2,VIDYA,16,0.0,0.0,McGinley,60,0.0,0.0,McGinley,240,0.0,0.0,3.245803,-8.9903,34,0,0.0000,VIDYA/McGinley,0,3.2458,114.1037,34
C0_3,Tenkan,20,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,3.162989,122.9794,41,0,0.0000,Tenkan/T3,0,3.1630,125.2140,41
C0_4,VIDYA,18,0.0,0.0,SMA,49,0.0,0.0,SMA,196,0.0,0.0,3.043209,61.2055,43,0,0.0000,VIDYA/SMA,0,3.0432,155.7874,43
C0_5,Tenkan,24,0.0,0.0,T3,51,0.8,0.0,T3,204,0.8,0.0,2.698782,45.6007,38,0,0.0000,Tenkan/T3,0,2.6988,109.9046,38
C0_6,VIDYA,20,0.0,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,2.566040,31.3669,33,0,0.0000,VIDYA/SMA,0,2.5660,104.7698,33
C1_1,SMA,12,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,1.687969,76.8988,30,0,0.0000,SMA/ALMA,1,1.6880,23.8935,30
C1_2,Tenkan,10,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,1.673379,28.9398,42,0,0.0000,Tenkan/ALMA,1,1.6734,25.4753,42
C1_3,Tenkan,10,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,1.361285,-28.4325,31,0,0.0000,Tenkan/ALMA,1,1.3613,13.4132,31
C1_4,Tenkan,10,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,1.202969,33.4531,32,0,0.0000,Tenkan/SSmoother,1,1.2030,6.9813,32
C2_1,T3,14,0.7,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,7.281431,215.7163,31,0,0.0000,T3/KAMA,2,7.2814,143.8313,31
C2_2,ALMA,24,0.5,4.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,6.797448,98.4034,31,0,0.0000,ALMA/SMA,2,6.7974,117.0784,31
C2_3,T3,16,0.7,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,6.664063,312.8585,30,0,0.0000,T3/KAMA,2,6.6641,128.2068,30
C2_4,ALMA,22,0.5,4.0,SMA,42,0.0,0.0,SMA,168,0.0,0.0,5.604535,46.9284,30,0,0.0000,ALMA/SMA,2,5.6045,106.7465,30
C2_5,ALMA,20,0.5,6.0,KAMA,72,0.0,0.0,KAMA,288,0.0,0.0,5.426672,223.7534,56,0,0.0000,ALMA/KAMA,2,5.4267,160.5069,56
C2_6,ALMA,20,0.5,6.0,KAMA,75,0.0,0.0,KAMA,300,0.0,0.0,5.386505,253.4614,50,0,0.0000,ALMA/KAMA,2,5.3865,157.6538,50
