rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,52.964111,529.6411,103,103,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,49.412296,494.1230,111,111,0.0000,VIDYA/KAMA,-1,,,
3,EMA,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,39.266558,392.6656,70,70,0.0000,EMA/TEMA,-1,,,
4,McGinley,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,37.391502,373.9150,89,89,0.0000,McGinley/TEMA,-1,,,
5,EMA,24,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,37.163293,371.6329,51,51,0.0000,EMA/DEMA,-1,,,
6,McGinley,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,34.495341,344.9534,81,81,0.0000,McGinley/TEMA,-1,,,
7,VIDYA,16,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,34.390648,343.9065,115,115,0.0000,VIDYA/VWMA,-1,,,
8,ALMA,22,0.85,4.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,33.676465,336.7647,127,127,0.0000,ALMA/TEMA,-1,,,
9,VIDYA,24,0.0,0.0,ALMA,60,0.85,6.0,ALMA,240,0.85,6.0,33.542739,335.4274,69,69,0.0000,VIDYA/ALMA,-1,,,
10,EMA,22,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,33.290972,332.9097,63,63,0.0000,EMA/TEMA,-1,,,
11,VIDYA,16,0.0,0.0,VWMA,51,0.0,0.0,VWMA,204,0.0,0.0,33.202335,332.0233,131,131,0.0000,VIDYA/VWMA,-1,,,
12,ALMA,20,0.85,4.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,32.321051,326.0878,140,140,0.0294,ALMA/TEMA,-1,,,
13,EMA,18,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,29.402055,294.0206,68,68,0.0000,EMA/DEMA,-1,,,
14,VIDYA,24,0.0,0.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,28.005571,280.0557,74,74,0.0000,VIDYA/ALMA,-1,,,
C0_1,EMA,24,0.0,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,6.392295,248.5070,31,0,0.0000,EMA/DEMA,0,6.3923,94.5909,31
C0_2,VIDYA,18,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,6.353825,69.9455,39,0,0.0000,VIDYA/KAMA,0,6.3538,79.1325,39
C0_3,VIDYA,18,0.0,0.0,VWMA,36,0.0,0.0,VWMA,144,0.0,0.0,6.349093,223.4057,53,0,0.0000,VIDYA/VWMA,0,6.3491,126.6586,53
