rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,27.520703,275.2070,93,93,0.0000,VIDYA/KAMA,-1,,,
2,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,23.291964,232.9196,84,84,0.0000,McGinley/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,22.873137,228.7314,86,86,0.0000,VIDYA/KAMA,-1,,,
4,McGinley,24,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,21.766012,217.6601,82,82,0.0000,McGinley/KAMA,-1,,,
5,Tenkan,22,0.0,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,18.773537,191.7727,122,122,0.0702,Tenkan/SMA,-1,,,
6,EMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,18.322594,183.2259,91,91,0.0000,EMA/KAMA,-1,,,
7,EMA,22,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,16.396713,163.9671,105,105,0.0000,EMA/KAMA,-1,,,
8,Tenkan,24,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,16.315859,187.8796,164,164,0.4386,Tenkan/EMA,-1,,,
9,KAMA,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,15.909729,159.0973,114,114,0.0000,KAMA/KAMA,-1,,,
10,Tenkan,22,0.0,0.0,ALMA,75,0.5,4.0,ALMA,300,0.5,4.0,14.943741,149.4374,80,80,0.0000,Tenkan/ALMA,-1,,,
11,KAMA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,14.869195,148.6919,76,76,0.0000,KAMA/KAMA,-1,,,
12,Tenkan,22,0.0,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,14.556966,145.5697,102,102,0.0000,Tenkan/SMA,-1,,,
13,Tenkan,24,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,14.450150,169.4771,170,170,0.4912,Tenkan/EMA,-1,,,
14,Tenkan,22,0.0,0.0,ALMA,72,0.5,4.0,ALMA,288,0.5,4.0,13.849841,138.4984,82,82,0.0000,Tenkan/ALMA,-1,,,
C0_1,T3,16,0.7,0.0,T3,42,0.7,0.0,T3,168,0.7,0.0,6.345578,105.2606,33,0,0.0000,T3/T3,0,6.3456,74.1030,33
C0_2,T3,20,0.7,0.0,T3,36,0.7,0.0,T3,144,0.7,0.0,5.991972,80.2237,32,0,0.0000,T3/T3,0,5.9920,70.8941,32
C0_3,KAMA,22,0.0,0.0,T3,45,0.7,0.0,T3,180,0.7,0.0,4.874824,23.7708,32,0,0.0000,KAMA/T3,0,4.8748,65.5249,32
C0_4,Tenkan,22,0.0,0.0,T3,48,0.7,0.0,T3,192,0.7,0.0,4.712100,32.3754,35,0,0.0000,Tenkan/T3,0,4.7121,70.9851,35
C0_5,Tenkan,22,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,4.582415,76.7671,45,0,0.0000,Tenkan/T3,0,4.5824,74.3382,45
C1_1,T3,24,0.8,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,4.491362,-32.0999,46,0,0.0000,T3/DEMA,1,4.4914,65.2185,46
C1_2,ALMA,20,0.5,4.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,4.290837,48.4143,32,0,0.0000,ALMA/KAMA,1,4.2908,55.4393,32
C1_3,Tenkan,18,0.0,0.0,VWMA,51,0.0,0.0,VWMA,204,0.0,0.0,4.211014,78.0540,33,0,0.0000,Tenkan/VWMA,1,4.2110,62.9276,33
C1_4,ALMA,20,0.5,4.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,3.688716,39.4565,33,0,0.0000,ALMA/KAMA,1,3.6887,52.1665,33
C1_5,T3,24,0.8,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,3.593062,-38.7901,43,0,0.0000,T3/DEMA,1,3.5931,63.7956,43
C1_6,Tenkan,18,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,3.490872,68.3707,32,0,0.0000,Tenkan/VWMA,1,3.4909,53.8288,32
C2_1,VWMA,24,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,10.184331,70.6793,35,0,0.0000,VWMA/TEMA,2,10.1843,72.5282,35
C2_2,VWMA,24,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,7.338604,153.7498,34,0,0.0000,VWMA/TEMA,2,7.3386,69.4383,34
C2_3,McGinley,18,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,5.570294,3.6710,30,0,0.0000,McGinley/TEMA,2,5.5703,62.6543,30
C2_4,VWMA,22,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,4.209007,32.8012,40,0,0.0000,VWMA/DEMA,2,4.2090,64.5337,40
C2_5,McGinley,14,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,3.692442,30.0313,31,0,0.0000,McGinley/TEMA,2,3.6924,55.6118,31
C2_6,VWMA,22,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,3.267375,49.1378,50,0,0.0000,VWMA/DEMA,2,3.2674,59.8803,50
