rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,7.587000,746.5787,115,115,0.0000,VIDYA/EMA,-1,,,
2,VIDYA,14,0.0,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,7.141115,728.3072,143,143,0.1172,VIDYA/EMA,-1,,,
3,McGinley,18,0.0,0.0,SSmoother,69,0.0,0.0,SSmoother,276,0.0,0.0,7.055890,756.3615,163,163,0.2734,McGinley/SSmoother,-1,,,
4,McGinley,20,0.0,0.0,ALMA,69,0.85,4.0,ALMA,276,0.85,4.0,6.461991,635.8752,128,128,0.0000,McGinley/ALMA,-1,,,
5,VIDYA,14,0.0,0.0,ALMA,49,0.5,4.0,ALMA,196,0.5,4.0,6.079763,620.0622,143,143,0.1172,VIDYA/ALMA,-1,,,
6,McGinley,18,0.0,0.0,SSmoother,72,0.0,0.0,SSmoother,288,0.0,0.0,5.905212,614.1958,151,151,0.1797,McGinley/SSmoother,-1,,,
7,KAMA,22,0.0,0.0,SMA,39,0.0,0.0,SMA,156,0.0,0.0,5.686163,588.4970,149,149,0.1641,KAMA/SMA,-1,,,
8,KAMA,24,0.0,0.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,5.571056,548.2051,124,124,0.0000,KAMA/SMA,-1,,,
9,VIDYA,14,0.0,0.0,ALMA,54,0.5,6.0,ALMA,216,0.5,6.0,5.488709,554.3950,139,139,0.0859,VIDYA/ALMA,-1,,,
10,McGinley,18,0.0,0.0,SMA,39,0.0,0.0,SMA,156,0.0,0.0,5.361264,527.5610,128,128,0.0000,McGinley/SMA,-1,,,
11,McGinley,24,0.0,0.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,5.290506,520.5983,116,116,0.0000,McGinley/SMA,-1,,,
12,ALMA,22,0.85,6.0,JMA,75,0.0,2.0,JMA,300,0.0,2.0,5.214225,576.6092,175,175,0.3672,ALMA/JMA,-1,,,
13,McGinley,18,0.0,0.0,ALMA,66,0.85,4.0,ALMA,264,0.85,4.0,4.754702,474.5473,134,134,0.0469,McGinley/ALMA,-1,,,
14,ALMA,14,0.85,4.0,JMA,72,0.0,2.0,JMA,288,0.0,2.0,3.958475,452.0307,187,187,0.4609,ALMA/JMA,-1,,,
C0_1,KAMA,24,0.0,0.0,T3,51,0.7,0.0,T3,204,0.7,0.0,5.183169,210.0521,30,0,0.0000,KAMA/T3,0,5.1832,167.0643,30
C0_2,KAMA,14,0.0,0.0,T3,60,0.7,0.0,T3,240,0.7,0.0,4.939237,127.9981,30,0,0.0000,KAMA/T3,0,4.9392,154.4012,30
C0_3,SMA,14,0.0,0.0,T3,72,0.8,0.0,T3,288,0.8,0.0,4.881061,240.1681,31,0,0.0000,SMA/T3,0,4.8811,166.6919,31
C0_4,T3,16,0.7,0.0,T3,63,0.7,0.0,T3,252,0.7,0.0,4.812980,152.1691,31,0,0.0000,T3/T3,0,4.8130,155.8403,31
C0_5,SMA,16,0.0,0.0,T3,75,0.8,0.0,T3,300,0.8,0.0,4.685963,182.4621,31,0,0.0000,SMA/T3,0,4.6860,155.0574,31
C0_6,T3,18,0.8,0.0,T3,60,0.7,0.0,T3,240,0.7,0.0,4.477507,125.9198,30,0,0.0000,T3/T3,0,4.4775,131.6342,30
C1_1,VIDYA,14,0.0,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,6.477839,77.1068,30,0,0.0000,VIDYA/Tenkan,1,6.4778,64.1933,30
C1_2,KAMA,22,0.0,0.0,Tenkan,49,0.0,0.0,Tenkan,196,0.0,0.0,6.126718,147.7797,33,0,0.0000,KAMA/Tenkan,1,6.1267,114.0392,33
C1_3,T3,12,0.8,0.0,Tenkan,49,0.0,0.0,Tenkan,196,0.0,0.0,5.734593,23.9862,33,0,0.0000,T3/Tenkan,1,5.7346,108.4519,33
C1_4,T3,12,0.8,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,5.010853,134.7945,39,0,0.0000,T3/Tenkan,1,5.0109,92.1522,39
C1_5,KAMA,24,0.0,0.0,Tenkan,54,0.0,0.0,Tenkan,216,0.0,0.0,4.716620,89.2552,31,0,0.0000,KAMA/Tenkan,1,4.7166,119.0492,31
C1_6,VIDYA,12,0.0,0.0,Tenkan,51,0.0,0.0,Tenkan,204,0.0,0.0,4.392493,171.8117,35,0,0.0000,VIDYA/Tenkan,1,4.3925,104.8823,35
C2_1,ALMA,22,0.5,6.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,5.235955,-78.7261,33,0,0.0000,ALMA/TEMA,2,5.2360,57.2056,33
C2_2,T3,14,0.7,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,5.171204,-68.9262,30,0,0.0000,T3/ZLEMA,2,5.1712,63.7921,30
C2_3,T3,24,0.8,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,4.372451,-22.5258,30,0,0.0000,T3/EMA,2,4.3725,148.5400,30
C2_4,T3,24,0.8,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,3.643931,-22.5469,30,0,0.0000,T3/EMA,2,3.6439,123.0390,30
