rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,38.441456,384.4146,100,100,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,20,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,33.799232,337.9923,49,49,0.0000,VIDYA/DEMA,-1,,,
3,EMA,18,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,33.772742,337.7274,85,85,0.0000,EMA/DEMA,-1,,,
4,VIDYA,22,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,33.435205,334.3520,61,61,0.0000,VIDYA/EMA,-1,,,
5,VIDYA,24,0.0,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,32.977819,329.7782,67,67,0.0000,VIDYA/EMA,-1,,,
6,DEMA,22,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,31.869753,335.2190,163,163,0.1643,DEMA/TEMA,-1,,,
7,EMA,20,0.0,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,31.750252,317.5025,71,71,0.0000,EMA/DEMA,-1,,,
8,VIDYA,16,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,31.567882,315.6788,96,96,0.0000,VIDYA/KAMA,-1,,,
9,Tenkan,12,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,30.431140,434.7306,368,368,1.0000,Tenkan/TEMA,-1,,,
10,VIDYA,18,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,29.979647,299.7965,102,102,0.0000,VIDYA/SSmoother,-1,,,
11,VIDYA,24,0.0,0.0,SSmoother,69,0.0,0.0,SSmoother,276,0.0,0.0,29.445087,294.4509,55,55,0.0000,VIDYA/SSmoother,-1,,,
12,VIDYA,12,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,27.713923,277.1392,83,83,0.0000,VIDYA/DEMA,-1,,,
13,Tenkan,12,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,22.207799,317.2543,350,350,1.0000,Tenkan/TEMA,-1,,,
14,DEMA,24,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,18.224981,182.2498,140,140,0.0000,DEMA/TEMA,-1,,,
