rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,62.673502,626.7350,121,121,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,43.890218,438.9022,119,119,0.0000,VIDYA/KAMA,-1,,,
3,EMA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,25.469282,254.6928,127,127,0.0000,EMA/KAMA,-1,,,
4,VWMA,12,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,20.590591,294.1513,425,425,1.0000,VWMA/ZLEMA,-1,,,
5,McGinley,18,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,20.401188,204.0119,90,90,0.0000,McGinley/DEMA,-1,,,
6,Tenkan,22,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,20.298133,289.9733,317,317,1.0000,Tenkan/TEMA,-1,,,
7,McGinley,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,19.644727,196.4473,119,119,0.0000,McGinley/KAMA,-1,,,
8,EMA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,18.585632,185.8563,107,107,0.0000,EMA/TEMA,-1,,,
9,McGinley,18,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,17.100406,171.0041,82,82,0.0000,McGinley/DEMA,-1,,,
10,McGinley,18,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,16.468608,164.6861,135,135,0.0000,McGinley/KAMA,-1,,,
11,EMA,14,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,16.246516,162.4652,111,111,0.0000,EMA/TEMA,-1,,,
12,EMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,15.895515,158.9551,133,133,0.0000,EMA/KAMA,-1,,,
13,Tenkan,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,14.162687,202.3241,321,321,1.0000,Tenkan/TEMA,-1,,,
14,VWMA,12,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,6.577904,93.9701,408,408,1.0000,VWMA/ZLEMA,-1,,,
C0_1,EMA,24,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,4.246406,110.1638,30,0,0.0000,EMA/TEMA,0,4.2464,123.4895,30
C0_2,EMA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,3.339446,76.9938,36,0,0.0000,EMA/TEMA,0,3.3394,105.7935,36
C0_3,TEMA,10,0.0,0.0,VIDYA,49,0.0,0.0,VIDYA,196,0.0,0.0,3.238873,54.8024,31,0,0.0000,TEMA/VIDYA,0,3.2389,57.2780,31
C0_4,VIDYA,22,0.0,0.0,ZLEMA,75,0.0,0.0,ZLEMA,300,0.0,0.0,3.077080,21.9196,36,0,0.0000,VIDYA/ZLEMA,0,3.0771,71.3798,36
C0_5,VIDYA,24,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,2.428516,37.8009,35,0,0.0000,VIDYA/ZLEMA,0,2.4285,62.1256,35
C1_1,KAMA,20,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,5.697257,-21.2572,32,0,0.0000,KAMA/FRAMA,1,5.6973,48.5423,32
C1_2,ALMA,18,0.5,4.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,4.572665,144.9875,33,0,0.0000,ALMA/TEMA,1,4.5727,53.4791,33
C1_3,KAMA,12,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,4.517060,83.3755,51,0,0.0000,KAMA/ZLEMA,1,4.5171,68.2702,51
C1_4,ALMA,20,0.5,6.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,4.416808,119.7624,31,0,0.0000,ALMA/TEMA,1,4.4168,41.2356,31
C1_5,KAMA,16,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,3.967511,-8.4573,36,0,0.0000,KAMA/ZLEMA,1,3.9675,53.4109,36
C2_1,SMA,22,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,8.833494,79.3112,30,0,0.0000,SMA/TEMA,2,8.8335,68.9104,30
C2_2,SMA,18,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,4.795492,58.3934,33,0,0.0000,SMA/TEMA,2,4.7955,54.8136,33
C2_3,T3,10,0.7,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,3.959274,-0.8539,51,0,0.0000,T3/HMA,2,3.9593,93.2895,51
C2_4,VIDYA,8,0.0,0.0,VWMA,45,0.0,0.0,VWMA,180,0.0,0.0,3.827120,-1.0928,30,0,0.0000,VIDYA/VWMA,2,3.8271,73.4560,30
