rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,25.249820,252.4982,114,114,0.0000,McGinley/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,25.218836,258.0532,142,142,0.0758,VIDYA/KAMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,23.590486,235.9049,93,93,0.0000,VIDYA/KAMA,-1,,,
4,KAMA,14,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,21.333830,273.6701,229,229,0.7348,KAMA/FRAMA,-1,,,
5,EMA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,17.401155,174.0116,125,125,0.0000,EMA/KAMA,-1,,,
6,EMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,16.682424,166.8242,112,112,0.0000,EMA/KAMA,-1,,,
7,EMA,14,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,16.486207,221.1564,244,244,0.8485,EMA/HMA,-1,,,
8,ALMA,24,0.85,4.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,15.671957,178.6441,186,186,0.4091,ALMA/HMA,-1,,,
9,McGinley,10,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,15.351425,219.3061,316,316,1.0000,McGinley/HMA,-1,,,
10,McGinley,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,15.267541,152.6754,123,123,0.0000,McGinley/KAMA,-1,,,
11,EMA,12,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,14.660445,209.4349,284,284,1.0000,EMA/HMA,-1,,,
12,ALMA,20,0.85,4.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,14.144001,177.8103,222,222,0.6818,ALMA/HMA,-1,,,
13,KAMA,14,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,12.758393,182.2628,265,265,1.0000,KAMA/FRAMA,-1,,,
14,McGinley,14,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,8.691933,113.1494,234,234,0.7727,McGinley/HMA,-1,,,
C0_1,KAMA,10,0.0,0.0,T3,45,0.7,0.0,T3,180,0.7,0.0,4.394096,-6.5854,37,0,0.0000,KAMA/T3,0,4.3941,97.9579,37
C0_2,FRAMA,8,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,4.098778,2.4188,36,0,0.0000,FRAMA/T3,0,4.0988,84.7569,36
C0_3,McGinley,18,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,4.088458,65.2149,34,0,0.0000,McGinley/DEMA,0,4.0885,67.9164,34
C0_4,FRAMA,24,0.0,0.0,T3,57,0.8,0.0,T3,228,0.8,0.0,3.957114,31.6130,30,0,0.0000,FRAMA/T3,0,3.9571,78.8463,30
C0_5,KAMA,8,0.0,0.0,T3,48,0.8,0.0,T3,192,0.8,0.0,3.919621,57.2574,34,0,0.0000,KAMA/T3,0,3.9196,70.2593,34
C1_1,ALMA,24,0.5,4.0,ZLEMA,75,0.0,0.0,ZLEMA,300,0.0,0.0,6.072140,-28.1867,32,0,0.0000,ALMA/ZLEMA,1,6.0721,63.0518,32
C1_2,EMA,24,0.0,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,5.598972,28.7075,31,0,0.0000,EMA/ALMA,1,5.5990,53.0111,31
C1_3,SMA,16,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,5.528344,-9.4046,30,0,0.0000,SMA/DEMA,1,5.5283,23.2864,30
C1_4,ALMA,24,0.5,4.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,3.745709,-47.4635,32,0,0.0000,ALMA/ZLEMA,1,3.7457,59.6218,32
C2_1,ALMA,14,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,4.154458,34.5467,40,0,0.0000,ALMA/TEMA,2,4.1545,51.1114,40
C2_2,EMA,10,0.0,0.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,3.945439,42.8172,36,0,0.0000,EMA/ZLEMA,2,3.9454,74.1674,36
C2_3,KAMA,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,3.821150,138.2698,31,0,0.0000,KAMA/FRAMA,2,3.8212,59.1217,31
C2_4,ALMA,14,0.5,4.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,3.688178,75.8209,39,0,0.0000,ALMA/TEMA,2,3.6882,51.6082,39
C2_5,EMA,18,0.0,0.0,ZLEMA,54,0.0,0.0,ZLEMA,216,0.0,0.0,3.041337,0.8356,30,0,0.0000,EMA/ZLEMA,2,3.0413,42.0943,30
