rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,18,0.8,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,9.463106,881.1943,94,94,0.0000,T3/EMA,-1,,,
2,T3,20,0.8,0.0,SSmoother,45,0.0,0.0,SSmoother,180,0.0,0.0,8.736017,851.8205,161,161,0.1500,T3/SSmoother,-1,,,
3,T3,24,0.8,0.0,SMA,48,0.0,0.0,SMA,192,0.0,0.0,8.630469,803.6600,100,100,0.0000,T3/SMA,-1,,,
4,T3,24,0.7,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,8.620699,802.7503,90,90,0.0000,T3/SMA,-1,,,
5,T3,22,0.7,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,8.058291,750.3795,82,82,0.0000,T3/KAMA,-1,,,
6,T3,20,0.7,0.0,SSmoother,57,0.0,0.0,SSmoother,228,0.0,0.0,7.770119,723.5451,118,118,0.0000,T3/SSmoother,-1,,,
7,T3,20,0.8,0.0,JMA,51,0.0,2.0,JMA,204,0.0,2.0,7.726616,756.7933,163,163,0.1643,T3/JMA,-1,,,
8,T3,22,0.8,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,7.539145,702.0371,114,114,0.0000,T3/VWMA,-1,,,
9,T3,24,0.8,0.0,ALMA,75,0.85,4.0,ALMA,300,0.85,4.0,7.485495,697.0413,94,94,0.0000,T3/ALMA,-1,,,
10,T3,24,0.7,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,7.377476,686.9827,94,94,0.0000,T3/KAMA,-1,,,
11,T3,20,0.8,0.0,JMA,54,0.0,2.0,JMA,216,0.0,2.0,7.160926,666.8178,130,130,0.0000,T3/JMA,-1,,,
12,T3,20,0.7,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,6.693220,623.2655,86,86,0.0000,T3/EMA,-1,,,
13,T3,20,0.8,0.0,ALMA,72,0.85,4.0,ALMA,288,0.85,4.0,6.649851,619.2270,116,116,0.0000,T3/ALMA,-1,,,
14,T3,20,0.7,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,5.934858,552.6476,124,124,0.0000,T3/VWMA,-1,,,
C0_1,SMA,24,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,7.955635,-75.8117,33,0,0.0000,SMA/DEMA,0,7.9556,94.2496,33
C0_2,SMA,24,0.0,0.0,DEMA,63,0.0,0.0,DEMA,252,0.0,0.0,7.024141,-72.6115,30,0,0.0000,SMA/DEMA,0,7.0241,86.2811,30
C0_3,EMA,22,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,5.373144,-117.5010,32,0,0.0000,EMA/TEMA,0,5.3731,90.6045,32
C0_4,McGinley,24,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,5.150792,-125.9695,30,0,0.0000,McGinley/TEMA,0,5.1508,86.7347,30
C1_1,ALMA,8,0.5,6.0,SMA,48,0.0,0.0,SMA,192,0.0,0.0,4.859734,62.0168,33,0,0.0000,ALMA/SMA,1,4.8597,154.0592,33
C1_2,EMA,16,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.606697,87.3541,41,0,0.0000,EMA/FRAMA,1,4.6067,147.2270,41
C1_3,VIDYA,8,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,4.238577,126.1791,33,0,0.0000,VIDYA/FRAMA,1,4.2386,141.0944,33
C1_4,EMA,14,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,3.829713,166.0294,39,0,0.0000,EMA/FRAMA,1,3.8297,165.0647,39
C1_5,VIDYA,8,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,3.553631,21.2318,44,0,0.0000,VIDYA/FRAMA,1,3.5536,158.5047,44
C2_1,KAMA,16,0.0,0.0,T3,45,0.7,0.0,T3,180,0.7,0.0,8.198248,158.5434,31,0,0.0000,KAMA/T3,2,8.1982,275.2102,31
C2_2,VIDYA,16,0.0,0.0,ALMA,75,0.5,4.0,ALMA,300,0.5,4.0,7.762901,164.7042,31,0,0.0000,VIDYA/ALMA,2,7.7629,251.0168,31
C2_3,KAMA,22,0.0,0.0,T3,48,0.7,0.0,T3,192,0.7,0.0,7.616231,102.5428,31,0,0.0000,KAMA/T3,2,7.6162,303.1327,31
C2_4,KAMA,18,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,6.984551,562.3047,48,0,0.0000,KAMA/VWMA,2,6.9846,294.2913,48
C2_5,VIDYA,16,0.0,0.0,ALMA,72,0.5,4.0,ALMA,288,0.5,4.0,6.564028,170.4733,31,0,0.0000,VIDYA/ALMA,2,6.5640,230.3624,31
C2_6,KAMA,20,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,5.969094,582.2877,41,0,0.0000,KAMA/VWMA,2,5.9691,236.1083,41
