rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,ALMA,24,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,39.098843,439.7867,200,200,0.3699,ALMA/TEMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,38.058274,380.5827,112,112,0.0000,VIDYA/KAMA,-1,,,
3,SMA,24,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,36.269923,373.4421,160,160,0.0959,SMA/TEMA,-1,,,
4,SMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,32.776865,361.9835,192,192,0.3151,SMA/DEMA,-1,,,
5,SMA,20,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,32.173079,334.0874,164,164,0.1233,SMA/TEMA,-1,,,
6,SMA,22,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,31.382947,352.9977,200,200,0.3699,SMA/DEMA,-1,,,
7,McGinley,24,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,30.504070,335.3610,190,190,0.3014,McGinley/HMA,-1,,,
8,McGinley,16,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,30.301178,303.0118,82,82,0.0000,McGinley/TEMA,-1,,,
9,Tenkan,24,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,30.033792,395.3953,263,263,0.8014,Tenkan/ZLEMA,-1,,,
10,McGinley,16,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,28.870014,288.7001,78,78,0.0000,McGinley/TEMA,-1,,,
11,VIDYA,12,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,26.236987,262.3699,118,118,0.0000,VIDYA/KAMA,-1,,,
12,ALMA,24,0.5,4.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,24.407807,267.1319,188,188,0.2877,ALMA/TEMA,-1,,,
13,McGinley,20,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,24.099134,275.5265,207,207,0.4178,McGinley/HMA,-1,,,
14,Tenkan,24,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,19.251365,260.4911,273,273,0.8699,Tenkan/ZLEMA,-1,,,
C0_1,VIDYA,20,0.0,0.0,VWMA,36,0.0,0.0,VWMA,144,0.0,0.0,6.866656,-0.3299,30,0,0.0000,VIDYA/VWMA,0,6.8667,96.0658,30
C0_2,VIDYA,22,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,4.906369,-5.2686,33,0,0.0000,VIDYA/FRAMA,0,4.9064,104.1777,33
C0_3,VIDYA,20,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,4.757667,-32.6341,31,0,0.0000,VIDYA/FRAMA,0,4.7577,97.7805,31
C0_4,VIDYA,24,0.0,0.0,VWMA,39,0.0,0.0,VWMA,156,0.0,0.0,4.403261,2.0071,30,0,0.0000,VIDYA/VWMA,0,4.4033,106.7497,30
C0_5,VIDYA,24,0.0,0.0,Tenkan,30,0.0,0.0,Tenkan,120,0.0,0.0,4.252257,-37.4148,35,0,0.0000,VIDYA/Tenkan,0,4.2523,87.4934,35
C0_6,VIDYA,24,0.0,0.0,Tenkan,33,0.0,0.0,Tenkan,132,0.0,0.0,4.007977,-26.9894,43,0,0.0000,VIDYA/Tenkan,0,4.0080,100.0020,43
C1_1,KAMA,18,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,9.324253,-13.3777,33,0,0.0000,KAMA/ALMA,1,9.3243,93.0266,33
C1_2,VIDYA,8,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,9.236788,150.8425,35,0,0.0000,VIDYA/ZLEMA,1,9.2368,95.1502,35
C1_3,McGinley,24,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,8.306307,149.5836,30,0,0.0000,McGinley/ALMA,1,8.3063,78.9756,30
C1_4,KAMA,18,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,5.958170,47.5640,30,0,0.0000,KAMA/ALMA,1,5.9582,82.5277,30
C1_5,McGinley,22,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,4.813007,265.2124,31,0,0.0000,McGinley/ALMA,1,4.8130,56.2989,31
C2_1,T3,18,0.7,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,4.565451,45.9835,33,0,0.0000,T3/HMA,2,4.5655,84.0959,33
C2_2,KAMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,4.085147,24.0983,36,0,0.0000,KAMA/KAMA,2,4.0851,122.0145,36
C2_3,SMA,22,0.0,0.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,3.646610,129.2402,43,0,0.0000,SMA/HMA,2,3.6466,70.1832,43
C2_4,SMA,16,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,3.585799,144.9695,50,0,0.0000,SMA/HMA,2,3.5858,84.4828,50
C2_5,T3,20,0.7,0.0,HMA,42,0.0,0.0,HMA,168,0.0,0.0,3.270151,31.0749,34,0,0.0000,T3/HMA,2,3.2702,72.6809,34
C2_6,KAMA,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,2.919936,120.2874,31,0,0.0000,KAMA/KAMA,2,2.9199,75.8432,31
