rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,68.125286,681.2529,113,113,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,56.441771,564.4177,127,127,0.0000,VIDYA/KAMA,-1,,,
3,T3,16,0.7,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,34.795702,497.0815,308,308,1.0000,T3/FRAMA,-1,,,
4,EMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,33.416482,334.1648,129,129,0.0000,EMA/KAMA,-1,,,
5,McGinley,22,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,33.410582,334.1058,96,96,0.0000,McGinley/KAMA,-1,,,
6,KAMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,31.842255,338.4201,158,158,0.1970,KAMA/KAMA,-1,,,
7,T3,16,0.7,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,30.659963,437.9995,294,294,1.0000,T3/FRAMA,-1,,,
8,SMA,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,29.671572,423.8796,284,284,1.0000,SMA/FRAMA,-1,,,
9,McGinley,16,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,29.327127,293.2713,128,128,0.0000,McGinley/KAMA,-1,,,
10,EMA,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,28.359043,283.5904,120,120,0.0000,EMA/KAMA,-1,,,
11,SMA,24,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,27.431805,391.8829,270,270,1.0000,SMA/FRAMA,-1,,,
12,KAMA,10,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,22.942079,322.5085,259,259,0.9621,KAMA/FRAMA,-1,,,
13,KAMA,10,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,17.318412,240.3817,255,255,0.9318,KAMA/FRAMA,-1,,,
14,KAMA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,13.182480,132.4267,134,134,0.0152,KAMA/KAMA,-1,,,
C0_1,T3,24,0.7,0.0,ALMA,54,0.85,4.0,ALMA,216,0.85,4.0,7.184213,14.4295,34,0,0.0000,T3/ALMA,0,7.1842,99.1035,34
C0_2,T3,24,0.8,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,4.692277,17.4493,31,0,0.0000,T3/DEMA,0,4.6923,71.5972,31
C0_3,T3,24,0.7,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,4.563342,-19.8372,32,0,0.0000,T3/DEMA,0,4.5633,69.9468,32
C0_4,T3,22,0.8,0.0,ALMA,42,0.85,4.0,ALMA,168,0.85,4.0,4.384736,8.3301,30,0,0.0000,T3/ALMA,0,4.3847,89.3555,30
C0_5,T3,24,0.7,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,4.317397,15.6415,33,0,0.0000,T3/EMA,0,4.3174,85.0649,33
C0_6,T3,22,0.7,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,4.071044,28.5642,35,0,0.0000,T3/EMA,0,4.0710,84.4512,35
C1_1,KAMA,12,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,9.386169,18.1905,30,0,0.0000,KAMA/TEMA,1,9.3862,101.0726,30
C1_2,FRAMA,22,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,7.273975,123.8829,37,0,0.0000,FRAMA/TEMA,1,7.2740,117.6287,37
C1_3,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,7.087335,557.9472,32,0,0.0000,VIDYA/KAMA,1,7.0873,170.6628,32
C1_4,FRAMA,16,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,6.964516,1.6091,32,0,0.0000,FRAMA/TEMA,1,6.9645,106.0174,32
C1_5,KAMA,16,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,5.847852,36.4710,30,0,0.0000,KAMA/TEMA,1,5.8479,71.4456,30
C2_1,VIDYA,20,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,3.528826,23.8663,44,0,0.0000,VIDYA/FRAMA,2,3.5288,102.3632,44
C2_2,VIDYA,20,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,3.019001,26.0196,35,0,0.0000,VIDYA/FRAMA,2,3.0190,86.7583,35
C2_3,ALMA,22,0.5,6.0,VIDYA,48,0.0,0.0,VIDYA,192,0.0,0.0,2.972348,85.8009,30,0,0.0000,ALMA/VIDYA,2,2.9723,60.1503,30
C2_4,VIDYA,24,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,2.936642,-6.8352,30,0,0.0000,VIDYA/DEMA,2,2.9366,62.8851,30
C2_5,ALMA,24,0.5,6.0,VIDYA,45,0.0,0.0,VIDYA,180,0.0,0.0,2.757994,66.6403,33,0,0.0000,ALMA/VIDYA,2,2.7580,60.1487,33
C2_6,VIDYA,24,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,2.467494,-11.5775,34,0,0.0000,VIDYA/DEMA,2,2.4675,59.4035,34
