rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,22,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,42.026338,420.2634,132,132,0.0000,McGinley/ZLEMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,36.411844,364.1184,84,84,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,36.121103,361.2110,88,88,0.0000,VIDYA/KAMA,-1,,,
4,McGinley,24,0.0,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,26.616605,266.1660,122,122,0.0000,McGinley/ZLEMA,-1,,,
5,VIDYA,12,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,26.343508,272.6515,158,158,0.1127,VIDYA/HMA,-1,,,
6,EMA,20,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,25.717022,257.1702,140,140,0.0000,EMA/ZLEMA,-1,,,
7,VIDYA,14,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,25.386858,253.8686,124,124,0.0000,VIDYA/ALMA,-1,,,
8,VIDYA,20,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,25.049565,250.4956,77,77,0.0000,VIDYA/EMA,-1,,,
9,VIDYA,20,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,24.718309,247.1831,71,71,0.0000,VIDYA/DEMA,-1,,,
10,VIDYA,20,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,23.769645,237.6965,69,69,0.0000,VIDYA/DEMA,-1,,,
11,VIDYA,16,0.0,0.0,HMA,57,0.0,0.0,HMA,228,0.0,0.0,23.667760,236.6776,102,102,0.0000,VIDYA/HMA,-1,,,
12,EMA,20,0.0,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,23.214510,233.1302,144,144,0.0141,EMA/ZLEMA,-1,,,
13,VIDYA,22,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,22.739691,227.3969,69,69,0.0000,VIDYA/EMA,-1,,,
14,VIDYA,16,0.0,0.0,ALMA,49,0.85,6.0,ALMA,196,0.85,6.0,22.668934,226.6893,96,96,0.0000,VIDYA/ALMA,-1,,,
C0_1,ALMA,14,0.5,4.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.306416,0.4553,33,0,0.0000,ALMA/TEMA,0,4.3064,49.8153,33
C0_2,FRAMA,24,0.0,0.0,SSmoother,49,0.0,0.0,SSmoother,196,0.0,0.0,4.223890,3.4770,34,0,0.0000,FRAMA/SSmoother,0,4.2239,72.8123,34
