rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,36.771564,367.7156,71,71,0.0000,VIDYA/KAMA,-1,,,
2,SMA,16,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,33.762997,342.7715,147,147,0.0500,SMA/TEMA,-1,,,
3,VIDYA,20,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,32.505161,325.0516,89,89,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,16,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,27.726555,277.2656,69,69,0.0000,VIDYA/DEMA,-1,,,
5,VWMA,24,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,26.440786,339.2952,243,243,0.7357,VWMA/DEMA,-1,,,
6,VIDYA,22,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,24.342992,243.4299,75,75,0.0000,VIDYA/FRAMA,-1,,,
7,VIDYA,20,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,23.815524,238.1552,81,81,0.0000,VIDYA/FRAMA,-1,,,
8,SMA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,23.806634,253.8407,169,169,0.2071,SMA/TEMA,-1,,,
9,VIDYA,16,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,23.293623,232.9362,65,65,0.0000,VIDYA/DEMA,-1,,,
10,VIDYA,12,0.0,0.0,ZLEMA,75,0.0,0.0,ZLEMA,300,0.0,0.0,22.147399,221.4740,109,109,0.0000,VIDYA/ZLEMA,-1,,,
11,VIDYA,22,0.0,0.0,T3,30,0.7,0.0,T3,120,0.7,0.0,21.681945,216.8194,77,77,0.0000,VIDYA/T3,-1,,,
12,VIDYA,24,0.0,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,20.298813,202.9881,73,73,0.0000,VIDYA/T3,-1,,,
13,VIDYA,12,0.0,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,18.803518,188.0352,115,115,0.0000,VIDYA/ZLEMA,-1,,,
14,VWMA,22,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,18.155506,252.4102,271,271,0.9357,VWMA/DEMA,-1,,,
C0_1,T3,24,0.7,0.0,SMA,30,0.0,0.0,SMA,120,0.0,0.0,3.149315,-52.1785,56,0,0.0000,T3/SMA,0,3.1493,59.7285,56
C0_2,ALMA,20,0.5,4.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,3.077462,198.5273,82,0,0.0000,ALMA/TEMA,0,3.0775,84.5497,82
C0_3,SMA,24,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,3.067577,114.8047,61,0,0.0000,SMA/ZLEMA,0,3.0676,68.8310,61
C0_4,ALMA,22,0.5,4.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,2.679838,136.7557,82,0,0.0000,ALMA/TEMA,0,2.6798,83.0033,82
C0_5,T3,16,0.8,0.0,SMA,39,0.0,0.0,SMA,156,0.0,0.0,2.625724,-35.2848,41,0,0.0000,T3/SMA,0,2.6257,58.3048,41
C0_6,SMA,22,0.0,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,2.437183,86.2866,62,0,0.0000,SMA/ZLEMA,0,2.4372,49.7469,62
C1_1,ALMA,18,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,10.775951,69.0384,35,0,0.0000,ALMA/TEMA,1,10.7760,61.5365,35
C1_2,ALMA,22,0.5,6.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,10.247232,25.8326,34,0,0.0000,ALMA/TEMA,1,10.2472,37.8812,34
C1_3,VIDYA,16,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,8.493589,166.8466,32,0,0.0000,VIDYA/ALMA,1,8.4936,74.8123,32
C1_4,VIDYA,18,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,6.861486,96.8127,30,0,0.0000,VIDYA/HMA,1,6.8615,73.6455,30
C1_5,VIDYA,16,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,5.915668,77.2306,31,0,0.0000,VIDYA/HMA,1,5.9157,75.5225,31
C2_1,VIDYA,24,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,15.275788,183.4819,32,0,0.0000,VIDYA/FRAMA,2,15.2758,75.9813,32
C2_2,VIDYA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,14.409721,143.6851,30,0,0.0000,VIDYA/TEMA,2,14.4097,55.0912,30
C2_3,VIDYA,24,0.0,0.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,11.721335,111.3499,32,0,0.0000,VIDYA/SSmoother,2,11.7213,57.8933,32
C2_4,VIDYA,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,8.819581,153.8065,33,0,0.0000,VIDYA/FRAMA,2,8.8196,60.5323,33
C2_5,VIDYA,24,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,7.825355,139.3472,36,0,0.0000,VIDYA/SSmoother,2,7.8254,53.2600,36
