rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,KAMA,75,0.0,0.0,KAMA,300,0.0,0.0,21.087463,210.8746,78,78,0.0000,VIDYA/KAMA,-1,,,
2,T3,24,0.7,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,20.420046,209.8775,133,133,0.0902,T3/KAMA,-1,,,
3,T3,24,0.7,0.0,ALMA,69,0.85,6.0,ALMA,276,0.85,6.0,19.838388,214.7545,153,153,0.2541,T3/ALMA,-1,,,
4,ALMA,24,0.5,6.0,VIDYA,54,0.0,0.0,VIDYA,216,0.0,0.0,19.627566,196.2757,28,28,0.0000,ALMA/VIDYA,-1,,,
5,T3,24,0.8,0.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,19.243351,210.5550,157,157,0.2869,T3/ALMA,-1,,,
6,EMA,14,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,18.301797,214.0766,181,181,0.4836,EMA/ZLEMA,-1,,,
7,FRAMA,8,0.0,0.0,Tenkan,33,0.0,0.0,Tenkan,132,0.0,0.0,17.951248,241.1952,226,226,0.8525,FRAMA/Tenkan,-1,,,
8,KAMA,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,17.747016,177.4702,122,122,0.0000,KAMA/KAMA,-1,,,
9,VIDYA,16,0.0,0.0,KAMA,69,0.0,0.0,KAMA,276,0.0,0.0,16.970189,169.7019,74,74,0.0000,VIDYA/KAMA,-1,,,
10,ALMA,24,0.5,4.0,VIDYA,66,0.0,0.0,VIDYA,264,0.0,0.0,15.545443,155.4544,12,12,0.0000,ALMA/VIDYA,-1,,,
11,T3,22,0.8,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,15.098974,154.4069,131,131,0.0738,T3/KAMA,-1,,,
12,KAMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,14.182591,141.8259,108,108,0.0000,KAMA/KAMA,-1,,,
13,EMA,24,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,12.959145,129.5915,120,120,0.0000,EMA/ZLEMA,-1,,,
14,FRAMA,8,0.0,0.0,Tenkan,30,0.0,0.0,Tenkan,120,0.0,0.0,8.682777,124.0397,244,244,1.0000,FRAMA/Tenkan,-1,,,
C0_1,VIDYA,24,0.0,0.0,Tenkan,39,0.0,0.0,Tenkan,156,0.0,0.0,5.417737,-18.4888,49,0,0.0000,VIDYA/Tenkan,0,5.4177,70.4492,49
C0_2,ALMA,22,0.85,4.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,4.739718,-59.3121,30,0,0.0000,ALMA/DEMA,0,4.7397,38.9247,30
C0_3,ALMA,20,0.5,4.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,3.895213,-16.9344,35,0,0.0000,ALMA/ZLEMA,0,3.8952,30.3069,35
C0_4,ALMA,20,0.5,6.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.670091,15.6556,50,0,0.0000,ALMA/ZLEMA,0,3.6701,46.8452,50
C0_5,VIDYA,24,0.0,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,3.624982,-31.5237,36,0,0.0000,VIDYA/Tenkan,0,3.6250,56.5912,36
C1_1,VIDYA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.834049,16.9098,34,0,0.0000,VIDYA/KAMA,1,3.8340,75.0799,34
C1_2,T3,18,0.7,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,3.605267,0.0271,42,0,0.0000,T3/KAMA,1,3.6053,94.3853,42
C1_3,T3,20,0.7,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,2.990655,20.2507,89,0,0.0000,T3/FRAMA,1,2.9907,122.3840,89
C1_4,T3,18,0.7,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,2.861672,17.2093,41,0,0.0000,T3/KAMA,1,2.8617,82.4307,41
C1_5,T3,20,0.7,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,2.588528,61.5728,85,0,0.0000,T3/FRAMA,1,2.5885,95.6597,85
C2_1,EMA,8,0.0,0.0,Tenkan,36,0.0,0.0,Tenkan,144,0.0,0.0,4.537651,26.4083,31,0,0.0000,EMA/Tenkan,2,4.5377,105.4178,31
C2_2,EMA,18,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,4.474791,123.1508,47,0,0.0000,EMA/FRAMA,2,4.4748,139.8822,47
C2_3,DEMA,14,0.0,0.0,Tenkan,36,0.0,0.0,Tenkan,144,0.0,0.0,4.395992,-6.4879,31,0,0.0000,DEMA/Tenkan,2,4.3960,92.8518,31
C2_4,EMA,8,0.0,0.0,Tenkan,49,0.0,0.0,Tenkan,196,0.0,0.0,4.185858,24.1738,30,0,0.0000,EMA/Tenkan,2,4.1859,94.2632,30
C2_5,EMA,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,3.430743,56.1635,32,0,0.0000,EMA/FRAMA,2,3.4307,101.5397,32
C2_6,DEMA,14,0.0,0.0,Tenkan,33,0.0,0.0,Tenkan,132,0.0,0.0,3.303884,27.1733,37,0,0.0000,DEMA/Tenkan,2,3.3039,86.0903,37
