rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,ALMA,18,0.5,4.0,T3,39,0.8,0.0,T3,156,0.8,0.0,28.265030,282.6503,114,114,0.0000,ALMA/T3,-1,,,
2,VIDYA,14,0.0,0.0,VWMA,49,0.0,0.0,VWMA,196,0.0,0.0,26.736543,284.2873,151,151,0.1984,VIDYA/VWMA,-1,,,
3,KAMA,16,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,24.525761,245.2576,110,110,0.0000,KAMA/VWMA,-1,,,
4,ALMA,18,0.5,6.0,T3,36,0.7,0.0,T3,144,0.7,0.0,24.157517,246.2660,134,134,0.0635,ALMA/T3,-1,,,
5,T3,18,0.8,0.0,T3,30,0.8,0.0,T3,120,0.8,0.0,23.219875,232.1987,110,110,0.0000,T3/T3,-1,,,
6,ALMA,24,0.85,4.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,23.219765,232.1976,113,113,0.0000,ALMA/TEMA,-1,,,
7,Tenkan,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,21.926805,313.2401,379,379,1.0000,Tenkan/FRAMA,-1,,,
8,KAMA,22,0.0,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,21.312564,213.1256,114,114,0.0000,KAMA/ZLEMA,-1,,,
9,VIDYA,14,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,20.514549,210.1490,136,136,0.0794,VIDYA/VWMA,-1,,,
10,T3,16,0.8,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,19.798511,197.9851,110,110,0.0000,T3/T3,-1,,,
11,ALMA,24,0.85,4.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,19.397031,193.9703,111,111,0.0000,ALMA/TEMA,-1,,,
12,KAMA,24,0.0,0.0,VWMA,48,0.0,0.0,VWMA,192,0.0,0.0,19.356301,208.9883,157,157,0.2460,KAMA/VWMA,-1,,,
13,KAMA,22,0.0,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,17.973072,179.7307,120,120,0.0000,KAMA/ZLEMA,-1,,,
14,Tenkan,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,16.479746,235.4249,341,341,1.0000,Tenkan/FRAMA,-1,,,
C0_1,VIDYA,18,0.0,0.0,EMA,75,0.0,0.0,EMA,300,0.0,0.0,5.459950,152.1370,35,0,0.0000,VIDYA/EMA,0,5.4599,159.6301,35
C0_2,VIDYA,22,0.0,0.0,T3,45,0.7,0.0,T3,180,0.7,0.0,4.782708,16.5708,30,0,0.0000,VIDYA/T3,0,4.7827,129.9715,30
C0_3,ALMA,20,0.5,4.0,SMA,51,0.0,0.0,SMA,204,0.0,0.0,4.617291,111.6388,35,0,0.0000,ALMA/SMA,0,4.6173,113.6281,35
C0_4,VIDYA,20,0.0,0.0,T3,48,0.8,0.0,T3,192,0.8,0.0,4.232770,27.4322,31,0,0.0000,VIDYA/T3,0,4.2328,125.6162,31
C0_5,ALMA,20,0.5,4.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,4.193418,74.7023,36,0,0.0000,ALMA/SMA,0,4.1934,109.6253,36
C0_6,VIDYA,20,0.0,0.0,EMA,63,0.0,0.0,EMA,252,0.0,0.0,3.940922,11.8529,32,0,0.0000,VIDYA/EMA,0,3.9409,103.7583,32
C1_1,T3,18,0.8,0.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,6.791311,117.7688,35,0,0.0000,T3/ALMA,1,6.7913,120.5678,35
C1_2,SMA,20,0.0,0.0,T3,30,0.8,0.0,T3,120,0.8,0.0,6.088297,40.2775,31,0,0.0000,SMA/T3,1,6.0883,139.8399,31
C1_3,T3,18,0.7,0.0,ALMA,66,0.85,6.0,ALMA,264,0.85,6.0,5.993100,76.0400,30,0,0.0000,T3/ALMA,1,5.9931,110.1261,30
C1_4,T3,18,0.8,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,5.808593,130.9716,31,0,0.0000,T3/EMA,1,5.8086,107.6320,31
C1_5,T3,18,0.7,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,3.797714,95.0278,30,0,0.0000,T3/EMA,1,3.7977,63.3018,30
C2_1,VIDYA,18,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,10.684728,-11.1475,30,0,0.0000,VIDYA/TEMA,2,10.6847,90.7919,30
C2_2,VIDYA,16,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,9.305469,-9.8041,30,0,0.0000,VIDYA/DEMA,2,9.3055,91.4780,30
C2_3,VIDYA,18,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,8.776147,-20.3888,30,0,0.0000,VIDYA/TEMA,2,8.7761,84.2149,30
C2_4,T3,24,0.7,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,7.801920,-68.2850,45,0,0.0000,T3/FRAMA,2,7.8019,127.6877,45
C2_5,VIDYA,12,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,5.988722,-8.4102,31,0,0.0000,VIDYA/DEMA,2,5.9887,82.8841,31
