rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,138.875716,395.2800,117,117,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,125.042700,355.9073,117,117,0.0000,VIDYA/KAMA,-1,,,
3,ALMA,24,0.5,4.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,104.023395,296.0803,125,125,0.0000,ALMA/KAMA,-1,,,
4,ALMA,22,0.5,4.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,102.358636,416.2028,339,339,1.0000,ALMA/FRAMA,-1,,,
5,T3,16,0.7,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,102.115727,415.2151,299,299,1.0000,T3/FRAMA,-1,,,
6,T3,22,0.7,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,101.184590,288.0003,99,99,0.0000,T3/KAMA,-1,,,
7,T3,22,0.7,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,93.233746,265.3699,97,97,0.0000,T3/KAMA,-1,,,
8,McGinley,20,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,91.322551,259.9301,103,103,0.0000,McGinley/KAMA,-1,,,
9,ALMA,24,0.5,4.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,90.523509,257.6558,113,113,0.0000,ALMA/KAMA,-1,,,
10,EMA,16,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,90.112023,256.4846,113,113,0.0000,EMA/KAMA,-1,,,
11,EMA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,88.540539,252.0117,121,121,0.0000,EMA/KAMA,-1,,,
12,McGinley,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,88.361284,252.0970,128,128,0.0079,McGinley/KAMA,-1,,,
13,T3,18,0.7,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,72.183833,293.5083,307,307,1.0000,T3/FRAMA,-1,,,
14,ALMA,24,0.5,4.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,58.862346,239.3415,339,339,1.0000,ALMA/FRAMA,-1,,,
C0_1,VIDYA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,4.567608,72.3042,33,0,0.0000,VIDYA/KAMA,0,4.5676,102.0518,33
C0_2,VIDYA,16,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,4.101147,209.5283,38,0,0.0000,VIDYA/KAMA,0,4.1011,135.6701,38
C0_3,SMA,16,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,4.003352,185.0372,36,0,0.0000,SMA/VWMA,0,4.0034,111.0513,36
C0_4,VIDYA,24,0.0,0.0,Tenkan,60,0.0,0.0,Tenkan,240,0.0,0.0,3.997129,-14.0049,39,0,0.0000,VIDYA/Tenkan,0,3.9971,88.5577,39
