rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,43.301233,433.0123,90,90,0.0000,VIDYA/KAMA,-1,,,
2,T3,20,0.8,0.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,37.551683,375.5168,78,78,0.0000,T3/SMA,-1,,,
3,T3,20,0.8,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,35.566760,355.6676,84,84,0.0000,T3/SMA,-1,,,
4,KAMA,14,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,32.958667,452.9204,248,248,0.9077,KAMA/FRAMA,-1,,,
5,VIDYA,16,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,31.414933,314.1493,74,74,0.0000,VIDYA/KAMA,-1,,,
6,KAMA,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,27.023334,333.3049,212,212,0.6308,KAMA/FRAMA,-1,,,
7,T3,22,0.7,0.0,ALMA,69,0.5,4.0,ALMA,276,0.5,4.0,26.763459,267.6346,76,76,0.0000,T3/ALMA,-1,,,
8,FRAMA,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,26.608417,380.1202,294,294,1.0000,FRAMA/FRAMA,-1,,,
9,T3,22,0.7,0.0,ALMA,66,0.5,4.0,ALMA,264,0.5,4.0,25.820185,258.2019,78,78,0.0000,T3/ALMA,-1,,,
10,KAMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,24.510264,260.7475,156,156,0.2000,KAMA/KAMA,-1,,,
11,T3,20,0.8,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,22.780856,227.8086,94,94,0.0000,T3/KAMA,-1,,,
12,T3,20,0.8,0.0,KAMA,75,0.0,0.0,KAMA,300,0.0,0.0,21.452608,214.5261,86,86,0.0000,T3/KAMA,-1,,,
13,FRAMA,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,19.332448,276.1778,324,324,1.0000,FRAMA/FRAMA,-1,,,
14,KAMA,22,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,10.150872,101.5087,80,80,0.0000,KAMA/KAMA,-1,,,
C0_1,SMA,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,5.300618,50.7165,34,0,0.0000,SMA/FRAMA,0,5.3006,55.9615,34
C0_2,T3,22,0.7,0.0,Tenkan,33,0.0,0.0,Tenkan,132,0.0,0.0,4.958504,-1.4781,43,0,0.0000,T3/Tenkan,0,4.9585,55.3424,43
C0_3,ALMA,20,0.5,6.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,4.937504,-30.1897,31,0,0.0000,ALMA/TEMA,0,4.9375,37.2839,31
C0_4,ALMA,22,0.5,6.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,4.784051,-51.7467,31,0,0.0000,ALMA/TEMA,0,4.7841,34.4213,31
C0_5,T3,22,0.7,0.0,Tenkan,30,0.0,0.0,Tenkan,120,0.0,0.0,4.614107,40.6610,48,0,0.0000,T3/Tenkan,0,4.6141,56.0401,48
C1_1,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,3.441017,433.0123,37,0,0.0000,VIDYA/KAMA,1,3.4410,119.4835,37
C1_2,VIDYA,18,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,3.182465,122.4497,41,0,0.0000,VIDYA/KAMA,1,3.1825,126.9544,41
C1_3,T3,20,0.7,0.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,3.138132,338.8463,42,0,0.0000,T3/SMA,1,3.1381,126.9794,42
C1_4,T3,22,0.8,0.0,T3,42,0.7,0.0,T3,168,0.7,0.0,2.872795,21.7337,43,0,0.0000,T3/T3,1,2.8728,107.3973,43
C1_5,T3,24,0.8,0.0,T3,39,0.7,0.0,T3,156,0.7,0.0,2.807531,9.4465,42,0,0.0000,T3/T3,1,2.8075,108.0266,42
C1_6,T3,24,0.7,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,2.767307,274.8631,40,0,0.0000,T3/SMA,1,2.7673,122.2935,40
C2_1,ALMA,18,0.5,4.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,4.740102,-24.5751,36,0,0.0000,ALMA/EMA,2,4.7401,76.8566,36
C2_2,KAMA,18,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,4.385462,-1.9844,33,0,0.0000,KAMA/EMA,2,4.3855,96.2170,33
C2_3,T3,16,0.8,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,4.179197,-29.7287,39,0,0.0000,T3/TEMA,2,4.1792,65.5916,39
C2_4,T3,14,0.7,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,3.719693,35.7986,56,0,0.0000,T3/TEMA,2,3.7197,66.6720,56
C2_5,KAMA,16,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,3.555162,-2.3119,32,0,0.0000,KAMA/EMA,2,3.5552,88.5932,32
C2_6,ALMA,16,0.5,4.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,3.302563,-39.2437,41,0,0.0000,ALMA/EMA,2,3.3026,68.5434,41
