rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,SSmoother,20,0.0,0.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,15.094781,534.0987,106,106,0.0000,SSmoother/ALMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,14.815544,524.2184,84,84,0.0000,VIDYA/KAMA,-1,,,
3,JMA,22,0.0,2.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,14.227443,503.4097,104,104,0.0000,JMA/ALMA,-1,,,
4,KAMA,14,0.0,0.0,ALMA,75,0.5,4.0,ALMA,300,0.5,4.0,14.164034,501.1661,74,74,0.0000,KAMA/ALMA,-1,,,
5,ALMA,24,0.85,6.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,12.338894,436.5871,98,98,0.0000,ALMA/ALMA,-1,,,
6,T3,10,0.7,0.0,SMA,66,0.0,0.0,SMA,264,0.0,0.0,12.313609,435.6925,100,100,0.0000,T3/SMA,-1,,,
7,SMA,12,0.0,0.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,12.217797,432.3023,102,102,0.0000,SMA/ALMA,-1,,,
8,JMA,20,0.0,2.0,ALMA,75,0.5,6.0,ALMA,300,0.5,6.0,12.192042,431.3911,106,106,0.0000,JMA/ALMA,-1,,,
9,VIDYA,16,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,11.952918,422.9302,88,88,0.0000,VIDYA/KAMA,-1,,,
10,SMA,14,0.0,0.0,ALMA,66,0.5,4.0,ALMA,264,0.5,4.0,11.622120,411.2255,96,96,0.0000,SMA/ALMA,-1,,,
11,ALMA,24,0.85,4.0,ALMA,66,0.5,4.0,ALMA,264,0.5,4.0,11.576812,409.6224,98,98,0.0000,ALMA/ALMA,-1,,,
12,SSmoother,24,0.0,0.0,ALMA,69,0.5,4.0,ALMA,276,0.5,4.0,11.473783,405.9769,104,104,0.0000,SSmoother/ALMA,-1,,,
13,KAMA,12,0.0,0.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,10.744947,380.1885,94,94,0.0000,KAMA/ALMA,-1,,,
14,T3,10,0.7,0.0,SMA,69,0.0,0.0,SMA,276,0.0,0.0,8.690953,307.5120,98,98,0.0000,T3/SMA,-1,,,
C0_1,VIDYA,18,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,4.713289,-21.5638,32,0,0.0000,VIDYA/TEMA,0,4.7133,88.1065,32
C0_2,VIDYA,18,0.0,0.0,ALMA,33,0.85,4.0,ALMA,132,0.85,4.0,4.454970,-12.3318,39,0,0.0000,VIDYA/ALMA,0,4.4550,91.8328,39
C0_3,VIDYA,18,0.0,0.0,ALMA,39,0.85,6.0,ALMA,156,0.85,6.0,4.201405,-26.4012,44,0,0.0000,VIDYA/ALMA,0,4.2014,110.7733,44
C0_4,VIDYA,14,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,3.972845,-32.5740,42,0,0.0000,VIDYA/DEMA,0,3.9728,83.7138,42
C0_5,VIDYA,16,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,3.950172,-41.2748,36,0,0.0000,VIDYA/TEMA,0,3.9502,80.1752,36
C0_6,VIDYA,16,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,3.257355,-33.0510,32,0,0.0000,VIDYA/DEMA,0,3.2574,63.3622,32
C1_1,T3,24,0.8,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,5.032758,-33.9691,41,0,0.0000,T3/FRAMA,1,5.0328,107.4874,41
C1_2,ALMA,20,0.85,6.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,4.758889,222.2556,32,0,0.0000,ALMA/VWMA,1,4.7589,121.1046,32
C1_3,T3,24,0.7,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.684480,-12.9646,47,0,0.0000,T3/FRAMA,1,4.6845,117.2246,47
C1_4,Tenkan,20,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,4.613020,140.7235,34,0,0.0000,Tenkan/VWMA,1,4.6130,102.2710,34
C1_5,Tenkan,20,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,4.460860,161.8766,32,0,0.0000,Tenkan/VWMA,1,4.4609,106.1405,32
C1_6,ALMA,16,0.85,4.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,4.274980,119.2242,32,0,0.0000,ALMA/VWMA,1,4.2750,113.6942,32
C2_1,FRAMA,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,2.586433,138.5551,39,0,0.0000,FRAMA/FRAMA,2,2.5864,52.0983,39
C2_2,TEMA,8,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,2.506540,18.3895,34,0,0.0000,TEMA/FRAMA,2,2.5065,43.9217,34
C2_3,HMA,8,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,2.338358,56.0795,30,0,0.0000,HMA/ALMA,2,2.3384,37.5482,30
C2_4,TEMA,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,2.243867,0.9764,30,0,0.0000,TEMA/FRAMA,2,2.2439,38.9453,30
C2_5,HMA,10,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,2.001525,84.8013,33,0,0.0000,HMA/ALMA,2,2.0015,29.2769,33
C2_6,FRAMA,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,1.826459,168.3669,32,0,0.0000,FRAMA/FRAMA,2,1.8265,33.7495,32
